target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
1g5m,boltz2,boltz2_affinity_pred_value,244,0.49364950832661925,2.1552484735477735e-16,0.5376209336933547,1.1178273602602654e-19,0.38536211550695026,3.3140595589843424e-19,Boltz-2,6.63153376476238e-16,4.471309441041062e-19,1.325623823593737e-18
1g5m,dynamicbind,dynamicbind_affinity_bestpose,244,0.16312311076145725,0.010707676597697854,0.19662428715658037,0.002030213123643879,0.13513837480283153,0.0016820533632796787,DynamicBind,0.014276902130263806,0.00300772314613908,0.0025389484728749866
1g5m,gnina,gnina_cnn_affinity_bestpose,242,0.09202258400645486,0.15353568318920546,0.08155248514898475,0.20615928558554997,0.05673979437231344,0.18909879805422058,GNINA 1.3,0.18332618888263338,0.23229215277245063,0.2161129120619664
1g5m,plapt,plapt_affinity,244,-0.05782335593660424,0.3684693060751077,-0.03864424617808554,0.5479950921979184,-0.02791891980063494,0.5163545388314047,PLAPT,0.39834519575687316,0.5845280983444463,0.5507781747534983
1g5m,qvina,qvina_affinity_bestpose,244,0.10212629705026352,0.1115566663178966,0.11380457376032835,0.07600947297583543,0.07769532201889823,0.07536399730233953,QVina2,0.13522020159745043,0.0950118412197943,0.09420499662792442
2z5x,boltz2,boltz2_affinity_pred_value,208,0.22395569819353142,0.0011464617404698084,0.16655856053884718,0.016195243610388915,0.1102874920944502,0.018906813873435863,Boltz-2,0.0018717742701547893,0.022338267048812296,0.02607836396335981
2z5x,dynamicbind,dynamicbind_affinity_bestpose,213,-0.08457950515697038,0.21894528338666458,-0.1554619715544725,0.023246646592010586,-0.10864332419767438,0.019260205358667813,DynamicBind,0.25758268633725245,0.031520876734929607,0.02611553268971907
2z5x,gnina,gnina_cnn_affinity_bestpose,212,0.05517037214306489,0.42420208918053476,0.004883926477071207,0.9436436560150122,0.0007666189360834555,0.9868553260138918,GNINA 1.3,0.44652851492687873,0.9436436560150122,0.9868553260138919
2z5x,plapt,plapt_affinity,213,-0.18652652308502707,0.006328654709853008,-0.1914763590836388,0.0050464558876874704,-0.13526808621322287,0.003568050411909004,PLAPT,0.008882322399793696,0.007082745105526274,0.0051898915082312785
2z5x,qvina,qvina_affinity_bestpose,212,0.05084402774569618,0.4614874189708119,0.03327527923789633,0.6299733555429097,0.021315885248028094,0.6500057188931496,QVina2,0.479467448281363,0.6631298479399049,0.6842165462033154
