metric,EF1_high_active,nEF1_high_active,AUC_ROC_1_high_active,BEDROC20_1_high_active,N_1_high_active,A_1_high_active,H_top1_high_active,direction_1_high_active,EF1_active,nEF1_active,AUC_ROC_1_active,BEDROC20_1_active,N_1_active,A_1_active,H_top1_active,direction_1_active,EF1_low,nEF1_low,AUC_ROC_1_low,BEDROC20_1_low,N_1_low,A_1_low,H_top1_low,direction_1_low,EF5_high_active,nEF5_high_active,AUC_ROC_5_high_active,BEDROC20_5_high_active,N_5_high_active,A_5_high_active,H_top5_high_active,direction_5_high_active,EF5_active,nEF5_active,AUC_ROC_5_active,BEDROC20_5_active,N_5_active,A_5_active,H_top5_active,direction_5_active,EF5_low,nEF5_low,AUC_ROC_5_low,BEDROC20_5_low,N_5_low,A_5_low,H_top5_low,direction_5_low,EF10_high_active,nEF10_high_active,AUC_ROC_10_high_active,BEDROC20_10_high_active,N_10_high_active,A_10_high_active,H_top10_high_active,direction_10_high_active,EF10_active,nEF10_active,AUC_ROC_10_active,BEDROC20_10_active,N_10_active,A_10_active,H_top10_active,direction_10_active,EF10_low,nEF10_low,AUC_ROC_10_low,BEDROC20_10_low,N_10_low,A_10_low,H_top10_low,direction_10_low,target,protein,method_id,method_label
boltz2_affinity_pred_value,2.323809523809524,0.33333333333333337,0.8570061517429939,0.5434982145840592,244,35,1,asc,1.730496453900709,1.0,0.7640294704950767,0.950211441147866,244,141,3,asc,1.5792880258899675,0.6666666666666666,0.7640294704950767,0.580308403488548,244,103,2,desc,3.753846153846154,0.5384615384615384,0.8570061517429939,0.5434982145840592,244,35,7,asc,1.5973813420621932,0.9230769230769232,0.7640294704950767,0.950211441147866,244,141,12,asc,1.0933532486930546,0.4615384615384616,0.7640294704950767,0.580308403488548,244,103,6,desc,4.182857142857143,0.6000000000000001,0.8570061517429939,0.5434982145840592,244,35,15,asc,1.6612765957446807,0.96,0.7640294704950767,0.950211441147866,244,141,24,asc,1.2318446601941748,0.52,0.7640294704950767,0.580308403488548,244,103,13,desc,1g5m,1G5M,boltz2,Boltz-2
dynamicbind_affinity_bestpose,0.0,0.0,0.6075187969924812,0.09144180607189736,244,35,0,desc,0.5768321513002364,0.3333333333333333,0.6018040349789988,0.5830464041970452,244,141,1,desc,1.5792880258899675,0.6666666666666666,0.6018040349789988,0.665960144931312,244,103,2,asc,0.5362637362637364,0.07692307692307694,0.6075187969924812,0.09144180607189736,244,35,1,desc,1.1980360065466447,0.6923076923076923,0.6018040349789988,0.5830464041970452,244,141,9,desc,1.8222554144884242,0.7692307692307693,0.6018040349789988,0.665960144931312,244,103,10,asc,0.5577142857142857,0.08,0.6075187969924812,0.09144180607189736,244,35,2,desc,1.1075177304964539,0.64,0.6018040349789988,0.5830464041970452,244,141,16,desc,1.5161165048543688,0.64,0.6018040349789988,0.665960144931312,244,103,16,asc,1g5m,1G5M,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,0.0,0.0,0.5746031746031746,0.1042426097424284,242,35,0,desc,1.160671462829736,0.6666666666666666,0.5539219110148774,0.6496856727224497,242,139,2,desc,0.7831715210355986,0.3333333333333333,0.5539219110148774,0.5354855234898611,242,103,1,asc,0.531868131868132,0.07692307692307694,0.5746031746031746,0.1042426097424284,242,35,1,desc,1.2053126729385721,0.6923076923076923,0.5539219110148774,0.6496856727224497,242,139,9,desc,1.2651232262882748,0.5384615384615384,0.5539219110148774,0.5354855234898611,242,103,7,asc,0.8297142857142857,0.12,0.5746031746031746,0.1042426097424284,242,35,3,desc,1.1142446043165468,0.64,0.5539219110148774,0.6496856727224497,242,139,16,desc,1.127766990291262,0.4799999999999999,0.5539219110148774,0.5354855234898611,242,103,12,asc,1g5m,1G5M,gnina,GNINA 1.3
plapt_affinity,0.0,0.0,0.41736158578263843,0.014628143574827553,244,35,0,desc,0.0,0.0,0.505267506713489,0.3769018876631285,244,141,0,desc,1.5792880258899675,0.6666666666666666,0.505267506713489,0.5576518671997946,244,103,2,asc,0.0,0.0,0.41736158578263843,0.014628143574827553,244,35,0,desc,0.6655755591925805,0.3846153846153847,0.505267506713489,0.3769018876631285,244,141,5,desc,1.6400298730395817,0.6923076923076923,0.505267506713489,0.5576518671997946,244,103,9,asc,0.0,0.0,0.41736158578263843,0.014628143574827553,244,35,0,desc,0.8306382978723403,0.48,0.505267506713489,0.3769018876631285,244,141,12,desc,1.326601941747573,0.56,0.505267506713489,0.5576518671997946,244,103,14,asc,1g5m,1G5M,plapt,PLAPT
qvina_affinity_bestpose,4.647619047619048,0.6666666666666667,0.4748462064251538,0.2437090716001061,244,35,2,asc,1.730496453900709,1.0,0.6107553535770847,0.8446173219628932,244,141,3,asc,2.3689320388349513,1.0,0.6107553535770847,0.6148148786389892,244,103,3,desc,1.608791208791209,0.2307692307692308,0.4748462064251538,0.2437090716001061,244,35,3,asc,1.5973813420621932,0.9230769230769232,0.6107553535770847,0.8446173219628932,244,141,12,asc,1.275578790141897,0.5384615384615384,0.6107553535770847,0.6148148786389892,244,103,7,desc,1.3942857142857144,0.2,0.4748462064251538,0.2437090716001061,244,35,5,asc,1.3843971631205674,0.8,0.6107553535770847,0.8446173219628932,244,141,20,asc,1.326601941747573,0.56,0.6107553535770847,0.6148148786389892,244,103,14,desc,1g5m,1G5M,qvina,QVina2
boltz2_affinity_pred_value,5.333333333333333,1.0,0.5509027461690184,0.46972923953537266,208,39,3,asc,2.1894736842105265,1.0,0.5554727526781555,0.6485220300915928,208,95,3,asc,1.2271386430678466,0.6666666666666666,0.5554727526781555,0.6745317477466826,208,113,2,desc,2.4242424242424243,0.4545454545454546,0.5509027461690184,0.46972923953537266,208,39,5,asc,1.3933014354066986,0.6363636363636364,0.5554727526781555,0.6485220300915928,208,95,7,asc,1.33869670152856,0.7272727272727273,0.5554727526781555,0.6745317477466826,208,113,8,desc,2.2857142857142856,0.42857142857142855,0.5509027461690184,0.46972923953537266,208,39,9,asc,1.355388471177945,0.6190476190476191,0.5554727526781555,0.6485220300915928,208,95,13,asc,1.3147914032869787,0.7142857142857143,0.5554727526781555,0.6745317477466826,208,113,15,desc,2z5x,2Z5X,boltz2,Boltz-2
dynamicbind_affinity_bestpose,1.6904761904761905,0.3333333333333333,0.4775828460038986,0.22587286644097482,213,42,1,desc,0.7244897959183674,0.3333333333333333,0.39591836734693875,0.241741723798132,213,98,1,desc,1.2347826086956522,0.6666666666666666,0.39591836734693875,0.6160764850117768,213,115,2,asc,1.3831168831168832,0.2727272727272727,0.4775828460038986,0.22587286644097482,213,42,3,desc,0.5927643784786641,0.2727272727272727,0.39591836734693875,0.241741723798132,213,98,3,desc,1.3470355731225296,0.7272727272727273,0.39591836734693875,0.6160764850117768,213,115,8,asc,1.1525974025974026,0.22727272727272724,0.4775828460038986,0.22587286644097482,213,42,5,desc,0.49397031539888686,0.2272727272727273,0.39591836734693875,0.241741723798132,213,98,5,desc,1.0944664031620555,0.5909090909090909,0.39591836734693875,0.6160764850117768,213,115,13,asc,2z5x,2Z5X,dynamicbind,DynamicBind
gnina_cnn_affinity_bestpose,0.0,0.0,0.5442577030812324,0.2643596887101828,212,42,0,desc,1.4421768707482991,0.6666666666666665,0.4602577873254565,0.4753305011203929,212,98,2,desc,1.239766081871345,0.6666666666666666,0.4602577873254565,0.7393058837036193,212,114,2,asc,1.3766233766233764,0.2727272727272727,0.5442577030812324,0.2643596887101828,212,42,3,desc,1.1799628942486085,0.5454545454545454,0.4602577873254565,0.4753305011203929,212,98,6,desc,1.521531100478469,0.8181818181818182,0.4602577873254565,0.7393058837036193,212,114,9,asc,1.147186147186147,0.22727272727272727,0.5442577030812324,0.2643596887101828,212,42,5,desc,0.7866419294990724,0.36363636363636365,0.4602577873254565,0.4753305011203929,212,98,8,desc,1.4370015948963317,0.7727272727272727,0.4602577873254565,0.7393058837036193,212,114,17,asc,2z5x,2Z5X,gnina,GNINA 1.3
plapt_affinity,1.6904761904761905,0.3333333333333333,0.35004177109440265,0.10733895959773276,213,42,1,desc,0.7244897959183674,0.3333333333333333,0.3744454303460515,0.20815766078907413,213,98,1,desc,1.8521739130434782,1.0,0.3744454303460515,0.7317247411687954,213,115,3,asc,0.4610389610389611,0.09090909090909091,0.35004177109440265,0.10733895959773276,213,42,1,desc,0.39517625231910947,0.18181818181818182,0.3744454303460515,0.20815766078907413,213,98,2,desc,1.6837944664031619,0.9090909090909091,0.3744454303460515,0.7317247411687954,213,115,10,asc,0.4610389610389611,0.09090909090909091,0.35004177109440265,0.10733895959773276,213,42,2,desc,0.39517625231910947,0.18181818181818182,0.3744454303460515,0.20815766078907413,213,98,4,desc,1.1786561264822133,0.6363636363636364,0.3744454303460515,0.7317247411687954,213,115,14,asc,2z5x,2Z5X,plapt,PLAPT
qvina_affinity_bestpose,1.6825396825396823,0.3333333333333333,0.5493697478991597,0.2479298792434062,212,42,1,asc,0.7210884353741496,0.33333333333333326,0.5203186537773004,0.42807758266087714,212,98,1,asc,0.6198830409356725,0.3333333333333333,0.5203186537773004,0.5003947969579968,212,114,1,desc,0.9177489177489178,0.18181818181818182,0.5493697478991597,0.2479298792434062,212,42,2,asc,0.7866419294990724,0.36363636363636365,0.5203186537773004,0.42807758266087714,212,98,4,asc,0.8452950558213715,0.45454545454545453,0.5203186537773004,0.5003947969579968,212,114,5,desc,1.147186147186147,0.22727272727272727,0.5493697478991597,0.2479298792434062,212,42,5,asc,0.8849721706864564,0.40909090909090906,0.5203186537773004,0.42807758266087714,212,98,9,asc,1.014354066985646,0.5454545454545454,0.5203186537773004,0.5003947969579968,212,114,12,desc,2z5x,2Z5X,qvina,QVina2
