canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=C(c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,CHEMBL3895790,CHEMBL3859719,4200.0,4.2,5.38,B,CHEMBL3856277,Ki,uM,UO_0000065,4.2,4200.0,5.38,-7.5,0.0,0.0,-7.5,0.0,0.0,-6.6,-7.1,-7.1,-8.37,-1.91,0.6621,6.83,-8.37,-1.91,0.6621,6.83,6.437248541659082,0.3653856258416003,6.314360789284605,,,6.314360789284605,-1.4823369979858398,0.6655583381652832,0.1586723029613495,0.6335123181343079,-0.4329522550106048,0.6976044178009033,1G5M,5.376750709602099,low,8.636620000000004,7,194.44709999999944,0.07032122808791637,11,118.41
CC(=O)/N=c1\sc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)nn1C,CHEMBL3933269,CHEMBL3889232,743.18,743.178,6.13,B,CHEMBL3886998,Ki,nM,UO_0000065,743.178,743.18,6.13,-8.2,0.0,0.0,-8.2,0.0,0.0,-6.7,-6.9,-6.9,-7.39,-0.75,0.2825,4.914,-7.22,-0.38,0.5145,5.645,7.127017231415914,0.0746419142298452,5.196247602010272,,,5.196247602010272,-1.8920183181762693,0.9178364276885986,-0.2913461923599243,0.9332296252250672,-0.9545364379882812,0.9024431705474854,1G5M,6.128905986321346,medium,3.690100000000003,9,162.80099999999962,0.33331119285761657,7,116.96999999999997
CC(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,CHEMBL1940662,CHEMBL1943219,3780.0,3.78,5.42,B,CHEMBL1938241,Ki,uM,UO_0000065,3.78,3780.0,5.42,-7.2,0.0,0.0,-7.2,0.0,0.0,-5.6,-7.0,-7.0,-7.59,-0.28,0.3422,6.29,-7.23,-1.19,0.4922,6.331,5.497755508330985,3.1786630363153257,5.772188548394321,,,5.772188548394321,-0.9442296028137208,0.804865837097168,0.4368475377559662,0.7915118336677551,0.1464816778898239,0.8182198405265808,1G5M,5.422508200162775,low,4.407000000000003,9,165.53549999999964,0.08727135446982844,14,176.60999999999999
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,CHEMBL1940666,CHEMBL1943219,830.0,0.83,6.08,B,CHEMBL1938241,Ki,uM,UO_0000065,0.83,830.0,6.08,-7.5,0.0,0.0,-7.5,0.0,0.0,-5.6,-6.8,-6.8,-8.35,-1.33,0.274,5.825,-7.86,-1.16,0.5069,6.383,6.100502707290703,0.793409310832759,5.507293621692132,,,5.507293621692132,-1.0757598876953125,0.8318583965301514,0.5668096542358398,0.8519023060798645,0.048161469399929,0.8118144869804382,1G5M,6.080921907623926,medium,5.084900000000004,9,188.0831999999997,0.04545802985107273,14,192.39999999999998
CC(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1,CHEMBL1940665,CHEMBL1943219,3390.0,3.39,5.47,B,CHEMBL1938241,Ki,uM,UO_0000065,3.39,3390.0,5.47,-6.5,0.0,0.0,-6.5,0.0,0.0,-5.2,-6.0,-6.0,-7.62,-0.42,0.2328,6.133,-7.37,-2.06,0.4103,6.312,5.459329620436195,3.4727248883288566,5.344823368946691,,,5.344823368946691,-0.9481465816497804,0.8003864288330078,0.8002361059188843,0.7998633980751038,-0.0843532383441925,0.8009095191955566,1G5M,5.4698003017969175,low,4.603600000000004,9,176.22649999999965,0.06508997800126556,14,176.60999999999999
CC(=O)N[C@H](C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)C(C)C,CHEMBL1940667,CHEMBL1943219,9490.0,9.49,5.02,B,CHEMBL1938241,Ki,uM,UO_0000065,9.49,9490.0,5.02,-6.7,0.0,0.0,-6.7,0.0,0.0,-5.6,-6.1,-6.0,-7.23,-2.45,0.3305,6.03,-7.16,-1.12,0.5749,6.401,6.473106471290304,0.3364290805782283,5.743045692058974,,,5.743045692058974,-0.9189231395721436,0.8299442529678345,0.3426215648651123,0.8881135582923889,0.2415731847286224,0.7717748880386353,1G5M,5.022733787572707,low,4.016900000000002,9,160.91849999999968,0.09596880528715752,13,176.60999999999999
CC(=O)Nc1nc(C)c(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)s1,CHEMBL3905254,CHEMBL3889232,177.06,177.064,6.75,B,CHEMBL3886998,Ki,nM,UO_0000065,177.064,177.06,6.75,-7.1,0.0,0.0,-7.1,0.0,0.0,-6.4,-6.9,-6.9,-7.03,-1.01,0.4533,5.901,-7.03,-1.01,0.4533,5.901,4.649761943360236,22.399486202554545,5.517970439105954,,,5.517970439105954,-1.6491060256958008,0.8887569904327393,0.0660620331764221,0.9210836291313172,-0.8505950570106506,0.8564302921295166,1G5M,6.751879540116397,medium,5.171220000000004,8,166.62669999999963,0.2784693749707839,8,111.70999999999998
CC(=O)OCOC(=O)c1ccc(/C(Cl)=C/[C@@H]2C=C(C)C[C@H]3C[C@H](CC(=O)O)C=C[C@]32C(=O)OCOC(C)=O)cc1,CHEMBL4171691,CHEMBL4148756,1820.0,1.82,5.74,B,CHEMBL4145547,Ki,uM,UO_0000065,1.82,1820.0,5.74,-6.9,0.0,0.0,-6.9,0.0,0.0,-5.3,-6.0,-6.0,-7.16,0.11,0.2148,5.285,-6.44,-1.58,0.7023,6.401,6.798148376934562,0.15916648410301,5.99074763966813,,,5.99074763966813,-0.3952903747558594,0.5712790489196777,0.803308367729187,0.7137451171875,0.6413505673408508,0.4288129210472107,1G5M,5.739928612014925,low,4.627100000000003,9,142.33229999999992,0.2385854707800484,10,142.5
CC(=O)OCOC(=O)c1ccc(/C(Cl)=C/[C@@H]2C=C(C)C[C@H]3C[C@H](CCn4cc(-c5ccccc5)nn4)C=C[C@]32C(=O)OCOC(C)=O)cc1,CHEMBL4164915,CHEMBL4148756,2580.0,2.58,5.59,B,CHEMBL4145547,Ki,uM,UO_0000065,2.58,2580.0,5.59,-6.7,0.0,0.0,-6.7,0.0,0.0,-5.6,-6.6,-6.6,-8.07,-1.23,0.1816,6.39,-6.41,2.76,0.5486,7.371,7.209601391776891,0.0617161190645375,6.332887322491888,,,6.332887322491888,-1.0336544513702393,0.4891485571861267,0.78248131275177,0.4985495805740356,-0.1512975245714187,0.4797475337982178,1G5M,5.58838029403677,low,6.501200000000008,11,180.15449999999947,0.11789108615038386,12,135.91
CC(=O)c1ccc(NC(=O)OCC[C@@H]2C=C[C@]3(C(=O)O)[C@@H](CC(C)=C[C@H]3/C=C(\Cl)c3ccc(C(=O)O)cc3)C2)cc1,CHEMBL4176314,CHEMBL4148756,2920.0,2.92,5.54,B,CHEMBL4145547,Ki,uM,UO_0000065,2.92,2920.0,5.54,-6.3,0.0,0.0,-6.3,0.0,0.0,-5.2,-5.2,-5.2,-8.0,-0.33,0.3282,5.952,-6.83,-1.46,0.4961,6.552,6.653933683584219,0.2218535162459873,6.208263944707987,,,6.208263944707987,-1.2684202194213867,0.396160215139389,-0.2172330468893051,0.4891461431980133,-0.0162938721477985,0.3031742870807647,1G5M,5.534617148551582,low,7.035400000000007,5,155.93529999999973,0.21518725464624805,9,130.0
