canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
Brc1cccc(COc2ccc(C3C[C@@H]3NCCC3CCCCC3)cc2)c1,CHEMBL5840646,CHEMBL5732600,550.0,550.0,6.26,B,CHEMBL5726393,Ki,nM,UO_0000065,550.0,550.0,6.26,-7.0,0.0,0.0,-7.0,0.0,0.0,-6.4,-6.4,-6.4,-10.59,-0.51,0.3738,6.171,-7.48,-0.46,0.5048,5.636,7.374339648708469,0.0422338187025519,6.3991569477296615,,,6.3991569477296615,0.3245267868041992,0.6226508021354675,0.9437751770019532,0.7720263004302979,1.199617862701416,0.4732753038406372,2Z5X,6.259637310505756,medium,6.444000000000005,2,115.25670000000005,0.5222164078063419,8,21.259999999999998
Brc1cccc(COc2ccc3c(c2)OCCO3)c1,CHEMBL3402197,CHEMBL3404567,41.0,0.041,7.39,B,CHEMBL3400050,Ki,uM,UO_0000065,0.041,41.0,7.39,-8.6,0.0,0.0,-8.6,0.0,0.0,-6.4,-8.3,-8.3,-9.72,-0.43,0.7561,5.384,-5.85,-0.34,0.8678,4.269,4.921226099948902,11.988749891006464,4.865676930151408,,,4.865676930151408,0.7727360725402832,0.7569593191146851,1.1862300634384155,0.8548411130905151,1.300347924232483,0.659077525138855,2Z5X,7.387216143280264,high,3.7993000000000023,3,75.90600000000003,0.8605422997303704,3,27.69
C#CCN(C)CC(=C)c1ccccc1.Cl,CHEMBL3415810,CHEMBL3418729,60.0,60.0,7.22,B,CHEMBL3414505,Ki,nM,UO_0000065,60.0,60.0,7.22,-7.1,0.0,0.0,-7.1,0.0,0.0,-4.8,-6.9,-6.9,-7.64,0.18,0.8937,4.949,-7.64,0.18,0.8937,4.949,5.230499387726273,5.881669433474782,4.457716688277048,,,4.457716688277048,,,,,,,2Z5X,7.221848749616356,high,2.6866000000000017,1,69.05400000000003,0.7071399766132558,4,3.24
C#CCN(C)Cc1ccc(C(=O)NC2CC(C)(C)N([O])C(C)(C)C2)cc1,CHEMBL5268461,CHEMBL5244514,15000.0,15.0,4.82,B,CHEMBL5244208,Ki,uM,UO_0000065,15.0,15000.0,4.82,-7.0,0.0,0.0,-7.0,0.0,0.0,-6.0,-6.1,-6.1,-7.34,-0.66,0.3612,4.978,-7.34,-0.66,0.3612,4.978,5.222856239320164,5.986097147727259,6.702543214641621,,,6.702543214641621,1.7240803241729736,0.3254789412021637,2.3512630462646484,0.4266700446605682,2.0854201316833496,0.2242878526449203,2Z5X,4.823908740944319,low,2.8485000000000014,3,102.78070000000005,0.8256035992473452,5,55.480000000000004
C#CCN(C)Cc1ccccc1,CHEMBL673,CHEMBL5340264,1150.0,1.15,6.025,B,CHEMBL5338737,Ki,uM,UO_0000065,1.15,1150.0,6.025,-6.5,0.0,0.0,-6.5,0.0,0.0,-5.0,-6.1,-6.1,-5.56,-0.37,0.4937,3.254,-3.3,-0.46,0.7148,4.078,5.921547961655622,1.1979868152601316,4.491915912299087,,,4.491915912299087,0.8801069259643555,0.7245832085609436,0.1173205226659774,0.8105428814888,1.2802436351776123,0.6386235356330872,2Z5X,5.939302159646388,low,1.7516,1,51.60900000000004,0.6072627909596671,3,3.24
C#CCN(C)[C@@H]1CCc2ccccc21,CHEMBL436947,CHEMBL732536,600.0,0.6,6.22,B,CHEMBL1149122,Ki,uM,UO_0000065,0.6,600.0,6.22,-5.3,0.0,0.0,-5.3,0.0,0.0,-4.4,-4.8,-4.8,-7.77,0.75,0.9332,5.274,-7.77,0.75,0.9332,5.274,5.779747619062676,1.6605516211113631,5.604443236463239,,,5.604443236463239,-0.585019588470459,0.8183104991912842,-0.6142001748085022,0.8632670640945435,-0.5675559043884277,0.7733538746833801,2Z5X,6.221848749616356,medium,2.2389,1,58.967000000000034,0.6386409132671063,2,3.24
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,CHEMBL2333930,CHEMBL3608045,0.129,0.129,9.89,B,CHEMBL3603809,Ki,nM,UO_0000065,0.129,0.129,9.89,-6.1,0.0,0.0,-6.1,0.0,0.0,-5.0,-5.2,-5.2,-10.89,0.28,0.2726,7.228,-5.66,-1.28,0.3422,6.189,6.805621444930173,0.1564510762505846,7.684691454887261,,,7.684691454887261,-2.5508809089660645,0.6059988141059875,-2.4935288429260254,0.9042805433273317,-0.4167569577693939,0.3077170550823211,2Z5X,9.88941028970075,high,8.094500000000009,4,166.15269999999956,0.15454571067459924,15,37.39
C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,CHEMBL1764623,714.8,392.3228,6.556,B,CHEMBL1759975,Ki,nM,UO_0000065,392.3228,714.8,6.556,-6.52,0.0,0.0,-6.52,0.0,0.0,-5.12,-5.62,-5.54,-5.83,-0.36,0.4185,3.5009999999999994,-5.33,-0.19,0.8278,3.931,5.87208560013055,1.3425003261171762,5.36744497785543,,,5.36744497785543,2.0331950187683105,0.7600374221801758,1.6873928308486938,0.794318675994873,2.1889357566833496,0.7257561683654785,2Z5X,6.145815456166393,medium,2.1826,1,61.07100000000004,0.6530251998867979,4,3.24
C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2c(-c2ccccc2)c1C#N,CHEMBL3604128,CHEMBL3608045,32.0,32.0,7.5,B,CHEMBL3603809,Ki,nM,UO_0000065,32.0,32.0,7.5,-8.1,0.0,0.0,-8.1,0.0,0.0,-7.2,-7.6,-7.4,-8.16,-1.2,0.3114,6.279,-8.07,-0.36,0.5855,6.609,7.420662107147693,0.0379610217124877,6.669976889388988,,,6.669976889388988,-0.1209487915039062,0.2331631332635879,0.6925909519195557,0.1671739816665649,0.9242357611656188,0.2991522848606109,2Z5X,7.494850021680094,high,6.082680000000007,5,154.55599999999967,0.2749835561054527,8,56.050000000000004
C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3cccc(F)c3)ccc21,CHEMBL3916392,CHEMBL3862220,30380.0,30.38,4.52,B,CHEMBL3861946,Ki,uM,UO_0000065,30.38,30380.0,4.52,-7.5,0.0,0.0,-7.5,0.0,0.0,-6.7,-6.9,-6.9,-7.98,0.5,0.6872,5.517,-5.96,0.11,0.7819,5.19,8.337730841056684,0.004594826942348,6.3203972946884575,,,6.3203972946884575,0.0381221771240234,0.4168146252632141,0.5177258253097534,0.4339540600776672,0.9220941066741944,0.3996751606464386,2Z5X,4.517412230473233,low,1.8089000000000002,4,97.01130000000002,0.580268756337229,5,74.76
C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccccc3F)ccc21,CHEMBL3923134,CHEMBL3862220,55180.0,55.18,4.26,B,CHEMBL3861946,Ki,uM,UO_0000065,55.18,55180.0,4.26,-7.9,0.0,0.0,-7.9,0.0,0.0,-6.8,-7.4,-7.4,-7.33,-0.48,0.4535,4.947,-5.43,-0.92,0.8497,4.774,7.350906616567456,0.044575208517777,6.509614683098092,,,6.509614683098092,0.114452838897705,0.440527468919754,0.5059399008750916,0.5504003763198853,1.0813419818878174,0.3306545615196228,2Z5X,4.258218303856833,low,1.8089,4,97.01130000000002,0.580268756337229,5,74.76
C#CCN1C(=O)C(=O)c2ccccc21,CHEMBL3965645,CHEMBL3862220,15150.0,15.15,4.82,B,CHEMBL3861946,Ki,uM,UO_0000065,15.15,15150.0,4.82,-6.1,0.0,0.0,-6.1,0.0,0.0,-4.8,-5.4,-4.8,-6.77,0.45,0.7041,4.691,-3.12,-0.24,0.8836,5.559,5.664381076148742,2.1658028648668384,4.822566492240734,,,4.822566492240734,1.1098850965499878,0.6831740140914917,1.0290484428405762,0.8315516114234924,1.128841757774353,0.534796416759491,2Z5X,4.8195873671616765,low,0.8491000000000002,2,51.958500000000015,0.4801439932889964,1,37.38
