canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=CC(=O)N1CCC(Oc2cc(-c3cc(F)c(O)cc3CC)cn3cncc23)C(F)(F)C1,CHEMBL5889049,CHEMBL5736191,55.0,55.0,7.26,B,CHEMBL5728152,Ki,nM,UO_0000065,55.0,55.0,7.26,-9.2,0.0,0.0,-9.2,0.0,0.0,-7.1,-8.4,-8.4,-9.45,-0.65,0.8865,7.833,-9.45,-0.65,0.8865,7.833,7.3941202563843635,0.0403533638806178,7.72735380092934,,,7.72735380092934,-3.401056289672852,0.8805415630340576,-2.46921968460083,0.9385258555412292,-2.4608607292175293,0.8225573301315308,3EYG,7.259637310505756,high,4.209400000000003,5,112.38580000000003,0.5978555367560939,5,67.07000000000001
C=CC(=O)N1CCC(Oc2cc(-c3cc(F)c(O)cc3CC)cn3cncc23)CC1,CHEMBL5782866,CHEMBL5736191,55.0,55.0,7.26,B,CHEMBL5728152,Ki,nM,UO_0000065,55.0,55.0,7.26,-9.1,0.0,0.0,-9.1,0.0,0.0,-7.5,-8.8,-8.8,-9.68,1.02,0.4126,6.884,-8.36,-0.28,0.7004,7.476,7.395641906021379,0.0402122240810428,8.221015855062973,,,8.221015855062973,-2.49876070022583,0.6481160521507263,-1.5201282501220703,0.6343836188316345,-1.8647297620773315,0.6618484854698181,3EYG,7.259637310505756,high,3.9642000000000026,5,112.05580000000003,0.6479375114686249,5,67.07000000000001
C=CC(=O)N1CCC[C@H](Oc2cc(-c3cc(F)c(O)cc3CC)cn3cncc23)C1,CHEMBL5956612,CHEMBL5736191,55.0,55.0,7.26,B,CHEMBL5728152,Ki,nM,UO_0000065,55.0,55.0,7.26,-8.9,0.0,0.0,-8.9,0.0,0.0,-7.2,-8.5,-8.5,-9.49,-0.16,0.2742,6.601,-8.71,1.14,0.9397,7.968,6.78219413642541,0.1651223510495293,7.976468789942339,,,7.976468789942339,-1.4459190368652344,0.3879382014274597,-0.5071418881416321,0.4660113155841827,-0.8383266925811768,0.3098650872707367,3EYG,7.259637310505756,high,3.9642000000000026,5,112.05580000000002,0.6479375114686249,5,67.07000000000001
C=CC(=O)N1[C@@H]2CC[C@H]1C[C@H](Oc1cc(-c3cc(F)c(O)cc3CC)cn3cncc13)C2,CHEMBL5808589,CHEMBL5736191,55.0,55.0,7.26,B,CHEMBL5728152,Ki,nM,UO_0000065,55.0,55.0,7.26,-9.0,0.0,0.0,-9.0,0.0,0.0,-6.9,-7.2,-7.2,-9.25,-0.11,0.5617,7.8,-8.75,-0.47,0.8805,8.142,7.295689255127759,0.0506186717413083,8.101087290323294,,,8.101087290323294,-2.8635082244873047,0.8435205221176147,-1.7966517210006714,0.9496491551399232,-2.150662422180176,0.7373918890953064,3EYG,7.259637310505756,high,4.495200000000003,5,119.13180000000003,0.5997124837223692,5,67.07000000000001
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5751586,CHEMBL5736566,0.55,0.55,9.26,B,CHEMBL5728338,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.5,0.0,0.0,-9.5,0.0,0.0,-6.5,-9.2,-9.2,-9.86,-1.01,0.974,8.616,-9.81,-0.3,0.9768,8.647,6.646672297062577,0.2255940821586607,8.376443191176248,,,8.376443191176248,-2.852416038513184,0.862044095993042,-1.2488003969192505,0.8243921399116516,-2.201623916625977,0.8996961116790771,3EYG,9.259637310505756,high,4.357120000000003,9,153.69709999999978,0.35405625097379334,8,120.53
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5877444,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.5,0.0,0.0,-9.5,0.0,0.0,-7.1,-9.2,-9.2,-10.27,-0.42,0.9804,8.885,-10.27,-0.42,0.9804,8.885,6.616891054316644,0.2416066845002138,8.235387433057971,,,8.235387433057971,-2.894071578979492,0.8475487232208252,-1.337349772453308,0.8021441698074341,-2.1935489177703857,0.8929532170295715,3EYG,9.259637310505756,high,4.357120000000003,9,153.69709999999978,0.35405625097379334,8,120.53
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL5754884,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.5,0.0,0.0,-9.5,0.0,0.0,-7.1,-9.3,-9.3,-10.07,-0.94,0.9918,8.625,-10.07,-0.94,0.9918,8.625,7.314535653687058,0.0484690320024927,8.221432969367115,,,8.221432969367115,-3.096420288085937,0.8698060512542725,-1.696204662322998,0.8296812176704407,-2.6500065326690674,0.909930944442749,3EYG,9.259637310505756,high,4.5249200000000025,7,127.60110000000003,0.47668321024051563,6,108.06
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5827708,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-7.4,0.0,0.0,-7.4,0.0,0.0,-6.2,-6.6,-6.6,-10.22,-0.75,0.9917,8.89,-10.22,-0.75,0.9917,8.89,6.791966617117152,0.1614482652379456,8.205984687947362,,,8.205984687947362,-3.363633155822754,0.8815965056419373,-1.8320156335830688,0.8232695460319519,-2.6594338417053223,0.9399234652519226,3EYG,9.259637310505756,high,3.9670200000000024,9,149.0800999999998,0.3701994192453199,8,120.53
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(OC)ccc13)C2,CHEMBL5753717,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.6,0.0,0.0,-9.6,0.0,0.0,-7.4,-8.3,-8.3,-9.66,-0.36,0.9928,8.714,-9.66,-0.36,0.9928,8.714,6.804952198291655,0.1566923527974039,8.43766494285777,,,8.43766494285777,-3.2460622787475586,0.9314760565757751,-1.5320216417312622,0.92288076877594,-3.023545026779175,0.9400713443756104,3EYG,9.259637310505756,high,4.1434200000000025,8,129.5361,0.44763181987810835,7,117.29
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(C(=O)OC)cc13)C2,CHEMBL6020000,CHEMBL5731180,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.4,0.0,0.0,-9.4,0.0,0.0,-7.1,-8.4,-8.4,-9.68,-0.32,0.9855,8.63,-9.68,-0.32,0.9855,8.63,6.753274091533674,0.1764923592164738,8.426379689563774,,,8.426379689563774,-3.2745304107666016,0.8307014107704163,-2.0724921226501465,0.7830976843833923,-2.403248786926269,0.8783051371574402,3EYG,9.259637310505756,high,3.921420000000002,9,134.32359999999997,0.33191001191943986,7,134.35999999999999
