canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=CC(=O)N1CCC(Oc2cc(-c3ccc(O)cc3)cn3cncc23)C(F)(F)C1,CHEMBL5795488,CHEMBL5738108,55.0,55.0,7.26,B,CHEMBL5729121,Ki,nM,UO_0000065,55.0,55.0,7.26,-8.8,0.0,0.0,-8.8,0.0,0.0,-7.2,-7.4,-7.4,-9.08,-1.15,0.9611,7.898,-9.08,-1.15,0.9611,7.898,6.814720490956873,0.1532073176565668,7.076951558718803,,,7.076951558718803,-2.1026158332824707,0.6751066446304321,-1.733415961265564,0.944994568824768,-0.9133143424987792,0.4052186608314514,3JY9,7.259637310505756,high,3.507900000000002,5,103.04980000000005,0.6821661485723288,4,67.07000000000001
C=CC(=O)N1CCC[C@H](Oc2cc(-c3cc(F)c(O)cc3CC)cn3cncc23)C1,CHEMBL5956612,CHEMBL5738108,55.0,55.0,7.26,B,CHEMBL5729121,Ki,nM,UO_0000065,55.0,55.0,7.26,-7.9,0.0,0.0,-7.9,0.0,0.0,-6.9,-7.8,-7.8,-8.45,-0.16,0.1879,5.966,-8.32,-0.91,0.8636,7.808,7.0180417100447015,0.0959308494214313,7.602946165094366,,,7.602946165094366,-1.734086513519287,0.5118369460105896,-0.9079959392547609,0.5983237624168396,-0.9941782355308532,0.425350159406662,3JY9,7.259637310505756,high,3.9642000000000026,5,112.05580000000002,0.6479375114686249,5,67.07000000000001
C=CC(=O)N1CC[C@@H](Oc2cc(-c3ccc(O)cc3)cn3cncc23)C[C@H]1C,CHEMBL5789014,CHEMBL5738108,55.0,55.0,7.26,B,CHEMBL5729121,Ki,nM,UO_0000065,55.0,55.0,7.26,-8.3,0.0,0.0,-8.3,0.0,0.0,-6.7,-7.4,-7.8,-8.86,-0.06,0.9428,7.696,-8.86,-0.06,0.9428,7.696,6.176482675558893,0.666066090810797,7.120550575488506,,,7.120550575488506,-1.9688224792480469,0.6509462594985962,-1.3571077585220337,0.7706850171089172,-1.16438889503479,0.5312075018882751,3JY9,7.259637310505756,high,3.651200000000003,5,107.31480000000005,0.7049836698651901,4,67.07000000000001
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5751586,CHEMBL5736567,0.55,0.55,9.26,B,CHEMBL5728338,Ki,nM,UO_0000065,0.55,0.55,9.26,-6.4,0.0,0.0,-6.4,0.0,0.0,-5.9,-6.3,-6.4,-8.61,-0.75,0.9458,7.996,-8.61,-0.75,0.9458,7.996,6.641526910942132,0.2282827465499377,7.369562534088424,,,7.369562534088424,-3.5962934494018555,0.9052523970603944,-2.3787670135498047,0.9217992424964904,-2.508741855621338,0.8887055516242981,3JY9,9.259637310505756,high,4.357120000000003,9,153.69709999999978,0.35405625097379334,8,120.53
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5877444,CHEMBL5731181,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.7,0.0,0.0,-8.7,0.0,0.0,-6.4,-7.8,-7.8,-8.77,-0.76,0.8792,7.89,-8.62,-1.37,0.974,8.205,6.61680147708266,0.2416565232422263,7.583185582641704,,,7.583185582641704,-3.628415107727051,0.9073097109794616,-2.426898956298828,0.9211378693580629,-2.5226645469665527,0.8934815526008606,3JY9,9.259637310505756,high,4.357120000000003,9,153.69709999999978,0.35405625097379334,8,120.53
C=CCOC(=O)N1[C@@H]2CCC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncccc13)C2,CHEMBL5754884,CHEMBL5731181,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.5,0.0,0.0,-8.5,0.0,0.0,-6.8,-7.8,-7.8,-8.82,-1.26,0.9589,7.772,-8.82,-1.26,0.9589,7.772,7.326192513646412,0.0471853831978446,7.562129687332191,,,7.562129687332191,-3.4394187927246094,0.8889600038528442,-2.840583324432373,0.9932917356491088,-2.168261766433716,0.7846283316612244,3JY9,9.259637310505756,high,4.5249200000000025,7,127.60110000000003,0.47668321024051563,6,108.06
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(CN4CCOCC4)ccc13)C2,CHEMBL5827708,CHEMBL5731181,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-7.9,0.0,0.0,-7.9,0.0,0.0,-6.2,-7.5,-6.5,-8.47,-0.93,0.943,8.428,-8.47,-0.93,0.943,8.428,6.8406548917397245,0.1443261771141207,7.501847380482476,,,7.501847380482476,-3.570516586303711,0.9144464731216432,-2.3371410369873047,0.9151905179023744,-2.553983211517334,0.913702428340912,3JY9,9.259637310505756,high,3.9670200000000024,9,149.0800999999998,0.3701994192453199,8,120.53
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3nc(OC)ccc13)C2,CHEMBL5753717,CHEMBL5731181,50.0,50.0,7.3,B,CHEMBL5725627,Ki,nM,UO_0000065,50.0,50.0,7.3,-8.1,0.0,0.0,-8.1,0.0,0.0,-7.0,-7.6,-7.6,-8.29,-0.46,0.9179,7.473,-8.29,-0.46,0.9179,7.473,6.813275575272501,0.153717893614924,7.552728957372453,,,7.552728957372453,-3.523144721984864,0.9259333610534668,-2.2605438232421875,0.9486446976661682,-2.830313205718994,0.9032220840454102,3JY9,7.301029995663981,high,4.1434200000000025,8,129.5361,0.44763181987810835,7,117.29
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(C(=O)OC)cc13)C2,CHEMBL6020000,CHEMBL5731181,0.55,0.55,9.26,B,CHEMBL5725627,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.6,0.0,0.0,-8.6,0.0,0.0,-7.0,-8.3,-8.3,-8.93,-1.17,0.5427,7.354,-7.64,-1.03,0.7282,7.041,6.815785273433759,0.1528321513648058,7.61438649007294,,,7.61438649007294,-3.386558532714844,0.8753699064254761,-2.4911842346191406,0.9407328367233276,-2.200981616973877,0.8100069761276245,3JY9,9.259637310505756,high,3.921420000000002,9,134.32359999999997,0.33191001191943986,7,134.35999999999999
C=CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(OC)cc13)C2,CHEMBL5871726,CHEMBL5731181,50.0,50.0,7.3,B,CHEMBL5725627,Ki,nM,UO_0000065,50.0,50.0,7.3,-8.0,0.0,0.0,-8.0,0.0,0.0,-6.8,-6.9,-6.9,-8.22,-1.1,0.5879,7.187,-7.95,-0.92,0.9602,7.994,6.986149608863468,0.103240569401224,7.394092517367643,,,7.394092517367643,-3.7829127311706543,0.9367556571960448,-2.728632926940918,0.9781668186187744,-2.8640661239624023,0.8953444361686707,3JY9,7.301029995663981,high,4.143420000000002,8,129.5361,0.4476318198781084,7,117.29
