canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5cccn5)cc4)nc32)C1,CHEMBL5948890,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.3,0.0,0.0,-9.3,0.0,0.0,-8.0,-8.4,-9.2,-9.54,0.03,0.9572,8.096,-9.45,-0.44,0.9727,8.165,6.152489913672961,0.70389857552798,8.036672438524512,,,8.036672438524512,-3.3990354537963867,0.9497126340866088,-2.47055721282959,0.9912177920341492,-2.480699062347412,0.9082074165344238,3LXK,9.259637310505756,high,2.755300000000001,8,125.5287,0.44306964665886683,7,97.94
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5ccnc5)cc4)nc32)C1,CHEMBL5890851,CHEMBL5739504,5.5,5.5,8.26,B,CHEMBL5729796,Ki,nM,UO_0000065,5.5,5.5,8.26,-9.1,0.0,0.0,-9.1,0.0,0.0,-8.3,-9.0,-9.0,-9.67,0.64,0.9533,8.307,-9.67,0.64,0.9533,8.307,6.226508024182847,0.5935973805688919,7.935381064407252,,,7.935381064407252,-3.4730944633483887,0.9580276608467102,-2.5900754928588867,0.995952606201172,-2.504254102706909,0.9201027154922484,3LXK,8.259637310505756,high,2.755300000000001,8,125.5287,0.44306964665886683,7,97.94
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(-n5ccnn5)cc4)nc32)C1,CHEMBL5772966,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.6,-8.0,-8.0,-9.61,1.45,0.9673,8.247,-9.61,1.45,0.9673,8.247,6.321037646064303,0.4774878816544362,8.005949421184525,,,8.005949421184525,-3.190277099609375,0.940290093421936,-2.04115629196167,0.9675874710083008,-2.4966742992401123,0.9129927158355712,3LXK,9.259637310505756,high,2.1502999999999997,9,123.3237,0.43669167174802137,7,110.83
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(C5=CCN(C)CC5)cc4)nc32)C1,CHEMBL5999450,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.6,0.0,0.0,-9.6,0.0,0.0,-8.3,-8.6,-8.6,-9.89,1.15,0.971,8.28,-9.89,1.15,0.971,8.28,5.474716243750475,3.3518436801493072,8.154537152225206,,,8.154537152225206,-3.7807631492614746,0.9594941139221193,-3.0625076293945312,0.9877533316612244,-2.516240119934082,0.9312349557876588,3LXK,9.259637310505756,high,3.2885000000000018,7,138.49769999999992,0.5338208858127481,7,83.36
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(C5CCN(C)CC5)cc4)nc32)C1,CHEMBL5917312,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.2,0.0,0.0,-9.2,0.0,0.0,-8.4,-9.1,-9.1,-9.68,1.41,0.9561,8.195,-8.87,0.35,0.9785,8.6,7.332873346624586,0.0464650761648388,8.219714016463072,,,8.219714016463072,-3.7885913848876953,0.970370352268219,-2.779974460601806,0.9864896535873412,-2.813895463943481,0.9542510509490968,3LXK,9.259637310505756,high,3.378800000000002,7,137.8786999999999,0.5310700660335611,7,83.36
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CCN(C)C)cc4)nc32)C1,CHEMBL6061730,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.5,0.0,0.0,-8.5,0.0,0.0,-7.6,-8.3,-7.6,-9.09,1.13,0.9875,8.362,-8.81,-0.12,0.99,8.293,7.386578272085621,0.0410602631058318,7.8894566311324,,,7.8894566311324,-3.733213424682617,0.967656135559082,-3.0098118782043457,0.9991753697395324,-2.597201347351074,0.9361368417739868,3LXK,9.259637310505756,high,2.673700000000001,7,130.6647,0.5090709133373901,9,83.36
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCN(C)CC5)cc4)nc32)C1,CHEMBL6036687,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.4,0.0,0.0,-9.4,0.0,0.0,-8.2,-8.6,-8.6,-9.71,0.66,0.9259,8.125,-9.24,-0.62,0.9767,8.344,7.364837574929286,0.0431680494086738,7.785462742089018,,,7.785462742089018,-3.652292251586914,0.97211492061615,-2.5026402473449707,0.9853606820106506,-2.759977102279663,0.958869218826294,3LXK,9.259637310505756,high,2.3169999999999993,8,141.18069999999986,0.48818623410029033,8,86.6
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCOCC5)cc4)nc32)C1,CHEMBL5786845,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.4,0.0,0.0,-9.4,0.0,0.0,-8.1,-8.1,-8.1,-9.72,0.99,0.9432,8.028,-9.37,1.88,0.9787,8.161,6.120301183879767,0.758051682708719,8.12060964346677,,,8.12060964346677,-3.843342781066896,0.9788241386413574,-2.885068893432617,0.999231219291687,-2.795079231262207,0.9584169983863832,3LXK,9.259637310505756,high,2.4017999999999997,8,134.50269999999995,0.5013759375334856,8,92.59
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(CN5CCSCC5)cc4)nc32)C1,CHEMBL5956961,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-9.1,0.0,0.0,-9.1,0.0,0.0,-8.2,-8.6,-8.6,-9.74,1.63,0.9233,8.114,-9.49,1.54,0.9624,8.13,6.4336302728769486,0.3684425056454222,8.014052873058644,,,8.014052873058644,-3.9218063354492174,0.970898449420929,-2.935564517974853,0.9992238283157348,-2.818836212158203,0.942573070526123,3LXK,9.259637310505756,high,3.118400000000002,8,141.00869999999986,0.48593765261970995,8,83.36
C=CC(=O)N1CC(CCn2c(=O)ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4F)nc32)C1,CHEMBL5826268,CHEMBL5739504,0.55,0.55,9.26,B,CHEMBL5729796,Ki,nM,UO_0000065,0.55,0.55,9.26,-8.7,0.0,0.0,-8.7,0.0,0.0,-7.2,-8.0,-8.0,-9.22,0.47,0.227,7.099,-8.05,2.41,0.8679,8.309,5.93358835177731,1.1652299752669364,8.222054687544,,,8.222054687544,-3.516425132751465,0.9387872219085692,-2.8974385261535645,0.9973950386047364,-2.0693564414978027,0.8801793456077576,3LXK,9.259637310505756,high,2.4604999999999997,8,138.07469999999992,0.5083470351587238,7,86.6
