canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=Cc1ccc(-c2cccc3nnc(N)n23)cc1,CHEMBL1983573,CHEMBL1963778,6309.57,5.2,5.2,F,CHEMBL1201862,pKi,,UO_0000065,5.2,6309.57,5.2,-5.0,0.0,0.0,-5.0,0.0,0.0,-3.8,-4.5,-4.5,-4.33,-0.49,0.7831,4.856,-1.11,-0.49,0.8558,4.463,6.460338911796591,0.3464663718402799,5.00837700353538,,,5.00837700353538,0.4754483699798584,0.4081466794013977,0.8377039432525635,0.3307320773601532,0.4864072203636169,0.4855612814426422,3MJG,5.200000237109354,low,2.6214999999999993,4,72.92640000000002,0.7437181701120923,2,56.209999999999994
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,CHEMBL1963778,63.1,7.2,7.2,F,CHEMBL1201862,pKi,,UO_0000065,7.2,63.1,7.2,-5.6,0.0,0.0,-5.6,0.0,0.0,-3.3,-5.0,-5.0,-3.27,-1.24,0.5779,5.395,-1.34,-1.91,0.8201,6.383,7.842686934077477,0.0143652459465515,7.588629478269965,,,7.588629478269965,-1.0432178974151611,0.4061595499515533,-0.5903232097625732,0.5000278353691101,0.3437747955322265,0.3122912645339966,3MJG,7.199970640755866,high,4.057700000000002,6,118.26610000000001,0.5841980653138986,6,99.25000000000001
CC(=O)Nc1ccc(-n2nc3ccc(N)nc3n2)cc1,CHEMBL2002723,CHEMBL1963778,1995.26,5.7,5.7,F,CHEMBL1201862,pKi,,UO_0000065,5.7,1995.26,5.7,-5.5,0.0,0.0,-5.5,0.0,0.0,-4.5,-5.0,-4.5,-5.35,-0.36,0.6664,4.974,-1.52,-0.36,0.8446,4.806,6.239692792552189,0.5758471310294102,5.150289818886877,,,5.150289818886877,0.1013925075531005,0.3957387506961822,0.5260223746299744,0.4311409592628479,0.3155508041381836,0.3603365421295166,3MJG,5.700000503883016,low,1.3560999999999996,6,75.37610000000001,0.7306720096184207,2,98.72
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,CHEMBL2000568,CHEMBL1963778,1584.89,5.8,5.8,F,CHEMBL1201862,pKi,,UO_0000065,5.8,1584.89,5.8,-5.1,0.0,0.0,-5.1,0.0,0.0,-3.8,-4.9,-4.9,-1.65,-0.38,0.8193,4.562,-1.57,-0.41,0.8986,4.736,5.931270790966241,1.1714647069956166,5.169091573880812,,,5.169091573880812,0.0599398612976074,0.510834276676178,0.2965726852416992,0.6083346009254456,0.2327103316783905,0.4133339822292328,3MJG,5.800000874803203,low,3.432500000000001,2,71.53420000000003,0.6926766498194515,2,45.75
CC(=O)c1ccccc1-c1ncnc2[nH]ccc12,CHEMBL1977931,CHEMBL1963778,31622.78,4.5,4.5,F,CHEMBL1201862,pKi,,UO_0000065,4.5,31622.78,4.5,-4.4,0.0,0.0,-4.4,0.0,0.0,-3.6,-4.1,-4.1,-1.32,-0.73,0.828,4.173,0.0,-0.75,0.8566,4.632,6.577848735451163,0.2643329267255631,6.238978419799617,,,6.238978419799617,1.076854228973389,0.3676304221153259,1.37557852268219,0.3488893806934356,1.1338679790496826,0.3863714635372162,3MJG,4.499999953328896,low,2.8275000000000006,3,69.32920000000003,0.6970438865095935,2,58.64
CC(C)(C)C1CCC(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)CC1,CHEMBL3702617,CHEMBL5733067,246.0,246.0,6.61,B,CHEMBL5726637,Ki,nM,UO_0000065,246.0,246.0,6.61,-6.8,0.0,0.0,-6.8,0.0,0.0,-4.6,-5.7,-5.7,-3.68,-0.69,0.375,4.802,0.0,-0.82,0.4141,4.66,6.782157933262792,0.1651361163648776,7.643112263746123,,,7.643112263746123,-0.7841484546661377,0.329419732093811,0.5974435210227966,0.3875654637813568,-0.7295461297035217,0.2712740004062652,3MJG,6.609064892896621,medium,3.9562000000000026,5,120.30760000000005,0.804597808329888,3,84.14
CC(C)(C)CCNC(=O)c1cccc(N2CCc3nc(N)ncc3C2)c1,CHEMBL3702620,CHEMBL5733067,164.0,164.0,6.79,B,CHEMBL5726637,Ki,nM,UO_0000065,164.0,164.0,6.79,-3.5,0.0,0.0,-3.5,0.0,0.0,-1.6,-3.2,-3.2,-3.69,-0.57,0.5477,5.116,-2.4,-0.61,0.5644,3.984,5.367747717756769,4.287975371240468,6.835048052513555,,,6.835048052513555,-0.2315161228179931,0.2367160022258758,1.250447392463684,0.2038007527589798,-0.5917238593101501,0.2696312665939331,3MJG,6.785156151952302,medium,2.7875000000000005,5,104.04560000000004,0.8828578348300089,4,84.14
CC(C)(C)c1ccc(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)cc1,CHEMBL3702604,CHEMBL5733067,109.0,109.0,6.96,B,CHEMBL5726637,Ki,nM,UO_0000065,109.0,109.0,6.96,-6.0,0.0,0.0,-6.0,0.0,0.0,-3.1,-5.4,-5.4,-5.65,-0.93,0.5702,5.413,-2.39,-0.96,0.7423,5.608,5.932420450780679,1.1683677188300952,7.234870393338685,,,7.234870393338685,-1.003648281097412,0.4637013375759125,0.5341625213623047,0.5035488605499268,-1.0903127193450928,0.4238538146018982,3MJG,6.962573502059376,medium,4.171300000000002,5,120.73560000000003,0.6880417993188799,3,84.14
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,CHEMBL406845,CHEMBL1963778,199.53,6.7,6.7,F,CHEMBL1201862,pKi,,UO_0000065,6.7,199.53,6.7,-4.1,0.0,0.0,-4.1,0.0,0.0,-2.4,-3.2,-3.2,-3.86,-0.19,0.575,5.541,-3.86,-0.19,0.575,5.541,5.486053696886941,3.265474548096487,5.14590845091892,,,5.14590845091892,-0.3868148326873779,0.4438576102256775,-0.6330407857894897,0.5073068737983704,0.7346121668815613,0.3804083466529846,3MJG,6.699991797446187,medium,3.483900000000001,5,85.17740000000003,0.7467618341433326,1,69.62
CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1,CHEMBL2001641,CHEMBL1963778,50118.72,4.3,4.3,F,CHEMBL1201862,pKi,,UO_0000065,4.3,50118.72,4.3,-5.1,0.0,0.0,-5.1,0.0,0.0,-3.3,-4.3,-4.3,-2.46,-0.26,0.8109,4.531,-2.46,-0.26,0.8109,4.531,6.224921018065245,0.5957704820614598,5.396233105412852,,,5.396233105412852,0.8320744037628174,0.2613409161567688,1.1842986345291138,0.1960538476705551,0.8831844925880432,0.3266279995441437,3MJG,4.300000029139088,low,1.3709999999999998,5,66.25550000000003,0.7120722308548998,2,79.62
CC(C)(c1cc(Br)c(O)c(I)c1)c1cc(Br)c(O)c(I)c1,CHEMBL1964382,CHEMBL1963778,1584.89,5.8,5.8,F,CHEMBL1201862,pKi,,UO_0000065,5.8,1584.89,5.8,-4.7,0.0,0.0,-4.7,0.0,0.0,-3.1,-4.3,-4.3,-4.72,-0.26,0.7212,6.97,-4.51,-0.63,0.7726,6.692,5.811915943859974,1.541998872423307,7.85404563477933,,,7.85404563477933,-1.3394746780395508,0.6591033935546875,-0.0409070774912834,0.7525503635406494,-0.0211614929139614,0.5656564235687256,3MJG,5.800000874803203,low,6.157900000000003,2,109.1756,0.38782899448404934,2,40.46
