canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
Brc1ccc2c(c1)-c1[nH]ncc1C2,CHEMBL1995172,CHEMBL1963788,5011.87,5.3,5.3,F,CHEMBL1201862,pKi,,UO_0000065,5.3,5011.87,5.3,-7.3,0.0,0.0,-7.3,0.0,0.0,-6.6,-6.6,-6.6,-7.3,0.0,0.9673,5.807,-7.3,0.0,0.9673,5.807,5.70305508134826,1.9812757256766813,5.330213934275591,,,5.330213934275591,0.714106559753418,0.3663408458232879,1.103558897972107,0.3144988417625427,0.7195097804069519,0.4181828498840332,4ASE,5.300000202445418,low,2.7434000000000003,1,54.52970000000001,0.6371699295071813,0,28.68
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,CHEMBL1992634,CHEMBL1963788,1000.0,6.0,6.0,F,CHEMBL1201862,pKi,,UO_0000065,6.0,1000.0,6.0,-8.9,0.0,0.0,-8.9,0.0,0.0,-6.7,-8.5,-8.5,-8.92,-0.33,0.9744,6.157,-8.92,-0.33,0.9744,6.157,5.222538786909652,5.990474351999239,5.292105926886104,,,5.292105926886104,0.2405166625976562,0.5545902848243713,0.2458187639713287,0.6585031151771545,0.9274287819862366,0.4506774842739105,4ASE,6.0,low,3.9924000000000017,1,69.22970000000002,0.7130454721594233,1,28.68
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,CHEMBL1963788,630.96,6.2,6.2,F,CHEMBL1201862,pKi,,UO_0000065,6.2,630.96,6.2,-8.6,0.0,0.0,-8.6,0.0,0.0,-6.5,-6.8,-6.8,-8.77,-0.6,0.9508,7.502,-8.77,-0.6,0.9508,7.502,6.270386722611749,0.5365538029616594,6.734888982993653,,,6.734888982993653,-0.4886207580566406,0.6025475263595581,0.3692103624343872,0.564934492111206,0.047334685921669,0.6401605010032654,4ASE,6.199998172182031,medium,3.405100000000002,7,111.93970000000004,0.4178840975839869,10,74.73000000000002
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,CHEMBL1993877,CHEMBL1963788,199.53,6.7,6.7,F,CHEMBL1201862,pKi,,UO_0000065,6.7,199.53,6.7,-7.1,0.0,0.0,-7.1,0.0,0.0,-6.1,-6.8,-6.9,-7.7,0.23,0.7807,6.36,-7.7,0.23,0.7807,6.36,5.910484591588331,1.22889678605413,6.34317107519379,,,6.34317107519379,0.061471939086914,0.5403434634208679,-0.027585033327341,0.4585268199443817,0.4556306600570678,0.6221601366996765,4ASE,6.699991797446187,medium,2.1099,4,67.38040000000002,0.7575490978636867,1,56.730000000000004
C=C(C)Cn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)c(F)c2)c(=O)n1-c1ccccc1,CHEMBL2032023,CHEMBL2032454,74.1,74.1,7.13,B,CHEMBL2029218,Ki,nM,UO_0000065,74.1,74.1,7.13,-11.0,0.0,0.0,-11.0,0.0,0.0,-8.1,-10.4,-10.4,-11.64,-0.38,0.9514,8.862,-11.64,-0.38,0.9514,8.862,6.5887347658619815,0.2577895059170034,6.863503679371017,,,6.863503679371017,-1.585355281829834,0.7856217622756958,-0.5615859031677246,0.8881770968437195,-0.4456197321414947,0.6830663681030273,4ASE,7.130181792020672,high,6.264020000000006,7,152.30219999999971,0.235613162529862,8,87.38000000000002
C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12,CHEMBL1977749,CHEMBL1963788,1000.0,6.0,6.0,F,CHEMBL1201862,pKi,,UO_0000065,6.0,1000.0,6.0,-8.7,0.0,0.0,-8.7,0.0,0.0,-7.0,-7.9,-7.9,-8.99,-0.03,0.8249,6.533,-8.99,-0.03,0.8249,6.533,5.4088848409558725,3.9004539876782687,4.4897975496947256,,,4.4897975496947256,0.4453315734863281,0.142922505736351,0.6591418981552124,0.0587343871593475,0.8896567225456238,0.2271106243133545,4ASE,6.0,low,4.1182000000000025,3,82.90050000000002,0.44447916161027007,3,45.730000000000004
CC(=O)N(c1ccncc1)c1c(NC(C)C(C)(C)C)c(=O)c1=O,CHEMBL2005899,CHEMBL1963788,6309.57,5.2,5.2,F,CHEMBL1201862,pKi,,UO_0000065,5.2,6309.57,5.2,-6.7,0.0,0.0,-6.7,0.0,0.0,-6.1,-6.7,-6.1,-7.0,1.71,0.6041,6.942,-6.18,0.6,0.7094,7.588,4.872048803429223,13.426140776806925,7.126040717439797,,,7.126040717439797,-0.6426219940185547,0.082703910768032,-0.4488841593265533,0.0304768644273281,0.1124594211578369,0.1349309533834457,4ASE,5.200000237109354,low,2.2087000000000003,5,90.95070000000005,0.875104649329547,4,79.37
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1972584,CHEMBL1963788,3981.07,5.4,5.4,F,CHEMBL1201862,pKi,,UO_0000065,5.4,3981.07,5.4,-10.7,0.0,0.0,-10.7,0.0,0.0,-8.5,-9.3,-9.3,-10.38,0.58,0.8147,8.947,-10.38,0.58,0.8147,8.947,7.865764449300238,0.0136218329703217,7.670195731691341,,,7.670195731691341,-0.7258808612823486,0.4660623073577881,-0.1634190082550048,0.4204575717449188,1.0014489889144895,0.511667013168335,4ASE,5.40000018605658,low,4.467300000000003,9,171.1635999999996,0.3088372790082138,5,127.2
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,CHEMBL1963788,15.85,7.8,7.8,F,CHEMBL1201862,pKi,,UO_0000065,7.8,15.85,7.8,-9.8,0.0,0.0,-9.8,0.0,0.0,-8.5,-9.2,-9.2,-9.38,-0.75,0.3261,7.626,-8.43,-0.09,0.7857,8.14,7.834286683543103,0.0146458073263917,7.613796847964608,,,7.613796847964608,-3.100073337554932,0.8813953399658203,-2.015207290649414,0.8864086270332336,-2.2049450874328613,0.8763821125030518,4ASE,7.79997073344623,high,4.057700000000002,6,118.26610000000001,0.5841980653138986,6,99.25000000000001
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,CHEMBL1973142,CHEMBL1963788,630.96,6.2,6.2,F,CHEMBL1201862,pKi,,UO_0000065,6.2,630.96,6.2,-7.3,0.0,0.0,-7.3,0.0,0.0,-5.8,-5.9,-5.9,-7.32,-0.63,0.6709,6.566,-6.97,-0.53,0.8653,6.823,4.605521678641438,24.80152133055803,5.983756510760716,,,5.983756510760716,0.7089743614196777,0.1999602615833282,1.1214948892593384,0.1799725145101547,1.1590594053268433,0.2199480235576629,4ASE,6.199998172182031,medium,3.2654000000000005,3,74.66660000000002,0.893412102483266,2,72.19
