canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1,CHEMBL4068509,CHEMBL4013894,1.6,1.6,8.8,B,CHEMBL4011651,Ki,nM,UO_0000065,1.6,1.6,8.8,-7.5,0.0,0.0,-7.5,0.0,0.0,-6.1,-7.4,-7.4,-9.85,-0.58,0.9756,9.037,-9.85,-0.58,0.9756,9.037,7.143729876994916,0.0718240884701393,8.901250904772963,,,8.901250904772963,-2.983795642852783,0.889061689376831,-1.8935357332229608,0.8873891830444336,-1.728715896606445,0.8907341361045837,4F65,8.795880017344075,high,3.544500000000002,9,149.73869999999977,0.3962813215359049,9,101.82000000000001
C=CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)cc1,CHEMBL4446835,CHEMBL4313102,1.9,1.9,8.72,B,CHEMBL4311952,Ki,nM,UO_0000065,1.9,1.9,8.72,-9.6,0.0,0.0,-9.6,0.0,0.0,-7.6,-9.1,-9.1,-8.48,-1.3,0.8321,7.397,-8.48,-1.3,0.8321,7.397,4.997895277782041,10.048580643190908,8.624574108094055,,,8.624574108094055,-1.0232560634613037,0.3006371259689331,-0.5070135593414307,0.2540302276611328,0.1606973707675933,0.3472440540790558,4F65,8.721246399047171,high,3.8455400000000024,7,127.40679999999999,0.3638390374305133,4,131.82999999999998
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,CHEMBL189584,CHEMBL5649143,40.8,40.8,7.390000000000001,B,CHEMBL5647700,Ki,nM,UO_0000065,40.8,40.8,7.390000000000001,-6.1,0.0,0.0,-6.1,0.0,0.0,-4.949999999999999,-5.75,-5.75,-7.92,-0.58,0.6244,7.794,-7.92,-0.58,0.6244,7.794,6.119495314509313,0.759459616236776,7.664188553828762,,,7.664188553828762,-2.5470399856567383,0.905673086643219,-1.562430500984192,0.9745687246322632,-1.4333882331848145,0.8367774486541748,4F65,7.389339836910119,high,5.162900000000004,8,153.2920999999998,0.2789878451156773,12,113.53
CCN(OCCN1CCNCC1)C(=O)c1ccc(N/C(=C2\C(=O)Nc3cc(C(=O)OC)c(C)cc32)c2ccccc2)cc1,CHEMBL5751745,CHEMBL5737023,63.0,63.0,7.2,B,CHEMBL5728567,Ki,nM,UO_0000065,63.0,63.0,7.2,-7.8,0.0,0.0,-7.8,0.0,0.0,-6.2,-6.9,-6.9,-8.58,-0.07,0.238,7.138,-5.93,0.25,0.7349,6.109,5.097986319685463,7.980198245670168,6.974188100270237,,,6.974188100270237,-2.5475382804870605,0.701977014541626,-1.0627678632736206,0.7081745266914368,-1.652120590209961,0.6957794427871704,4F65,7.200659450546418,high,4.013020000000003,8,166.4410999999996,0.18655814164725368,10,112.24
CCN1CCN(CCONC(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1,CHEMBL5953091,CHEMBL5737023,52.3,52.3,7.28,B,CHEMBL5728567,Ki,nM,UO_0000065,52.3,52.3,7.28,-7.5,0.0,0.0,-7.5,0.0,0.0,-6.1,-7.1,-7.1,-7.84,-1.4,0.6872,7.691,-7.84,-1.4,0.6872,7.691,4.846234924743004,14.248366422188274,6.774058564068203,,,6.774058564068203,-2.612801074981689,0.7468829154968262,-1.300573229789734,0.8235845565795898,-1.5403950214385986,0.6701812744140625,4F65,7.281498311132726,high,4.013020000000003,8,166.44109999999958,0.14212762410218066,10,112.24
CNC(=O)CN(C)CCNC(=O)c1ccc(N/C(=C2\C(=O)Nc3cc(C(=O)OC)c(C)cc32)c2ccccc2)cc1,CHEMBL5945261,CHEMBL5735253,100.0,100.0,7.0,B,CHEMBL5727732,Ki,nM,UO_0000065,100.0,100.0,7.0,-6.5,0.0,0.0,-6.5,0.0,0.0,-5.3,-5.9,-5.9,-8.18,1.37,0.3971,6.974,-8.1,-1.15,0.4337,7.202,5.672247399834947,2.126927077293281,6.890743824288353,,,6.890743824288353,-2.4885921478271484,0.7969180345535278,-1.035455346107483,0.8105224370956421,-1.6684424877166748,0.7833136320114136,4F65,7.0,high,3.1217200000000025,7,158.3657999999997,0.22353158422711022,10,128.86999999999998
CNC(=O)CN1CCN(C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1,CHEMBL5759219,CHEMBL5735253,23.9,23.9,7.62,B,CHEMBL5727732,Ki,nM,UO_0000065,23.9,23.9,7.62,-8.4,0.0,0.0,-8.4,0.0,0.0,-7.4,-7.7,-7.7,-10.63,-1.12,0.984,8.107,-10.63,-1.12,0.984,8.107,5.992007412960897,1.0185740018933382,7.239345113542364,,,7.239345113542364,-2.926128387451172,0.8645352125167847,-1.638727784156799,0.917740523815155,-1.858591079711914,0.8113298416137695,4F65,7.621602099051862,high,3.2179200000000012,7,160.87909999999965,0.2962954043945245,7,120.08
CNC(=O)CN1CCN(CCON(C)C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1,CHEMBL6024653,CHEMBL5737023,65.7,65.7,7.18,B,CHEMBL5728567,Ki,nM,UO_0000065,65.7,65.7,7.18,-6.1,0.0,0.0,-6.1,0.0,0.0,-5.1,-5.1,-5.1,-7.31,-1.93,0.1788,5.911,-6.63,-2.39,0.4548,6.02,6.69811848021839,0.2003925260363864,7.107269568690442,,,7.107269568690442,-2.8358311653137207,0.7205131649971008,-1.404063105583191,0.7324620485305786,-1.6474366188049316,0.708564281463623,4F65,7.182434630440219,high,3.0813200000000025,9,179.46109999999953,0.1643994283065996,11,132.54999999999998
CNC(=O)CN1CCN(CCON(C)C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)ccc43)c3ccccc3)cc2)CC1,CHEMBL5979151,CHEMBL5737023,126.0,126.0,6.9,B,CHEMBL5728567,Ki,nM,UO_0000065,126.0,126.0,6.9,-7.2,0.0,0.0,-7.2,0.0,0.0,-5.8,-6.4,-6.4,-8.72,-2.13,0.7218,7.824,-8.72,-2.13,0.7218,7.824,6.915417098228835,0.1215018531258079,7.342541144568517,,,7.342541144568517,-2.6902403831481934,0.7301703691482544,-0.8832745552062988,0.6606054306030273,-1.9347054958343504,0.7997353672981262,4F65,6.899629454882437,medium,2.7729000000000026,9,174.72409999999957,0.16703753426740695,11,132.54999999999998
CNC(=O)CN1CCN(CCONC(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1,CHEMBL5752345,CHEMBL5737023,40.0,40.0,7.4,B,CHEMBL5728567,Ki,nM,UO_0000065,40.0,40.0,7.4,-6.7,0.0,0.0,-6.7,0.0,0.0,-5.6,-5.8,-5.8,-8.67,-0.99,0.8835,7.867,-8.67,-0.99,0.8835,7.867,5.650194834303467,2.237717023005123,7.093956562865206,,,7.093956562865206,-2.646886348724365,0.7902083396911621,-1.104373335838318,0.7949752807617188,-1.629852056503296,0.7854413390159607,4F65,7.397940008672037,high,2.7391200000000033,9,174.8337999999996,0.10945980644574305,11,141.33999999999997
