canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
CC(=O)NC(N)=O,CHEMBL5399028,CHEMBL5340015,522000.0,522.0,3.28,B,CHEMBL5338729,Ki,uM,UO_0000065,522.0,522000.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6512,2.891,0.0,0.0,0.6512,2.891,4.713822927742303,19.327561873588262,2.3770654920588874,,,2.3770654920588874,1.5118558406829834,0.4277139902114868,1.4243355989456177,0.50850510597229,1.5993759632110596,0.3469228446483612,4TZ4,3.282329496997738,low,-0.7988,2,23.4001,0.4199986377892452,0,72.19
CC(=O)Nc1ccc(SCC2CCC(=O)NC2=O)cc1,CHEMBL5419709,CHEMBL5355404,3000.0,3.0,5.52,B,CHEMBL5352463,Ki,uM,UO_0000065,3.0,3000.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.79,0.6768,3.918,0.0,-0.79,0.6768,3.918,5.612343822849523,2.441496899771034,5.280946329344764,,,5.280946329344764,0.5158470273017883,0.7591133117675781,0.4329202175140381,0.8965149521827698,0.5987738370895386,0.6217116117477417,4TZ4,5.522878745280337,low,1.7898999999999996,4,77.34340000000003,0.655117731010351,4,75.27000000000001
CC(=O)Nc1cccc(SCC2CCC(=O)NC2=O)c1,CHEMBL5434742,CHEMBL5355404,3300.0,3.3,5.48,B,CHEMBL5352463,Ki,uM,UO_0000065,3.3,3300.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.6664,3.646,0.0,-0.91,0.6664,3.646,6.232594948466304,0.5853357521762097,4.976718247592709,,,4.976718247592709,0.7978783845901489,0.7199060916900635,0.896740198135376,0.8804747462272644,0.6990165114402771,0.5593374967575073,4TZ4,5.481486060122112,low,1.7898999999999998,4,77.34340000000003,0.655117731010351,4,75.27000000000001
CC(=O)Nc1ccccc1SCC1CCC(=O)NC1=O,CHEMBL5436622,CHEMBL5355404,3000.0,3.0,5.52,B,CHEMBL5352463,Ki,uM,UO_0000065,3.0,3000.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,0.71,3.623,0.0,-1.45,0.71,3.623,4.871903432375216,13.430635650703238,5.289598137827545,,,5.289598137827545,1.1157128810882568,0.6058549284934998,1.205272555351257,0.743381679058075,1.026153326034546,0.4683281779289245,4TZ4,5.522878745280337,low,1.7898999999999994,4,77.34340000000003,0.655117731010351,4,75.27000000000001
CC(=O)Nc1sccc1C(=O)NC1CCC(=O)NC1=O,CHEMBL5420119,CHEMBL5374908,65000.0,65.0,4.19,B,CHEMBL5370657,Ki,uM,UO_0000065,65.0,65000.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,0.6445,3.61,0.0,-0.84,0.6445,3.61,5.195878554596582,6.369736182731906,4.535845817475909,,,4.535845817475909,0.2521140277385711,0.6656398773193359,0.2079556733369827,0.8608742952346802,0.2962723970413208,0.4704055190086365,4TZ4,4.187086643357144,low,0.24149999999999966,5,72.26060000000001,0.6947526566477413,3,104.37
CC(=O)c1ccc(-c2nccc(NCC(=O)Nc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)n2)cc1,CHEMBL5885092,CHEMBL5738796,3900.0,3900.0,5.41,B,CHEMBL5729492,Ki,nM,UO_0000065,3900.0,3900.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.16,0.816,5.433,0.0,-3.16,0.816,5.433,6.3797589082618105,0.4171008661857538,6.733222545676687,,,6.733222545676687,0.2861488461494446,0.8498754501342773,0.9335193634033204,0.9180310368537904,-0.3612216711044311,0.7817198038101196,4TZ4,5.4089353929735005,low,2.1578,8,137.07909999999995,0.32192209685354845,7,150.45999999999998
CC(C)(C)C1=NOC2(CCC(=O)NC2=O)C1,CHEMBL5560360,CHEMBL5524487,77400.0,77.4,4.11,B,CHEMBL5523700,Ki,uM,UO_0000065,77.4,77400.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.716,3.658,0.0,-0.12,0.716,3.658,4.261179718098086,54.80501259612859,4.176224141497902,,,4.176224141497902,1.123147964477539,0.8734217882156372,0.7844536304473877,0.9145476818084716,1.4618422985076904,0.832295835018158,4TZ4,4.111259039317107,low,0.9841999999999997,4,57.706700000000026,0.6236349358367164,0,67.75999999999999
CC1CC(=O)NC(=O)C1,CHEMBL5562478,CHEMBL5524487,70700.0,70.7,4.15,B,CHEMBL5523700,Ki,uM,UO_0000065,70.7,70700.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.8159,3.288,0.0,0.0,0.8266,3.565,5.04230818226088,9.071765548285272,3.2501523541039536,,,3.2501523541039536,2.0729968547821045,0.3764914274215698,1.8713186979293823,0.4396789371967315,2.274674892425537,0.3133038878440857,4TZ4,4.150580586203101,low,0.059099999999999986,2,31.54769999999999,0.4675164967585937,0,46.17
CCC(CC)C1=NOC2(CCC(=O)NC2=O)C1,CHEMBL5565416,CHEMBL5524487,80900.0,80.9,4.09,B,CHEMBL5523700,Ki,uM,UO_0000065,80.9,80900.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.7199,3.884,0.0,-0.34,0.7199,3.884,5.0535187847273,8.840589297897697,4.74462406491199,,,4.74462406491199,0.8935485482215881,0.913796603679657,0.7057026624679565,0.9782330989837646,1.0813944339752195,0.8493601083755493,4TZ4,4.092051478387727,low,1.3743,4,62.32370000000003,0.7550388326466538,3,67.75999999999999
CCCC1=NOC2(CCC(=O)NC2=O)C1,CHEMBL5557543,CHEMBL5524487,41600.0,41.6,4.38,B,CHEMBL5523700,Ki,uM,UO_0000065,41.6,41600.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.7287,4.039,0.0,-0.08,0.7287,4.039,5.881107353801069,1.3148997602852532,4.730633404356079,,,4.730633404356079,0.9415725469589232,0.8437658548355103,0.4521302878856659,0.980065643787384,1.4310147762298584,0.7074660658836365,4TZ4,4.380906669373258,low,0.7381999999999997,4,53.15970000000002,0.6832942029115998,2,67.75999999999999
