canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,CHEMBL3375801,15.933333333333334,15.933333333333334,8.64,B,CHEMBL3351701,Ki,nM,UO_0000065,15.933333333333334,15.933333333333334,8.64,-6.6,0.0,0.0,-6.6,0.0,0.0,-6.0,-6.333333333333333,-6.333333333333333,-6.88,-0.79,0.9092,6.494,-6.88,-0.79,0.9092,6.494,6.296614750587554,0.5051091658515642,6.889037616887658,,,6.889037616887658,-1.3036675453186035,0.6011918187141418,-0.8331254720687866,0.568577766418457,-0.3249042630195617,0.6338058710098267,4ZAU,7.797693358107543,high,3.405100000000002,7,111.93970000000004,0.4178840975839869,10,74.73000000000002
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353410,CHEMBL3762136,150.63333333333333,6.1113333333333335,7.553333333333334,B,CHEMBL3758169,Ki,nM,UO_0000065,6.1113333333333335,150.63333333333333,7.553333333333334,-7.300000000000001,0.0,0.0,-7.300000000000001,0.0,0.0,-6.5,-6.666666666666667,-6.766666666666667,-7.690000000000001,-0.97,0.946,8.069,-7.690000000000001,-0.97,0.946,8.069,6.595673534740399,0.2537035038730152,7.74609754650298,,,7.74609754650298,-2.99336051940918,0.7425862550735474,-1.901212334632873,0.7450948357582092,-2.0313262939453125,0.7400776147842407,4ZAU,6.822078913388461,medium,4.509800000000003,8,150.87239999999974,0.3105348061023151,10,87.55
C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,CHEMBL4558324,CHEMBL5120704,271.0,0.271,6.57,B,CHEMBL5113557,Ki,uM,UO_0000065,0.271,271.0,6.57,-7.9,0.0,0.0,-7.9,0.0,0.0,-7.1,-7.2,-7.2,-8.13,-1.28,0.1541,6.639,-7.47,-1.7,0.9097,7.867,7.737137590671835,0.0183173401103469,7.581531358315533,,,7.581531358315533,-1.9140825271606443,0.633323073387146,-1.4104063510894775,0.7399700880050659,-0.1922676861286163,0.5266759991645813,4ZAU,6.567030709125595,medium,4.104200000000003,10,160.1163999999996,0.28004920687310475,10,109.67000000000002
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,CHEMBL3883534,CHEMBL3877213,0.14,0.14,9.85,B,CHEMBL3875233,Ki,nM,UO_0000065,0.14,0.14,9.85,-7.5,0.0,0.0,-7.5,0.0,0.0,-6.8,-6.9,-6.9,-7.52,-0.8,0.9012,7.212,-7.52,-0.8,0.9012,7.212,7.622619076595361,0.0238440993879175,8.217930875307571,,,8.217930875307571,-1.958498477935791,0.6753333806991577,-1.2068039178848269,0.7405951023101807,-1.2811346054077148,0.6100717186927795,4ZAU,9.853871964321762,high,4.299000000000002,5,99.60940000000001,0.6529251248528741,5,76.14
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31965,CHEMBL5534721,8.93,8.93,8.05,B,CHEMBL5532668,Ki(app),nM,UO_0000065,8.93,8.93,8.05,-7.6,0.0,0.0,-7.6,0.0,0.0,-7.0,-7.3,-7.3,-7.73,-0.91,0.8425,7.805,-7.73,-0.91,0.8425,7.805,5.976632236919115,1.0552801354643344,7.848726024724954,,,7.848726024724954,-2.718291759490967,0.6848061680793762,-2.1783223152160645,0.8006149530410767,-1.2493468523025513,0.5689973831176758,4ZAU,8.049148541111453,high,4.391500000000003,7,130.42839999999998,0.34297263045705784,9,88.61
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,CHEMBL4098072,CHEMBL5120704,98.9,0.0989,7.0,B,CHEMBL5113557,Ki,uM,UO_0000065,0.0989,98.9,7.0,-8.0,0.0,0.0,-8.0,0.0,0.0,-6.9,-7.5,-7.5,-8.87,-0.71,0.9491,7.907,-8.81,-0.59,0.9532,7.953,6.9654865374653605,0.1082713277237089,8.146794682769443,,,8.146794682769443,-3.9337968826293945,0.9340645670890808,-3.208171367645264,0.9996542930603028,-2.5981030464172363,0.8684748411178589,4ZAU,7.004803708402821,high,5.876400000000004,6,134.09709999999993,0.2178489862578435,8,91.93
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,CHEMBL3545308,CHEMBL4024822,303.0,303.0,6.52,B,CHEMBL4024702,Ki,nM,UO_0000065,303.0,303.0,6.52,-8.2,0.0,0.0,-8.2,0.0,0.0,-7.6,-7.8,-7.8,-8.35,-0.06,0.8807,7.693,-8.35,-0.06,0.8807,7.693,6.9161527948882,0.1212962027165688,8.244448534821688,,,8.244448534821688,-3.5410451889038086,0.8192296028137207,-2.6669297218322754,0.8813125491142273,-2.04864764213562,0.7571466565132141,4ZAU,6.518557371497695,medium,4.784200000000004,8,146.32909999999978,0.34067543048991267,8,111.72
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1972584,CHEMBL1963766,794.33,6.1,6.1,F,CHEMBL1201862,pKi,,UO_0000065,6.1,794.33,6.1,-10.1,0.0,0.0,-10.1,0.0,0.0,-8.5,-9.4,-9.4,-10.82,0.18,0.3458,7.248,-7.9,-1.02,0.428,7.367,8.185637539142332,0.0065217246815227,7.955308873058686,,,7.955308873058686,-1.3193345069885254,0.3182937502861023,-0.8700340986251831,0.4444055557250976,0.5615813732147217,0.1921819299459457,4ZAU,6.0999990348465305,medium,4.467300000000003,9,171.1635999999996,0.3088372790082138,5,127.2
CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4n3CCC4)nn12,CHEMBL1996587,CHEMBL1963766,1584.89,5.8,5.8,F,CHEMBL1201862,pKi,,UO_0000065,5.8,1584.89,5.8,-8.9,0.0,0.0,-8.9,0.0,0.0,-7.8,-7.8,-7.8,-9.05,0.2,0.8589,7.53,-9.05,0.2,0.8589,7.53,7.538339044693975,0.0289508257433645,8.067801071644746,,,8.067801071644746,-1.1073710918426514,0.6485871076583862,-0.5631939172744751,0.7335944771766663,-0.1068653315305709,0.5635797381401062,4ZAU,5.800000874803203,low,3.1491000000000007,7,105.78780000000003,0.5590560906168078,4,81.13
CC(C)(CO)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12,CHEMBL1972849,CHEMBL1963766,794.33,6.1,6.1,F,CHEMBL1201862,pKi,,UO_0000065,6.1,794.33,6.1,-8.3,0.0,0.0,-8.3,0.0,0.0,-7.6,-7.6,-7.6,-8.85,-0.4,0.899,7.492,-8.43,-0.98,0.9001,7.387,6.127835839132094,0.7450135316075295,7.688813584898587,,,7.688813584898587,-0.9740173816680908,0.3647152185440063,-0.1804317831993103,0.3589038252830505,-0.2107982039451599,0.3705265820026397,4ZAU,6.0999990348465305,medium,3.2471000000000014,8,102.69780000000002,0.4889077480800075,4,93.75
