canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
Brc1ccc(-c2csc(-c3cccnc3)n2)cn1,CHEMBL1957220,CHEMBL1961308,1482.0,1482.0,5.83,B,CHEMBL1955720,Ki,nM,UO_0000065,1482.0,1482.0,5.83,-7.4,0.0,0.0,-7.4,0.0,0.0,-5.6,-6.1,-7.0,-5.84,-0.26,0.5199,4.498,-5.29,-0.23,0.6573,5.434,5.296863042158434,5.048204711758603,6.6698851620525055,,,6.6698851620525055,0.2854800224304199,0.3697298765182495,1.179124116897583,0.2538355588912964,0.3791303634643554,0.4856241941452026,5JKV,5.82915179635669,low,4.029600000000002,4,76.27600000000001,0.6697127859588627,2,38.67
Brc1ccc(-c2csc(-c3ccncc3)n2)cn1,CHEMBL1957219,CHEMBL1961308,285.1,285.1,6.54,B,CHEMBL1955720,Ki,nM,UO_0000065,285.1,285.1,6.54,-6.8,0.0,0.0,-6.8,0.0,0.0,-5.3,-6.6,-6.6,-7.12,-0.27,0.5277,6.017,-4.0,-0.24,0.6242,4.533,5.195584834336373,6.37404559364168,6.652766520743882,,,6.652766520743882,-0.2123415470123291,0.4478311240673065,0.9057743549346924,0.3570179939270019,-0.3092524707317352,0.5386442542076111,5JKV,6.54500278269054,medium,4.029600000000002,4,76.27600000000001,0.6697127859588627,2,38.67
Brc1ccc(-c2nc(-c3cccnc3)cs2)cc1,CHEMBL1957212,CHEMBL1961308,1722.0,1722.0,5.76,B,CHEMBL1955720,Ki,nM,UO_0000065,1722.0,1722.0,5.76,-6.7,0.0,0.0,-6.7,0.0,0.0,-5.2,-6.2,-5.8,-7.29,-0.27,0.5763,6.516,-4.5,-0.24,0.6838,4.807,5.517055888965474,3.0404937221016763,6.045845959353715,,,6.045845959353715,0.8577880859375,0.4046922922134399,1.6591328382492063,0.2655625641345978,0.99221533536911,0.5438219904899597,5JKV,5.763966852882364,low,4.6346000000000025,3,78.48100000000002,0.6882466149040716,2,25.78
Brc1ccc(/C(=C/c2ccccc2)Cn2ccnn2)cc1,CHEMBL4468933,CHEMBL4339842,74.0,0.074,7.13,B,CHEMBL4339204,Ki,uM,UO_0000065,0.074,74.0,7.13,-8.4,0.0,0.0,-8.4,0.0,0.0,-6.7,-7.8,-7.8,-7.37,-0.67,0.4115,4.967,-6.18,-0.89,0.6396,5.03,5.258843020567437,5.510068265163325,5.392814128180021,,,5.392814128180021,-0.7311272621154785,0.698462963104248,-0.2419676184654235,0.8035688400268555,-0.065358281135559,0.5933570861816406,5JKV,7.130768280269024,high,4.281400000000004,3,88.47700000000002,0.6638721171448875,4,30.71
Brc1ccc(/C(=C\c2ccccc2)Cn2ccnn2)cc1,CHEMBL4562457,CHEMBL4339842,125.0,0.125,6.9,B,CHEMBL4339204,Ki,uM,UO_0000065,0.125,125.0,6.9,-7.8,0.0,0.0,-7.8,0.0,0.0,-6.9,-7.8,-7.8,-6.47,-1.1,0.2999,4.526,-4.97,-0.59,0.5622,4.673,4.854535779447877,13.978617474265498,5.086046182738054,,,5.086046182738054,-0.8205358982086182,0.6916781663894653,-0.2544837594032287,0.7886877059936523,-0.2255689799785614,0.5946686863899231,5JKV,6.903089986991944,medium,4.281400000000004,3,88.47700000000002,0.6638721171448875,4,30.71
Brc1ccc(/C=C(/Cn2ccnn2)c2ccc(Br)cc2)cc1,CHEMBL4454152,CHEMBL4339842,450.0,0.45,6.35,B,CHEMBL4339204,Ki,uM,UO_0000065,0.45,450.0,6.35,-8.0,0.0,0.0,-8.0,0.0,0.0,-6.9,-7.3,-7.0,-8.09,-0.05,0.2916,5.723,-6.07,-1.06,0.5011,4.772,5.824084022257012,1.4993947219468362,5.625123883918957,,,5.625123883918957,-1.366042137145996,0.6817864179611206,-0.6007140874862671,0.825360119342804,-0.4861908555030823,0.5382126569747925,5JKV,6.346787486224656,medium,5.0439000000000025,3,96.177,0.5550852981005906,4,30.71
Brc1ccc(/C=C(\Cn2ccnn2)c2ccc(Br)cc2)cc1,CHEMBL4450923,CHEMBL4339842,24.0,0.024,7.62,B,CHEMBL4339204,Ki,uM,UO_0000065,0.024,24.0,7.62,-8.0,0.0,0.0,-8.0,0.0,0.0,-6.7,-7.5,-7.4,-7.1,-1.0,0.5678,5.446,-6.52,-0.91,0.7513,5.331,5.744147811466211,1.8024041909307675,6.061444344226729,,,6.061444344226729,-1.4531102180480957,0.6652001142501831,-0.8069333434104919,0.8137862682342529,-0.4481768310070038,0.5166139602661133,5JKV,7.619788758288394,high,5.0439000000000025,3,96.177,0.5550852981005906,4,30.71
Brc1cccc(-c2nc(-c3cccnc3)ns2)c1,CHEMBL1957208,CHEMBL1961308,1160.0,1160.0,5.94,B,CHEMBL1955720,Ki,nM,UO_0000065,1160.0,1160.0,5.94,-7.3,0.0,0.0,-7.3,0.0,0.0,-6.0,-6.8,-6.1,-7.33,-0.29,0.5683,6.349,-4.92,-0.24,0.6296,5.18,5.097089523605812,7.996693975889068,6.212222131813329,,,6.212222131813329,0.4094686508178711,0.4614894986152649,0.8548070788383484,0.3250361680984497,0.9429793953895568,0.5979428291320801,5JKV,5.935542010773082,low,4.029600000000002,4,76.27600000000001,0.715917867134996,2,38.67
C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,CHEMBL82981,CHEMBL664889,7750.0,7750.0,5.11,B,CHEMBL1125884,Ki,nM,UO_0000065,7750.0,7750.0,5.11,-8.7,0.0,0.0,-8.7,0.0,0.0,-7.1,-7.9,-8.6,-7.64,0.97,0.4353,5.645,-7.59,0.86,0.6286,5.246,5.637913213854003,2.301901766203207,6.4287539802724325,,,6.4287539802724325,-6.508827209472656e-05,0.4882566332817077,0.557440459728241,0.5177993774414062,0.281815230846405,0.4587139189243316,5JKV,5.110698297493689,low,3.8826000000000036,2,90.49280000000006,0.5891015802430087,1,37.3
C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,CHEMBL109211,CHEMBL660322,47.6,47.6,7.32,B,CHEMBL1130177,Ki app,nM,UO_0000065,47.6,47.6,7.32,-9.5,0.0,0.0,-9.5,0.0,0.0,-8.1,-9.2,-9.2,-7.91,-0.32,0.7301,6.007,-7.91,-0.32,0.7301,6.007,7.168172130460931,0.0678934486971529,6.39156017271696,,,6.39156017271696,-0.0272057056427001,0.6690846681594849,0.3049376010894775,0.7663064002990723,-0.3593490123748779,0.5718629956245422,5JKV,7.322393047279506,high,3.9467000000000034,2,89.42300000000004,0.6873278148448886,1,34.14
