canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C#CCN(C)C(=O)c1cncc(-c2cnc3[nH]cc(-c4cc(C=O)c(C#C)cc4OC)c3c2)c1,CHEMBL5555423,CHEMBL5515841,3200.0,3.2,5.5,B,CHEMBL5512664,Ki,uM,UO_0000065,3.2,3200.0,5.5,-7.1,0.0,0.0,-7.1,0.0,0.0,-6.4,-6.4,-6.4,-9.33,0.56,0.1939,6.447,-8.55,-0.35,0.2325,6.389,6.169989489435803,0.6760993377907688,7.975685616616714,,,7.975685616616714,-1.1061924695968628,0.3717491030693054,-1.4770426750183103,0.4046272337436676,-0.7353422045707703,0.3388710021972656,5MO4,5.494850021680094,low,3.799500000000002,5,130.4287,0.35811134727974675,6,88.18
C#Cc1cc(OC)c(-c2ccc3nc(NC(=O)NCO)sc3c2)cc1C=O,CHEMBL5561816,CHEMBL5515841,13.0,13.0,7.89,B,CHEMBL5512664,Ki,nM,UO_0000065,13.0,13.0,7.89,-9.4,0.0,0.0,-9.4,0.0,0.0,-7.7,-7.7,-7.7,-9.52,1.88,0.7362,7.434,-9.22,0.94,0.8865,7.564,6.172623781386148,0.6720107472092218,7.616594069951279,,,7.616594069951279,-0.1511719971895218,0.2617037892341614,-0.298250138759613,0.2505042850971222,-0.0040938444435596,0.2729033231735229,5MO4,7.886056647693163,high,2.8370000000000006,6,104.17070000000002,0.35844135223164053,5,100.55000000000001
C(=C\n1ncc2c(NCCc3ccccc3)ncnc21)\c1ccccc1,CHEMBL203493,CHEMBL2073050,9750.0,9.75,5.01,B,CHEMBL2069178,Ki,uM,UO_0000065,9.75,9750.0,5.01,-8.9,0.0,0.0,-8.9,0.0,0.0,-7.1,-8.0,-8.9,-9.1,0.06,0.6066,6.887,-9.08,-0.06,0.8881,7.057,5.135324902827393,7.322765001040038,5.896828140867536,,,5.896828140867536,1.0404818058013916,0.4353547692298889,0.9908820390701294,0.3986275792121887,1.0900814533233645,0.4720819294452667,5MO4,5.010995384301463,low,4.108800000000003,5,105.62470000000002,0.5733322983829928,6,55.63
CC(=O)Nc1cc2ccc(-c3cc(F)ccc3C)cc2cn1,CHEMBL3685041,CHEMBL3705971,0.3,0.3,9.52,B,CHEMBL3638510,Ki,nM,UO_0000065,0.3,0.3,9.52,-11.9,0.0,0.0,-11.9,0.0,0.0,-9.2,-11.8,-11.8,-11.94,-0.34,0.9888,7.27,-11.94,-0.34,0.9888,7.27,5.355337943695673,4.412269755605452,7.299497009775115,,,7.299497009775115,0.1249734610319137,0.2892649173736572,0.1881700754165649,0.1606846749782562,0.0617768540978431,0.4178451895713806,5MO4,9.522878745280336,high,4.307720000000002,2,86.17770000000003,0.7650023905686156,2,41.99
CC(C)(C)N1CN(c2ccc(Cl)cc2)C(N)=C2C=NN=C21,CHEMBL404666,CHEMBL962773,520.0,0.52,6.28,B,CHEMBL1140987,Ki,uM,UO_0000065,0.52,520.0,6.28,-7.7,0.0,0.0,-7.7,0.0,0.0,-6.2,-7.7,-7.7,-9.04,1.18,0.5006,6.407,-8.05,0.68,0.6307,6.021,5.6504504900559365,2.2364001357276155,7.393084397681301,,,7.393084397681301,0.4889620840549469,0.1771911978721618,-0.1229682639241218,0.2499988675117492,1.100892424583435,0.1043835207819938,5MO4,6.2839966563652006,medium,2.7862,5,87.53040000000003,0.867675304928178,1,57.22
CC(C)(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685185,CHEMBL3705971,13.0,13.0,7.89,B,CHEMBL3638510,Ki,nM,UO_0000065,13.0,13.0,7.89,-9.8,0.0,0.0,-9.8,0.0,0.0,-7.0,-9.1,-9.1,-9.98,1.59,0.8915,6.845,-9.93,0.59,0.9736,7.014,6.498868139245858,0.3170529955148857,6.665823338221687,,,6.665823338221687,0.6008743047714233,0.1398837268352508,0.6108137369155884,0.0926962345838546,0.5909349322319031,0.187071219086647,5MO4,7.886056647693163,high,3.760600000000002,3,83.47770000000003,0.9332619097896849,3,51.22
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,CHEMBL406845,CHEMBL948149,500.0,0.5,6.3,B,CHEMBL1142337,Ki,uM,UO_0000065,0.5,500.0,6.3,-8.0,0.0,0.0,-8.0,0.0,0.0,-6.5,-7.2,-7.2,-8.27,1.22,0.2775,6.166,-7.06,-0.29,0.3732,5.225,5.863022431531071,1.370810961252344,6.712890556986278,,,6.712890556986278,0.1728774905204773,0.5440104007720947,0.3016108870506286,0.7023053765296936,0.0441441051661968,0.3857154250144958,5MO4,6.301029995663981,medium,3.483900000000001,5,85.17740000000003,0.7467618341433326,1,69.62
CC(C)(CO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685159,CHEMBL3705971,11.0,11.0,7.96,B,CHEMBL3638510,Ki,nM,UO_0000065,11.0,11.0,7.96,-8.8,0.0,0.0,-8.8,0.0,0.0,-5.8,-7.4,-7.4,-9.98,0.2,0.9455,6.831,-9.98,0.2,0.9455,6.831,6.566307697692008,0.2714515352922294,6.822078754380863,,,6.822078754380863,0.1275613158941269,0.1587508618831634,-0.3376979529857635,0.1454518884420395,0.5928205847740173,0.1720498353242874,5MO4,7.958607314841775,high,2.7330000000000005,4,84.88950000000003,0.8903687934613314,5,71.45
CC(C)=Cc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685145,CHEMBL3705971,3.0,3.0,8.52,B,CHEMBL3638510,Ki,nM,UO_0000065,3.0,3.0,8.52,-10.4,0.0,0.0,-10.4,0.0,0.0,-7.5,-7.9,-7.9,-10.45,0.01,0.9759,6.951,-10.45,0.01,0.9759,6.951,5.482996251389984,3.2885446936896123,6.52916931709161,,,6.52916931709161,0.3911876678466797,0.2484165132045745,0.4699892997741699,0.2356635779142379,0.3123860359191894,0.26116943359375,5MO4,8.522878745280337,high,4.006500000000003,2,82.42170000000003,0.9117253128742725,3,41.99
CC(C)COc1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685141,CHEMBL3705971,12.0,12.0,7.92,B,CHEMBL3638510,Ki,nM,UO_0000065,12.0,12.0,7.92,-8.6,0.0,0.0,-8.6,0.0,0.0,-6.0,-8.5,-8.5,-9.82,0.41,0.9057,6.779,-9.8,-0.04,0.9811,6.77,6.2368861865772,0.5795805643595495,6.312927027255364,,,6.312927027255364,0.3740224838256836,0.1552917957305908,0.5435108542442322,0.1121653988957405,0.204534113407135,0.1984182000160217,5MO4,7.920818753952375,high,3.618100000000002,3,83.42970000000004,0.9120023618082151,5,51.22
