canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C#CCOc1ccc(Nc2ccc3ncc(N4CCOCC4)nc3c2C#N)cc1OC,CHEMBL5886106,CHEMBL5735315,275.0,275.0,6.56,B,CHEMBL5727764,Ki,nM,UO_0000065,275.0,275.0,6.56,-9.2,0.0,0.0,-9.2,0.0,0.0,-7.3,-8.0,-8.0,-8.88,0.59,0.8644,8.066,-8.88,0.59,0.8644,8.066,7.606526724278177,0.0247441919345058,7.152736210692954,,,7.152736210692954,-0.6815953254699707,0.343230128288269,0.0932210981845855,0.4224538207054138,0.080627903342247,0.2640064656734466,6GQJ,6.560667306169737,medium,3.1022800000000013,8,117.88970000000003,0.6142304193906608,6,92.53000000000002
C#Cc1cc2c(N3CCN(C(=O)Nc4ccc(OCC)cc4)CC3)ncnc2[nH]1,CHEMBL6047470,CHEMBL5733244,5500.0,5500.0,5.26,B,CHEMBL5726738,Ki,nM,UO_0000065,5500.0,5500.0,5.26,-10.1,0.0,0.0,-10.1,0.0,0.0,-7.7,-7.9,-7.9,-10.31,1.14,0.1441,6.238,-8.29,-0.01,0.8118,7.656,5.1953394159820725,6.377648563333523,7.146412764739811,,,7.146412764739811,-0.6718041896820068,0.3233734965324402,-0.4071714580059051,0.3859264850616455,0.4643964767456054,0.2608205080032348,6GQJ,5.259637310505756,low,2.692,5,112.23940000000003,0.6691859080518014,4,86.38
CC(=N)Nc1ccc(-c2ncnc3cc(C4=CCN(C(=O)N5CCOCC5)CC4)sc23)cc1,CHEMBL6043079,CHEMBL5733245,500.0,500.0,6.3,B,CHEMBL5726738,Ki,nM,UO_0000065,500.0,500.0,6.3,-11.4,0.0,0.0,-11.4,0.0,0.0,-8.6,-9.3,-9.3,-11.42,0.3,0.1913,7.441,-8.99,-0.14,0.527,7.622,6.932437331089203,0.1168322307190984,7.352617574852063,,,7.352617574852063,-1.6489057540893557,0.7218121886253357,-0.8408746719360352,0.8155518174171448,-0.6388846039772034,0.6280725598335266,6GQJ,6.301029995663981,medium,4.308670000000004,6,131.8294,0.4468478694546078,3,94.44
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,CHEMBL1963734,251.19,6.6,6.6,F,CHEMBL1201862,pKi,,UO_0000065,6.6,251.19,6.6,-10.6,0.0,0.0,-10.6,0.0,0.0,-7.9,-9.8,-9.8,-10.69,-0.76,0.7139,8.023,-10.69,-0.76,0.7139,8.023,7.564923334126079,0.0272318198814465,7.467108353228512,,,7.467108353228512,-2.863105773925781,0.8314311504364014,-1.8535773754119875,0.8684276342391968,-1.908781886100769,0.794434666633606,6GQJ,6.599997654072045,medium,4.057700000000002,6,118.26610000000001,0.5841980653138986,6,99.25000000000001
CC(=O)Nc1ccc(-c2cc3c(N4CCN(C(=O)Nc5ccc(OC(F)(F)F)cc5)CC4)ncnc3[nH]2)cn1,CHEMBL5919655,CHEMBL5733244,3000.0,3000.0,5.779999999999999,B,CHEMBL5726738,Ki,nM,UO_0000065,3000.0,3000.0,5.779999999999999,-10.6,0.0,0.0,-10.6,0.0,0.0,-8.2,-9.9,-8.9,-10.74,-0.32,0.3484,7.808,-7.99,-0.15,0.3528,7.937,8.320445273449215,0.0047813961394029,7.753954729573025,,,7.753954729573025,-1.6877565383911133,0.4000019431114197,-0.8198894262313843,0.4225187599658966,-0.3545185923576355,0.3774851560592651,6GQJ,5.522878745280337,low,4.231000000000002,7,137.35309999999993,0.34563652451799265,5,128.37
CC(=O)Nc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1,CHEMBL1835865,CHEMBL1840409,240.0,240.0,6.62,B,CHEMBL1833953,Ki,nM,UO_0000065,240.0,240.0,6.62,-9.4,0.0,0.0,-9.4,0.0,0.0,-8.4,-8.7,-8.7,-9.83,-0.24,0.3911,6.424,-9.14,-0.34,0.9385,6.946,5.981590581121639,1.0433005080749227,5.77836897656408,,,5.77836897656408,-0.867544412612915,0.8016406297683716,-0.8950250744819641,0.8676189184188843,-0.8400638103485107,0.7356623411178589,6GQJ,6.619788758288394,medium,1.9464999999999997,7,87.5948,0.6790152818245072,4,110.75
CC(=O)Nc1cccc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccccc6)[nH]5)CC4)ncnc3[nH]2)c1,CHEMBL5991785,CHEMBL5732667,500.0,500.0,6.3,B,CHEMBL5726433,Ki,nM,UO_0000065,500.0,500.0,6.3,-12.8,0.0,0.0,-12.8,0.0,0.0,-10.0,-11.4,-11.5,-12.82,-0.67,0.481,8.296,-12.03,-0.73,0.7864,8.409,7.29839127677372,0.0503047185174219,7.775197347222245,,,7.775197347222245,-1.945545673370361,0.3749618530273437,-1.9485838413238523,0.4915000200271606,0.0309968143701553,0.2584236860275268,6GQJ,6.301029995663981,medium,5.665820000000005,5,146.5770999999998,0.2941379143753515,5,102.59
CC(=O)Nc1cccc(-c2cc3c(N4CCN(C(=O)NCc5ccc(F)cc5)CC4)ncnc3[nH]2)c1,CHEMBL5994950,CHEMBL5733244,3000.0,3000.0,5.779999999999999,B,CHEMBL5726738,Ki,nM,UO_0000065,3000.0,3000.0,5.779999999999999,-12.2,0.0,0.0,-12.2,0.0,0.0,-10.1,-11.35,-10.35,-11.2,-0.39,0.5426,7.959,-10.09,-0.62,0.7798,7.876,7.094192130992414,0.0805022222221514,7.455485940255895,,,7.455485940255895,-2.005345344543457,0.6619511842727661,-1.125858187675476,0.7592260241508484,-0.9169266819953918,0.5646764039993286,6GQJ,5.522878745280337,low,3.7542000000000018,5,136.05009999999996,0.39759260813539776,5,106.25
CC(=O)Nc1cccc(-c2cc3c(N4CCN(C(=O)Nc5ccc(OC(F)(F)F)cc5)CC4)ncnc3[nH]2)c1,CHEMBL6022774,CHEMBL5733244,3000.0,3000.0,5.779999999999999,B,CHEMBL5726738,Ki,nM,UO_0000065,3000.0,3000.0,5.779999999999999,-12.6,0.0,0.0,-12.6,0.0,0.0,-9.75,-10.1,-10.1,-10.65,0.32,0.2787,7.781,-10.32,0.43,0.668,7.975,7.469682026937328,0.0339092335130392,7.27396761958072,,,7.27396761958072,-1.796830654144287,0.4898293018341064,-1.031388759613037,0.5347874164581299,-0.362481951713562,0.4448711574077606,6GQJ,5.522878745280337,low,4.836000000000003,6,139.55809999999988,0.33455801831110193,5,115.48000000000002
CC(=O)Nc1cccc(Nc2nc(N)n(-c3ccccn3)n2)c1,CHEMBL1835866,CHEMBL1840409,180.0,180.0,6.75,B,CHEMBL1833953,Ki,nM,UO_0000065,180.0,180.0,6.75,-10.1,0.0,0.0,-10.1,0.0,0.0,-8.6,-9.2,-9.2,-10.37,-0.55,0.6245,7.073,-9.53,-0.64,0.9775,7.197,6.136276620456493,0.7306735384696416,5.590229131440773,,,5.590229131440773,-0.2957164943218231,0.7215300798416138,-0.817682147026062,0.8184868693351746,0.2262491583824157,0.624573290348053,6GQJ,6.7447274948966935,medium,1.9464999999999995,7,87.5948,0.6790152818245072,4,110.75
