canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,CHEMBL1983111,CHEMBL1963805,100.0,7.0,7.0,F,CHEMBL1201862,pKi,,UO_0000065,7.0,100.0,7.0,-8.4,0.0,0.0,-8.4,0.0,0.0,-7.1,-7.4,-7.4,-8.66,-0.89,0.5294,6.807,-8.49,-0.77,0.6535,6.875,7.653292834327165,0.0222181127154659,7.363390906618719,,,7.363390906618719,-2.662264823913574,0.8419613838195801,-1.4242949485778809,0.8775151968002319,-1.9500625133514404,0.806407630443573,6JOK,7.0,high,4.057700000000002,6,118.26610000000001,0.5841980653138986,6,99.25000000000001
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,CHEMBL2000568,CHEMBL1963805,2511.89,5.6,5.6,F,CHEMBL1201862,pKi,,UO_0000065,5.6,2511.89,5.6,-8.4,0.0,0.0,-8.4,0.0,0.0,-6.4,-7.3,-7.3,-8.38,-0.39,0.7421,5.489,-7.85,-0.4,0.9527,6.175,6.0814796670793525,0.8289347246626524,5.5643042824356055,,,5.5643042824356055,-0.346052885055542,0.7063369750976562,0.0991828888654708,0.7906981110572815,-0.3542307615280151,0.6219758987426758,6JOK,5.59999938302362,low,3.432500000000001,2,71.53420000000003,0.6926766498194515,2,45.75
CC(=O)c1ccccc1-c1ncnc2[nH]ccc12,CHEMBL1977931,CHEMBL1963805,31622.78,4.5,4.5,F,CHEMBL1201862,pKi,,UO_0000065,4.5,31622.78,4.5,-6.3,0.0,0.0,-6.3,0.0,0.0,-5.6,-6.1,-6.1,-6.19,-0.64,0.5341,4.401,-5.13,-0.79,0.7897,5.288,5.645982424158476,2.2595272111447176,5.598640168797557,,,5.598640168797557,2.09625506401062,0.3448823094367981,1.9177547693252563,0.487484723329544,2.274755477905273,0.2022799104452133,6JOK,4.499999953328896,low,2.8275000000000006,3,69.32920000000003,0.6970438865095935,2,58.64
CC(=O)n1nc(N)c2ccc(Br)cc21,CHEMBL1994956,CHEMBL1963805,2511.89,5.6,5.6,F,CHEMBL1201862,pKi,,UO_0000065,5.6,2511.89,5.6,-6.4,0.0,0.0,-6.4,0.0,0.0,-4.8,-4.9,-4.9,-6.54,-0.21,0.4638,4.795,-5.0,-0.21,0.8987,4.876,5.906720858684935,1.239593074805399,4.150640711945689,,,4.150640711945689,0.9009608030319214,0.2001760452985763,1.0257656574249268,0.2368542402982711,1.28664231300354,0.1634978502988815,6JOK,5.59999938302362,low,2.0411,4,58.14590000000001,0.7820210537427916,0,60.91
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)N(CCN)CCO)c2)n1,CHEMBL1993634,CHEMBL1963805,794.33,6.1,6.1,F,CHEMBL1201862,pKi,,UO_0000065,6.1,794.33,6.1,-8.2,0.0,0.0,-8.2,0.0,0.0,-6.7,-7.2,-7.2,-8.69,-1.58,0.0991,5.495,-6.35,-1.4,0.2083,5.63,5.632628482784384,2.3300836754225105,6.61230038146482,,,6.61230038146482,-0.5254521369934082,0.7497305870056152,1.102691650390625,0.8510790467262268,-0.2022358030080795,0.6483821868896484,6JOK,6.0999990348465305,medium,4.360200000000004,6,150.89709999999982,0.27801506384810637,8,125.51
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCOCCO)c2)n1,CHEMBL1978271,CHEMBL1963805,1000.0,6.0,6.0,F,CHEMBL1201862,pKi,,UO_0000065,6.0,1000.0,6.0,-8.1,0.0,0.0,-8.1,0.0,0.0,-6.7,-7.2,-7.2,-8.8,-1.3,0.1003,5.594,-6.6,-0.86,0.2259,6.029,6.668220112330672,0.2146742170671428,6.286797617924773,,,6.286797617924773,0.3487743139266968,0.6639851927757263,1.116928219795227,0.6384710669517517,-0.4193795919418335,0.6894993185997009,6JOK,6.0,low,4.705700000000005,6,149.09139999999982,0.24102860181908073,9,117.51
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,CHEMBL406845,CHEMBL1963805,251.19,6.6,6.6,F,CHEMBL1201862,pKi,,UO_0000065,6.6,251.19,6.6,-6.5,0.0,0.0,-6.5,0.0,0.0,-5.6,-5.8,-5.8,-6.53,0.18,0.5645,5.129,-6.53,0.18,0.5645,5.129,5.296067503253406,5.057460467816445,5.857406860893481,,,5.857406860893481,-1.7320985794067385,0.8641111850738525,-1.5122857093811035,0.9347013235092164,-0.9850732684135436,0.7935210466384888,6JOK,6.599997654072045,medium,3.483900000000001,5,85.17740000000003,0.7467618341433326,1,69.62
CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1,CHEMBL2001641,CHEMBL1963805,63095.73,4.2,4.2,F,CHEMBL1201862,pKi,,UO_0000065,4.2,63095.73,4.2,-7.4,0.0,0.0,-7.4,0.0,0.0,-5.8,-5.8,-5.8,-7.64,-0.24,0.529,5.769,-4.86,-0.27,0.6525,4.045,6.239881486413904,0.575596989197968,5.822060740418565,,,5.822060740418565,0.4472737312316894,0.1561572402715683,0.5954145789146423,0.1857666969299316,0.7286785244941711,0.1265477836132049,6JOK,4.200000030616179,low,1.3709999999999998,5,66.25550000000003,0.7120722308548998,2,79.62
CC(C)(c1cc(Br)c(O)c(I)c1)c1cc(Br)c(O)c(I)c1,CHEMBL1964382,CHEMBL1963805,398.11,6.4,6.4,F,CHEMBL1201862,pKi,,UO_0000065,6.4,398.11,6.4,-5.9,0.0,0.0,-5.9,0.0,0.0,-5.6,-5.8,-5.8,-6.49,-0.09,0.2843,6.007,-5.37,-0.29,0.558,6.556,5.669726207867562,2.1393103492108225,8.23403858040356,,,8.23403858040356,0.471769779920578,0.1699674278497696,0.9876595735549928,0.1960611492395401,-0.0441199950873851,0.143873706459999,6JOK,6.399996913372259,medium,6.157900000000003,2,109.1756,0.38782899448404934,2,40.46
CC(C)N(CCCN)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,CHEMBL1994318,CHEMBL1963805,316.23,6.5,6.5,F,CHEMBL1201862,pKi,,UO_0000065,6.5,316.23,6.5,-8.6,0.0,0.0,-8.6,0.0,0.0,-7.1,-7.7,-7.7,-9.14,-1.13,0.1378,6.292,-5.65,-2.25,0.3238,5.866,6.600462263868706,0.2509214197254492,6.536613577675468,,,6.536613577675468,-0.7948951721191406,0.6197496652603149,0.177960604429245,0.6471468210220337,0.238768458366394,0.5923525094985962,6JOK,6.499996931948306,medium,6.166400000000005,5,158.6972999999997,0.2554042246707381,8,105.28
