canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C(=C(c1ccc(OCCN2CCCCCC2)cc1)c1ccc(OCCN2CCCCCC2)cc1)c1ccccc1,CHEMBL3099624,CHEMBL3100300,870.0,0.87,6.06,B,CHEMBL3098012,Ki,uM,UO_0000065,0.87,870.0,6.06,,,,,,,,,,,,,,,,,,5.98009043002078,1.0469105346924847,6.969317048410707,,,6.969317048410707,-1.3221783638000488,0.5547488927841187,-1.006993055343628,0.7228972315788269,0.4233876168727875,0.3866005837917328,7AWE,6.060480747381382,medium,7.78510000000001,4,167.10499999999954,0.23274983995514353,11,24.940000000000005
C/C=C\NC(=O)[C@H]1NC(=O)[C@H](CC(N)=O)CC(=O)[C@@H](NC(=O)C(=O)[C@@H](C)CC)Cc2ccc(O)c(c2)-c2cccc3c2NC(=O)[C@@]3(O)[C@@H]1O,CHEMBL2337848,CHEMBL2345515,2.3,2.3,8.64,B,CHEMBL2331312,Ki,nM,UO_0000065,2.3,2.3,8.64,,,,,,,,,,,,,,,,,,7.323762527589992,0.0474501371892215,5.879468340130597,,,5.879468340130597,-2.228628635406494,0.3533371686935425,-0.5405636429786682,0.3522895872592926,-1.1721879243850708,0.3543847203254699,7AWE,8.638272163982407,high,-0.19869999999999588,10,173.9855999999997,0.17082093719577204,8,254.31999999999994
C=CCN1CCN(c2ccn(CC(=O)N[C@@H](CC(C)C)B(O)O)c(=O)c2)CC1,CHEMBL2385816,CHEMBL2388793,5900.0,5.9,5.23,B,CHEMBL2384970,Ki,uM,UO_0000065,5.9,5900.0,5.23,,,,,,,,,,-5.49,0.18,0.2785,4.29,-4.58,-0.87,0.4635,4.425,5.433777819143115,3.6831735304770814,6.937136166325816,,,6.937136166325816,-1.281916618347168,0.3593560755252838,-0.3547732830047607,0.4422879219055176,-0.8182975649833679,0.27642422914505,7AWE,5.229147988357855,low,-0.3007999999999982,7,111.12930000000006,0.39576512483390786,9,98.03999999999999
CC(C)CC(NC(=O)C(CO)NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(N)=O,CHEMBL3977256,CHEMBL3860288,2180.0,2.18,5.66,B,CHEMBL3860032,Ki,uM,UO_0000065,2.18,2180.0,5.66,-6.3,0.0,0.0,-6.3,0.0,0.0,-5.2,-5.3,-5.3,-6.99,-1.77,0.4897,4.851,-5.76,-0.71,0.5766,4.83,5.573343616917422,2.670892343211343,5.744084159143708,,,5.744084159143708,-0.5128219127655029,0.2344183325767517,0.8607689142227173,0.1715825051069259,0.0638513565063476,0.2972541749477386,7AWE,5.661543506395395,low,0.7230000000000014,7,134.95810000000003,0.22776030393570426,13,180.08
CC(C)CCNC(=O)Cn1cc(Br)c2ncccc2c1=O,CHEMBL3233441,CHEMBL3239238,560.0,0.56,6.25,B,CHEMBL3232790,Ki,uM,UO_0000065,0.56,560.0,6.25,-4.9,0.0,0.0,-4.9,0.0,0.0,-4.4,-4.7,-4.7,-4.63,-0.43,0.5402,4.544,-4.19,-0.29,0.6566,3.829,5.4875650160585305,3.2541306388628715,4.989645654301464,,,4.989645654301464,0.5535826683044434,0.2326056361198425,0.5546433925628662,0.2487623542547226,1.667796969413757,0.2164489328861236,7AWE,6.251811972993799,medium,2.3213,4,86.16770000000004,0.8983571301383426,5,63.99
CC(C)CCNC(=O)Cn1ccc(N2CCOCC2)cc1=O,CHEMBL3233447,CHEMBL3239238,7670.0,7.67,5.12,B,CHEMBL3232790,Ki,uM,UO_0000065,7.67,7670.0,5.12,-5.0,0.0,0.0,-5.0,0.0,0.0,-4.1,-4.9,-5.0,-4.5,-0.68,0.3962,4.034,-3.27,-0.49,0.4657,4.264,4.724172565022666,18.872413129704903,4.969164525904601,,,4.969164525904601,0.8152756690979004,0.130241647362709,0.8153753280639648,0.1400360465049743,1.5854310989379885,0.1204472556710243,7AWE,5.115204636051019,low,0.8472000000000004,5,86.19870000000004,0.846043915811107,6,63.57
CC(C)CCNC(=O)Cn1ccc(Nc2ccccc2)cc1=O,CHEMBL3233445,CHEMBL3239238,330.0,0.33,6.48,B,CHEMBL3232790,Ki,uM,UO_0000065,0.33,330.0,6.48,-4.9,0.0,0.0,-4.9,0.0,0.0,-4.6,-4.6,-4.8,-5.24,0.79,0.3483,3.568,-5.02,-0.73,0.52,4.362,4.907666386871601,12.3689721917103,4.975557606145716,,,4.975557606145716,0.979599952697754,0.233988344669342,1.2209153175354004,0.2866099178791046,1.5505425930023191,0.1813667714595794,7AWE,6.481486060122112,medium,2.754200000000001,4,92.89140000000006,0.8259664115932758,7,63.13
CC(C)CCNC(=O)Cn1ccc2c(c1=O)CCCN2,CHEMBL3233443,CHEMBL3239238,10100.0,10.1,5.0,B,CHEMBL3232790,Ki,uM,UO_0000065,10.1,10100.0,5.0,-5.1,0.0,0.0,-5.1,0.0,0.0,-4.4,-4.7,-5.0,-4.84,1.08,0.3486,4.069,-4.42,-0.24,0.5568,3.745,4.96796819864582,10.765440410300014,4.775227113897988,,,4.775227113897988,1.5823787450790403,0.1460476517677307,1.7229145765304563,0.1676211506128311,1.965381145477295,0.1244741529226303,7AWE,4.995678626217358,low,1.3686999999999998,4,79.97740000000003,0.8541601981673249,5,63.13
CC(C)CCNC(=O)Cn1ccc2ccc(Br)cc2c1=O,CHEMBL3287947,CHEMBL5144654,4390.0,4.39,5.36,B,CHEMBL5143533,Ki,uM,UO_0000065,4.39,4390.0,5.36,-5.2,0.0,0.0,-5.2,0.0,0.0,-4.5,-4.9,-4.9,-5.26,-0.41,0.4036,4.307,-4.51,-0.34,0.593,4.002,5.325195506928868,4.729383077610768,4.81470809854927,,,4.81470809854927,0.4690628051757812,0.2223680317401886,1.1916511058807373,0.2431692630052566,0.8556066155433655,0.2015668153762817,7AWE,5.357535479757878,low,2.9263000000000012,3,88.37270000000005,0.9006145573240564,5,51.1
CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,CHEMBL64925,CHEMBL3860288,25.03333333333333,0.0250333333333333,8.146666666666667,B,CHEMBL3860032,Ki,uM,UO_0000065,0.0250333333333333,25.03333333333333,8.146666666666667,-5.199999999999999,0.0,0.0,-5.199999999999999,0.0,0.0,-4.300000000000001,-4.766666666666667,-4.5,-5.66,-1.77,0.3846,4.696,-5.64,-0.32,0.5775,5.001,5.796062309054651,1.5993285534465187,5.392227585130283,,,5.392227585130283,-3.18567419052124,0.9692946076393129,-2.526386260986328,0.9905974268913268,-1.9175206422805784,0.9479917883872986,7AWE,7.6014813177154945,high,3.5882000000000014,5,131.84109999999998,0.35596462764532816,14,113.60000000000001
