canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
C/C(=N/O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2,CHEMBL362322,CHEMBL826331,9.1,9.1,8.04,B,CHEMBL1137224,Ki,nM,UO_0000065,9.1,9.1,8.04,,,,,,,,,,,,,,,,,,6.285616341465011,0.5180642911822039,6.220790613522399,,,6.220790613522399,-1.8887453079223635,0.952938675880432,-1.522297978401184,0.9498762488365172,-1.0511337518692017,0.956001043319702,7KK3,8.040958607678906,high,3.389000000000001,4,93.66270000000004,0.42756082925148964,2,66.62
C/C(=N\O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2,CHEMBL2204335,CHEMBL2208631,9.1,9.1,8.04,B,CHEMBL2203023,Ki,nM,UO_0000065,9.1,9.1,8.04,,,,,,,,,,,,,,,,,,6.177824449456707,0.6640114229014205,6.056256771567223,,,6.056256771567223,-1.7948665618896484,0.9482088685035706,-1.1653746366500854,0.9442455172538756,-1.226694107055664,0.9521722197532654,7KK3,8.040958607678906,high,3.389000000000001,4,93.66270000000004,0.42756082925148964,2,66.62
C/C(=N\O)c1cn2c3c(cccc13)C(=O)NCC2,CHEMBL189466,CHEMBL826331,39.0,39.0,7.41,B,CHEMBL1137224,Ki,nM,UO_0000065,39.0,39.0,7.41,,,,,,,,,,,,,,,,,,4.680693776593167,20.85961187281809,6.439282126909209,,,6.439282126909209,-0.5683245658874512,0.952877402305603,-0.4750405550003052,0.9618991613388062,-0.1706865131855011,0.9438557028770448,7KK3,7.4089353929735005,high,1.5829,4,68.26870000000002,0.45344815267162664,1,66.62
C=CCOc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1OC,CHEMBL134116,CHEMBL759581,9.4,9.4,8.03,B,CHEMBL1132951,Ki,nM,UO_0000065,9.4,9.4,8.03,-9.1,0.0,0.0,-9.1,0.0,0.0,-7.9,-8.9,-8.4,-9.11,-0.45,0.9497,7.248,-9.11,-0.45,0.9497,7.248,6.839924872182981,0.1445689836386423,7.086101426719448,,,7.086101426719448,-0.9703593254089355,0.8990036249160767,-0.4843538999557495,0.9145602583885192,-0.4018318951129913,0.8834470510482788,7KK3,8.0268721464003,high,2.9022000000000006,4,92.29160000000002,0.682481722878104,6,90.23
CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F,CHEMBL3937647,CHEMBL3888158,1.3,1.3,8.89,B,CHEMBL3886604,Ki,nM,UO_0000065,1.3,1.3,8.89,-10.3,0.0,0.0,-10.3,0.0,0.0,-9.1,-10.3,-10.3,-10.41,-0.91,0.9352,7.448,-10.41,-0.91,0.9352,7.448,5.591815512838228,2.5596729983934825,7.151069305147749,,,7.151069305147749,-2.636530876159668,0.9862871170043944,-2.045039653778076,0.9869288206100464,-1.7325811386108398,0.985645353794098,7KK3,8.886056647693163,high,3.0764000000000014,4,103.86740000000003,0.7661421947959726,7,91.91999999999999
CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F,CHEMBL2058686,CHEMBL2061718,4.0,4.0,8.4,B,CHEMBL2057095,Ki,nM,UO_0000065,4.0,4.0,8.4,-10.0,0.0,0.0,-10.0,0.0,0.0,-8.9,-9.5,-9.5,-9.97,0.01,0.9079,7.519,-9.97,0.01,0.9079,7.519,5.993907101792136,1.0141282906923603,6.866309847363465,,,6.866309847363465,-2.541764736175537,0.9826162457466124,-2.228294849395752,0.9835947155952454,-1.355049729347229,0.9816377758979796,7KK3,8.397940008672037,high,2.5557,5,104.03610000000002,0.678452629098901,7,103.94999999999999
CC(=O)N(C)C1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1,CHEMBL3968163,CHEMBL3888158,6.0,6.0,8.22,B,CHEMBL3886604,Ki,nM,UO_0000065,6.0,6.0,8.22,-10.6,0.0,0.0,-10.6,0.0,0.0,-9.7,-10.0,-10.0,-10.86,0.35,0.8686,7.435,-10.26,0.64,0.8803,7.871,6.9222422785212,0.1196073095550926,7.422968848900332,,,7.422968848900332,-3.026634693145752,0.9881726503372192,-2.361367702484131,0.996206760406494,-1.953062653541565,0.9801385402679444,7KK3,8.221848749616356,high,1.5506999999999995,5,113.62690000000003,0.7716194515140987,4,98.4
CC(=O)N1CCC(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)CC1,CHEMBL3928161,CHEMBL3888158,126.0,126.0,6.9,B,CHEMBL3886604,Ki,nM,UO_0000065,126.0,126.0,6.9,-11.0,0.0,0.0,-11.0,0.0,0.0,-9.3,-10.9,-10.9,-11.18,-0.07,0.7049,7.297,-9.67,2.12,0.7265,7.162,6.280651529088189,0.5240207337574708,7.719592010471254,,,7.719592010471254,-1.7921795845031738,0.9409953355789183,-1.2504063844680786,0.9332237243652344,-0.7909451127052307,0.9487668871879578,7KK3,6.899629454882437,medium,2.4365000000000006,4,114.35540000000005,0.8123085429548454,4,95.16
CC(=O)N1CCC(c2nc3c(C(N)=O)cccc3[nH]2)CC1,CHEMBL460268,CHEMBL992765,59.0,0.059,7.23,B,CHEMBL1157504,Ki,uM,UO_0000065,0.059,59.0,7.23,-9.7,0.0,0.0,-9.7,0.0,0.0,-8.3,-8.3,-9.3,-9.72,-0.29,0.7781,6.432,-9.58,-0.29,0.9681,7.043,7.301782275316491,0.0499134655728998,7.208776350190947,,,7.208776350190947,-0.9334781169891356,0.9828858375549316,0.0485453754663467,0.9902973771095276,-1.1145813465118408,0.9754742980003356,7KK3,7.229147988357855,high,1.3877,3,78.84060000000004,0.8733638388207561,2,92.07999999999998
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1,CHEMBL3889630,CHEMBL3888158,0.1,0.1,10.0,B,CHEMBL3886604,Ki,nM,UO_0000065,0.1,0.1,10.0,-11.7,0.0,0.0,-11.7,0.0,0.0,-10.3,-11.2,-11.2,-12.29,0.65,0.8502,7.35,-10.83,0.65,0.8702,7.304,6.735427933309166,0.1838959084843471,6.899212787210703,,,6.899212787210703,-3.1540565490722656,0.9910842180252076,-2.5844268798828125,0.999241590499878,-2.050255060195923,0.982926905155182,7KK3,10.0,high,1.6828999999999992,4,108.86320000000005,0.8312366073410937,3,86.37
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1,CHEMBL2058918,CHEMBL2061718,1.35,1.35,8.870000000000001,B,CHEMBL2057095,Ki,nM,UO_0000065,1.35,1.35,8.870000000000001,-11.2,0.0,0.0,-11.2,0.0,0.0,-10.15,-10.65,-10.65,-11.9,1.15,0.7712,7.554,-10.11,0.74,0.8653,7.351,6.764202514079639,0.1721065844682403,6.889171481603183,,,6.889171481603183,-3.340780258178711,0.9953621625900269,-2.654252052307129,0.999841332435608,-2.3304872512817383,0.9908830523490906,7KK3,8.869666231504993,high,1.1621999999999995,5,109.03190000000004,0.7870630344916255,3,98.4
