structure_era,method,n_targets,median_pearson_r,mean_pearson_r
2019+ deposition,Boltz-2,3,0.737409919941985,0.7568170319934783
2019+ deposition,DynamicBind,3,0.2928116777259414,0.2727890452328607
2019+ deposition,GNINA 1.3,3,0.3738864519183759,0.4276176029019254
2019+ deposition,PLAPT,3,0.4330228037160493,0.3948287942264814
2019+ deposition,QVina2,3,0.2428011065671541,0.1221016761721413
pre-2019 deposition,Boltz-2,13,0.5104934906080162,0.4739516305749488
pre-2019 deposition,DynamicBind,13,0.2749211569911057,0.2553813200153894
pre-2019 deposition,GNINA 1.3,13,0.1436491040472468,0.19671997690229612
pre-2019 deposition,PLAPT,13,0.194005533746751,0.14090600502266964
pre-2019 deposition,QVina2,13,0.0672756200241898,0.0753902468097639
