file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_102.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_102_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1010.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1010_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1007.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1007_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1017.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1017_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1037.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1037_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1043.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1043_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1033.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1033_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1047.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1047_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1005.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1005_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1019.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1019_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1046.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1046_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1004.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1004_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3eyg/qvina/ligand_1001.sdf,data/results_bindingdb/3eyg/docking/qvina/ligand_1001_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
