file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1004.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1004_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1026.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1026_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1031.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1031_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1023.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1023_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1033.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1033_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1007.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1007_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_100.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1036.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1036_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1042.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1042_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/3jy9/qvina/ligand_1016.sdf,data/results_bindingdb/3jy9/docking/qvina/ligand_1016_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
