file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_101.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_101_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_100.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_111.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_111_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_110.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_110_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_107.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_107_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_10.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_10_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_116.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_116_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_115.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_115_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_117.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_117_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_113.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_113_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_103.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_103_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_114.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_114_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_109.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_109_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_108.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_108_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_102.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_102_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_112.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_112_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_118.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_118_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_120.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_120_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_121.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_121_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_123.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_123_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_119.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_119_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_11.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_11_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_127.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_127_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_12.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_12_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_126.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_126_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_131.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_131_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_122.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_122_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_129.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_129_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_124.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_124_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_130.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_130_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_125.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_125_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_128.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_128_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/3mjg/qvina/ligand_132.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/3mjg/docking/qvina/ligand_132_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
