file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_104.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_104_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_107.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_107_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_110.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_110_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_109.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_109_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_105.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_105_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_106.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_106_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_112.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_112_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_101.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_101_out.pdbqt,0,True,True,False,False,True,,,,,,,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_103.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_103_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_102.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_102_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_10.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_10_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_111.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_111_out.pdbqt,0,True,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_100.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_113.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_113_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_108.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_108_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/4f65/gnina/ligand_114.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/4f65/docking/gnina/ligand_114_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
