file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_110.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_110_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_105.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_105_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_108.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_108_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_102.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_102_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_111.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_111_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_103.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_103_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_101.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_101_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_113.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_113_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_10.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_10_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_100.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_106.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_106_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_107.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_107_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_109.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_109_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_112.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_112_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_116.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_116_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_114.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_114_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_115.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_115_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_119.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_119_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_117.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_117_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_120.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_120_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_118.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_118_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_11.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_11_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/gnina/ligand_121.sdf,data/results_bindingdb/5jkv/docking/gnina/ligand_121_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
