file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_109.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_109_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_104.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_104_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_107.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_107_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_100.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_102.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_102_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_108.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_108_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_114.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_114_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_106.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_106_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_111.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_111_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_112.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_112_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_110.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_110_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_101.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_101_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_105.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_105_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_10.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_10_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_103.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_103_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_113.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_113_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_115.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_115_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
data/results_bindingdb/posebusters/sdf/5jkv/qvina/ligand_116.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/5jkv/docking/qvina/ligand_116_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True
