file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_1.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_1_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_19.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_19_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_21.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_21_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_15.sdf,data/results_bindingdb/7awe/docking/gnina/ligand_15_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_20.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_20_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_10.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_10_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_11.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_11_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_12.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_12_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_16.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_16_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_24.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_24_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_22.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_22_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_17.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_17_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_18.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_18_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_14.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_14_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_13.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_13_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_23.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_23_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_26.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_26_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_27.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_27_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_31.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_31_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_28.sdf,data/results_bindingdb/7awe/docking/gnina/ligand_28_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_2.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_2_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_34.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_34_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_30.sdf,data/results_bindingdb/7awe/docking/gnina/ligand_30_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/gnina/ligand_32.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/gnina/ligand_32_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
