file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_41.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/qvina/ligand_41_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_11.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/qvina/ligand_11_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_4.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/qvina/ligand_4_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_63.sdf,data/results_bindingdb/7awe/docking/qvina/ligand_63_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_58.sdf,data/results_bindingdb/7awe/docking/qvina/ligand_58_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_60.sdf,data/results_bindingdb/7awe/docking/qvina/ligand_60_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_5.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/qvina/ligand_5_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_61.sdf,data/results_bindingdb/7awe/docking/qvina/ligand_61_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_62.sdf,data/results_bindingdb/7awe/docking/qvina/ligand_62_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7awe/qvina/ligand_10.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7awe/docking/qvina/ligand_10_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False
