file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1005.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1005_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1006.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1006_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1012.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1012_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1007.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1007_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1008.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1008_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1004.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1004_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1009.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1009_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1019.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1019_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1013.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1013_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1015.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1015_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1017.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1017_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1016.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1016_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1014.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1014_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_101.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_101_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_100.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_100_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1018.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1018_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1020.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1020_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1023.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1023_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1028.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1028_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1025.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1025_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1029.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1029_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1027.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1027_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1022.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1022_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1021.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1021_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1032.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1032_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_102.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_102_out.pdbqt,0,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1034.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1034_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1033.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1033_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1030.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1030_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1024.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1024_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1031.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1031_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1026.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1026_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1035.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1035_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1038.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1038_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1036.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1036_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1040.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1040_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1046.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1046_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1039.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1039_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1037.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1037_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1045.sdf,/mnt/tank/scratch/okonovalova/docking-benchmark-2/data/results/7kk3/docking/qvina/ligand_1045_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True
data/results_bindingdb/posebusters/sdf/7kk3/qvina/ligand_1047.sdf,data/results_bindingdb/7kk3/docking/qvina/ligand_1047_out.pdbqt,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
