n_tests_passed,pct_ligands,method_id,method_label
1,100.0,boltz2,Boltz-2
2,100.0,boltz2,Boltz-2
3,100.0,boltz2,Boltz-2
4,100.0,boltz2,Boltz-2
5,100.0,boltz2,Boltz-2
6,100.0,boltz2,Boltz-2
7,100.0,boltz2,Boltz-2
8,100.0,boltz2,Boltz-2
9,100.0,boltz2,Boltz-2
10,100.0,boltz2,Boltz-2
11,100.0,boltz2,Boltz-2
12,97.8678212564333,boltz2,Boltz-2
13,74.48737848215015,boltz2,Boltz-2
14,74.48737848215015,boltz2,Boltz-2
15,74.48737848215015,boltz2,Boltz-2
16,74.48737848215015,boltz2,Boltz-2
17,74.48737848215015,boltz2,Boltz-2
18,74.48737848215015,boltz2,Boltz-2
19,74.0462380524467,boltz2,Boltz-2
20,59.3660648639817,boltz2,Boltz-2
