n_tests_passed,pct_ligands,method_id,method_label
1,100.0,dynamicbind,DynamicBind
2,100.0,dynamicbind,DynamicBind
3,100.0,dynamicbind,DynamicBind
4,100.0,dynamicbind,DynamicBind
5,100.0,dynamicbind,DynamicBind
6,100.0,dynamicbind,DynamicBind
7,100.0,dynamicbind,DynamicBind
8,100.0,dynamicbind,DynamicBind
9,100.0,dynamicbind,DynamicBind
10,100.0,dynamicbind,DynamicBind
11,100.0,dynamicbind,DynamicBind
12,100.0,dynamicbind,DynamicBind
13,100.0,dynamicbind,DynamicBind
14,100.0,dynamicbind,DynamicBind
15,100.0,dynamicbind,DynamicBind
16,100.0,dynamicbind,DynamicBind
17,99.92716015660567,dynamicbind,DynamicBind
18,99.37175635072384,dynamicbind,DynamicBind
19,79.19511973049258,dynamicbind,DynamicBind
20,18.018756259674042,dynamicbind,DynamicBind
