n_tests_passed,pct_ligands,method_id,method_label
1,100.0,qvina,QVina2
2,100.0,qvina,QVina2
3,100.0,qvina,QVina2
4,100.0,qvina,QVina2
5,97.84250269687163,qvina,QVina2
6,97.77385505540845,qvina,QVina2
7,97.77385505540845,qvina,QVina2
8,97.77385505540845,qvina,QVina2
9,97.68559380209865,qvina,QVina2
10,97.2639011473963,qvina,QVina2
11,96.48916347945475,qvina,QVina2
12,63.234284593507894,qvina,QVina2
13,27.09620476610768,qvina,QVina2
14,26.939295871334707,qvina,QVina2
15,26.576444052172207,qvina,QVina2
16,25.889967637540455,qvina,QVina2
17,22.908698636853977,qvina,QVina2
18,13.641267039325292,qvina,QVina2
19,8.355398646660783,qvina,QVina2
20,3.716779444934785,qvina,QVina2
