n_tests_passed,pct_ligands,method_id,method_label
1,0.0,boltz2,Boltz-2
2,0.0,boltz2,Boltz-2
3,0.0,boltz2,Boltz-2
4,0.0,boltz2,Boltz-2
5,0.0,boltz2,Boltz-2
6,0.0,boltz2,Boltz-2
7,0.0,boltz2,Boltz-2
8,0.0,boltz2,Boltz-2
9,0.0,boltz2,Boltz-2
10,0.0,boltz2,Boltz-2
11,2.132178743566702,boltz2,Boltz-2
12,23.380442774283146,boltz2,Boltz-2
13,0.0,boltz2,Boltz-2
14,0.0,boltz2,Boltz-2
15,0.0,boltz2,Boltz-2
16,0.0,boltz2,Boltz-2
17,0.0,boltz2,Boltz-2
18,0.4411404297034556,boltz2,Boltz-2
19,14.680173188464995,boltz2,Boltz-2
20,59.3660648639817,boltz2,Boltz-2
