n_tests_passed,pct_ligands,method_id,method_label
1,0.0,dynamicbind,DynamicBind
2,0.0,dynamicbind,DynamicBind
3,0.0,dynamicbind,DynamicBind
4,0.0,dynamicbind,DynamicBind
5,0.0,dynamicbind,DynamicBind
6,0.0,dynamicbind,DynamicBind
7,0.0,dynamicbind,DynamicBind
8,0.0,dynamicbind,DynamicBind
9,0.0,dynamicbind,DynamicBind
10,0.0,dynamicbind,DynamicBind
11,0.0,dynamicbind,DynamicBind
12,0.0,dynamicbind,DynamicBind
13,0.0,dynamicbind,DynamicBind
14,0.0,dynamicbind,DynamicBind
15,0.0,dynamicbind,DynamicBind
16,0.0728398433943367,dynamicbind,DynamicBind
17,0.5554038058818174,dynamicbind,DynamicBind
18,20.176636620231267,dynamicbind,DynamicBind
19,61.176363470818536,dynamicbind,DynamicBind
20,18.018756259674042,dynamicbind,DynamicBind
