n_tests_passed,pct_ligands,method_id,method_label
1,0.0,qvina,QVina2
2,0.0,qvina,QVina2
3,0.0,qvina,QVina2
4,2.157497303128371,qvina,QVina2
5,0.06864764146317544,qvina,QVina2
6,0.0,qvina,QVina2
7,0.0,qvina,QVina2
8,0.088261253309797,qvina,QVina2
9,0.42169265470236345,qvina,QVina2
10,0.7747376679415514,qvina,QVina2
11,33.254878885946844,qvina,QVina2
12,36.13807982740022,qvina,QVina2
13,0.15690889477297243,qvina,QVina2
14,0.36285181916249876,qvina,QVina2
15,0.6864764146317545,qvina,QVina2
16,2.9812690006864764,qvina,QVina2
17,9.267431597528685,qvina,QVina2
18,5.28586839266451,qvina,QVina2
19,4.638619201725998,qvina,QVina2
20,3.716779444934785,qvina,QVina2
