canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1;CHEMBL877109;50.12;-7.3;;;1470811;[];Binding affinity towards Acetylcholinesterase;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1138798;J Med Chem;2004.0;{'bei': '18.28', 'le': '0.40', 'lle': '1.86', 'sei': '24.94'};CHEMBL330004;;CHEMBL330004;7.3;0;http://www.openphacts.org/units/Nanomolar;380948;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Log Ki;;UO_0000065;;False
C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2;CHEMBL862409;6.4;6.4;;;1719862;[];Inhibition of human AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1148525;J Med Chem;2006.0;{'bei': '15.47', 'le': '0.29', 'lle': '0.89', 'sei': '12.95'};CHEMBL210453;;CHEMBL210453;8.19;0;http://www.openphacts.org/units/Nanomolar;490752;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;nM;UO_0000065;;False
C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2;CHEMBL862409;15.7;15.7;;;1719867;[];Inhibition of human AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1148525;J Med Chem;2006.0;{'bei': '16.03', 'le': '0.30', 'lle': '0.96', 'sei': '12.39'};CHEMBL382423;;CHEMBL382423;7.8;0;http://www.openphacts.org/units/Nanomolar;490751;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;nM;UO_0000065;;False
C/C=C1\C2C=C(C)C[C@]1(N)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2(C)C;CHEMBL862409;16.5;16.5;;;1719743;[];Inhibition of human AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1148525;J Med Chem;2006.0;{'bei': '15.12', 'le': '0.28', 'lle': '0.31', 'sei': '12.36'};CHEMBL208092;;CHEMBL208092;7.78;0;http://www.openphacts.org/units/Nanomolar;490750;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;nM;UO_0000065;;False
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2;CHEMBL862409;47.0;47.0;;;1719860;[];Inhibition of human AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1148525;J Med Chem;2006.0;{'bei': '30.24', 'le': '0.56', 'lle': '5.33', 'sei': '12.45'};CHEMBL395280;HUPERZINE A;CHEMBL395280;7.33;0;http://www.openphacts.org/units/Nanomolar;490754;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;nM;UO_0000065;;False
C=CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2;CHEMBL1002717;0.0847;84.7;;;2342474;[];Inhibition of human recombinant AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1150386;J Med Chem;2008.0;{'bei': '18.39', 'le': '0.34', 'lle': '2.35', 'sei': '18.98'};CHEMBL507174;;CHEMBL507174;10.07;0;http://www.openphacts.org/units/Nanomolar;794838;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;pM;UO_0000065;;False
C=CC[n+]1ccc(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)cc1;CHEMBL877109;218.78;-6.66;;;1470987;[];Binding affinity towards Acetylcholinesterase;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1138798;J Med Chem;2004.0;{'bei': '17.98', 'le': '0.35', 'lle': '3.26', 'sei': '16.90'};CHEMBL189122;;CHEMBL189122;6.66;0;http://www.openphacts.org/units/Nanomolar;380668;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Log Ki;;UO_0000065;;False
C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21;CHEMBL877109;338.84;-6.47;;;1471137;[];Binding affinity towards Acetylcholinesterase;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1138798;J Med Chem;2004.0;{'bei': '19.46', 'le': '0.35', 'lle': '2.03', 'sei': '34.77'};CHEMBL362350;;CHEMBL362350;6.47;0;http://www.openphacts.org/units/Nanomolar;380952;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Log Ki;;UO_0000065;;False
CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2;CHEMBL1002717;0.223;223.0;;;2341291;[];Inhibition of human recombinant AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1150386;J Med Chem;2008.0;{'bei': '17.56', 'le': '0.32', 'lle': '2.57', 'sei': '13.76'};CHEMBL451277;;CHEMBL451277;9.65;0;http://www.openphacts.org/units/Nanomolar;794617;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;pM;UO_0000065;;False
CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2;CHEMBL1002717;20.88;20877.0;;;2341293;[];Inhibition of human recombinant AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1150386;J Med Chem;2008.0;{'bei': '13.55', 'le': '0.26', 'lle': '-0.08', 'sei': '13.21'};CHEMBL501587;;CHEMBL501587;7.68;0;http://www.openphacts.org/units/Nanomolar;794615;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;pM;UO_0000065;;False
CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2;CHEMBL965669;27.95;27.95;;;2341376;[];Inhibition of human AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1150386;J Med Chem;2008.0;{'bei': '13.33', 'le': '0.25', 'lle': '-0.21', 'sei': '13.00'};CHEMBL501587;;CHEMBL501587;7.55;0;http://www.openphacts.org/units/Nanomolar;794615;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;10'-9M;UO_0000065;;False
CC(=O)N(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2;CHEMBL1002717;5.15;5150.0;;;2341294;[];Inhibition of human recombinant AChE;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1150386;J Med Chem;2008.0;{'bei': '14.62', 'le': '0.28', 'lle': '0.53', 'sei': '14.26'};CHEMBL175949;;CHEMBL175949;8.29;0;http://www.openphacts.org/units/Nanomolar;794614;=;1;1;=;;Ki;nM;;CHEMBL220;Homo sapiens;Acetylcholinesterase;9606;;;Ki;pM;UO_0000065;;False
