canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(C)=O)cc3)C[C@@]21C;CHEMBL827149;8.9;8.9;;;1463085;[];Inhibition of human androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1138676;J Med Chem;2004;{'bei': '18.15', 'le': '0.33', 'lle': '3.12', 'sei': '13.97'};CHEMBL364368;;CHEMBL364368;8.05;0;http://www.openphacts.org/units/Nanomolar;378802;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C#Cc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3;CHEMBL809267;650.0;650.0;;;200513;[];Binding affinity towards testosterone receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1144889;J Med Chem;2003;{'bei': '18.12', 'le': '0.32', 'lle': '0.24', 'sei': '29.10'};CHEMBL7671;;CHEMBL7671;6.19;0;http://www.openphacts.org/units/Nanomolar;3280;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;CHEMBL884739;240.0;240.0;;;1610263;[];Inhibitory concentration against Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1140376;J Med Chem;2005;{'bei': '21.19', 'le': '0.39', 'lle': '1.98', 'sei': '19.39'};CHEMBL402063;E-GUGGULSTERONE;CHEMBL402063;6.62;0;http://www.openphacts.org/units/Nanomolar;403109;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C;CHEMBL884739;315.0;315.0;;;1610250;[];Inhibitory concentration against Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1140376;J Med Chem;2005;{'bei': '20.81', 'le': '0.39', 'lle': '1.86', 'sei': '19.04'};CHEMBL410683;GUGGULSTERONE;CHEMBL410683;6.5;0;http://www.openphacts.org/units/Nanomolar;403108;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C(C)=CCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1OC(C)=O;CHEMBL648329;6387.0;6387.0;;;507635;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '13.21', 'le': '0.30', 'lle': '-0.28', 'sei': '14.62'};CHEMBL50619;;CHEMBL50619;5.2;0;http://www.openphacts.org/units/Nanomolar;85178;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C=C(C)C(Cc2cc(OC)c(Br)cc2O)C(C)(C)C1;CHEMBL648329;1591.0;1591.0;;;508848;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '16.51', 'le': '0.38', 'lle': '0.55', 'sei': '19.68'};CHEMBL299828;;CHEMBL299828;5.8;0;http://www.openphacts.org/units/Nanomolar;85164;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C=C(C)CC(C)(C)C1(O)Cc1ccc([N+](=O)[O-])cc1;CHEMBL648329;6454.0;6454.0;;;482620;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '18.06', 'le': '0.34', 'lle': '1.39', 'sei': '8.19'};CHEMBL2113712;;CHEMBL2113712;5.19;0;http://www.openphacts.org/units/Nanomolar;85159;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C=C(C)CC(C)(C)C1C/C=C/c1cc(OC)c(Br)cc1O;CHEMBL648329;2318.0;2318.0;;;500276;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '14.93', 'le': '0.33', 'lle': '-0.49', 'sei': '19.13'};CHEMBL49978;;CHEMBL49978;5.63;0;http://www.openphacts.org/units/Nanomolar;85163;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1O;CHEMBL648329;1449.0;1449.0;;;507626;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '16.62', 'le': '0.38', 'lle': '0.59', 'sei': '19.82'};CHEMBL48746;;CHEMBL48746;5.84;0;http://www.openphacts.org/units/Nanomolar;85155;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O;CHEMBL648329;1942.0;1942.0;;;486190;[];Binding affinity determined against human Androgen receptor;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1129561;J Med Chem;1996;{'bei': '14.52', 'le': '0.33', 'lle': '0.24', 'sei': '16.08'};CHEMBL54270;;CHEMBL54270;5.71;0;http://www.openphacts.org/units/Nanomolar;85166;=;1;1;=;;Ki;nM;;CHEMBL1871;Homo sapiens;Androgen receptor;9606;;;Ki;nM;UO_0000065;;False
