canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C/C=C(/C)C(=O)O[C@@H]1CC(C)(C)C[C@@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)[C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O;CHEMBL1051620;7600.0;7.6;;;2696723;[];Binding affinity to Bcl-xL by fluorescein-labeled Bak-BH3 peptide competition binding assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1152410;J Nat Prod;2009.0;{'bei': '9.00', 'le': '0.17', 'lle': '-1.78', 'sei': '5.07'};CHEMBL554122;ICTEROGENIN;CHEMBL554122;5.12;0;http://www.openphacts.org/units/Nanomolar;822043;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)/N=c1\sc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)nn1C;CHEMBL3887354;743.18;743.178;;334793.0;17713035;[];"Time Resolved-Fluorescence Resonance Energy Transfer (TR-FRET) Assay: Representative compounds were serially diluted in dimethyl sulfoxide (DMSO) starting at 50 μM (2× starting concentration; 10% DMSO) and 10 μL were transferred into a 384-well plate. Then 10 μL of a protein/probe/antibody mix was added to each well at final concentrations listed in TABLE 1. The samples are then mixed on a shaker for 1 minute and incubated for an additional 3 hours at room temperature. For each assay, the probe/antibody and protein/probe/antibody were included on each assay plate as negative and positive controls, respectively. Fluorescence was measured on the ENVISION plate reader (Perkin Elmer) using a 340/35 nm excitation filter and 520/525 (F-Bak peptide) and 495/510 nm (Tb-labeled anti-Histidine antibody) emission filters.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886289;;2015.0;{'bei': '9.80', 'le': '0.20', 'lle': '2.44', 'sei': '5.24'};CHEMBL3933269;;CHEMBL3933269;6.13;0;http://www.openphacts.org/units/Nanomolar;2843722;=;37;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)N1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859053;894.0;0.894;;;1681296;[];Binding affinity to Bcl-XL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '10.36', 'le': '0.21', 'lle': '2.46', 'sei': '4.26'};CHEMBL202509;;CHEMBL202509;6.05;0;http://www.openphacts.org/units/Nanomolar;425032;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859054;2970.0;2.97;;;1681327;[];Binding affinity to Bcl-XL in 1% human serum by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '9.47', 'le': '0.19', 'lle': '1.94', 'sei': '3.89'};CHEMBL202509;;CHEMBL202509;5.53;0;http://www.openphacts.org/units/Nanomolar;425032;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943218;5820.0;5.82;;;8007008;[];Binding affinity to Bcl-xL by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012.0;{'bei': '8.34', 'le': '0.17', 'lle': '0.83', 'sei': '2.96'};CHEMBL1940662;;CHEMBL1940662;5.24;0;http://www.openphacts.org/units/Nanomolar;1572831;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943218;6450.0;6.45;;;8007623;[];Binding affinity to Bcl-xL by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012.0;{'bei': '7.41', 'le': '0.14', 'lle': '0.11', 'sei': '2.70'};CHEMBL1940666;;CHEMBL1940666;5.19;0;http://www.openphacts.org/units/Nanomolar;1572835;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943218;3420.0;3.42;;;8007011;[];Binding affinity to Bcl-xL by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012.0;{'bei': '8.26', 'le': '0.16', 'lle': '0.87', 'sei': '3.09'};CHEMBL1940665;;CHEMBL1940665;5.47;0;http://www.openphacts.org/units/Nanomolar;1572834;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@H](C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)C(C)C;CHEMBL1943218;16440.0;16.44;;;8007624;[];Binding affinity to Bcl-xL by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012.0;{'bei': '7.80', 'le': '0.16', 'lle': '0.76', 'sei': '2.71'};CHEMBL1940667;;CHEMBL1940667;4.78;0;http://www.openphacts.org/units/Nanomolar;1572836;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1nc(C)c(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)s1;CHEMBL3887354;177.06;177.064;;334794.0;17713036;[];"Time Resolved-Fluorescence Resonance Energy Transfer (TR-FRET) Assay: Representative compounds were serially diluted in dimethyl sulfoxide (DMSO) starting at 50 μM (2× starting concentration; 10% DMSO) and 10 μL were transferred into a 384-well plate. Then 10 μL of a protein/probe/antibody mix was added to each well at final concentrations listed in TABLE 1. The samples are then mixed on a shaker for 1 minute and incubated for an additional 3 hours at room temperature. For each assay, the probe/antibody and protein/probe/antibody were included on each assay plate as negative and positive controls, respectively. Fluorescence was measured on the ENVISION plate reader (Perkin Elmer) using a 340/35 nm excitation filter and 520/525 (F-Bak peptide) and 495/510 nm (Tb-labeled anti-Histidine antibody) emission filters.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886289;;2015.0;{'bei': '10.82', 'le': '0.22', 'lle': '1.58', 'sei': '6.04'};CHEMBL3905254;;CHEMBL3905254;6.75;0;http://www.openphacts.org/units/Nanomolar;2843723;=;37;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)OCOC(=O)c1ccc(/C(Cl)=C/[C@@H]2C=C(C)C[C@H]3C[C@H](CC(=O)NCc4ccc(Cl)cc4)C=C[C@]32C(=O)OCOC(C)=O)cc1;CHEMBL4148754;20730.0;20.73;;;18394911;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '6.70', 'le': '0.13', 'lle': '-1.83', 'sei': '3.49'};CHEMBL4167271;;CHEMBL4167271;4.68;0;http://www.openphacts.org/units/Nanomolar;3053250;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
