canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C=C(c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C;CHEMBL3859719;4200.0;4.2;;;16749028;[];Inhibition of 5-FAM-Bid peptide binding to Bcl-2 (unknown origin) by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3856277;Bioorg Med Chem Lett;2016;{'bei': '7.86', 'le': '0.15', 'lle': '-3.26', 'sei': '4.54'};CHEMBL3895790;;CHEMBL3895790;5.38;0;http://www.openphacts.org/units/Nanomolar;2799745;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)/N=c1\sc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)nn1C;CHEMBL3889232;743.18;743.178;;441985.0;17801693;[];"Time Resolved-Fluorescence Resonance Energy Transfer (TR-FRET) Assay: Representative compounds were serially diluted in dimethyl sulfoxide (DMSO) starting at 50 uM (2x starting concentration; 10% DMSO) and 10 uL were transferred into a 384-well plate. Then 10 uL of a protein/probe/antibody mix was added to each well at final concentrations listed in TABLE 1. The samples are then mixed on a shaker for 1 minute and incubated for an additional 3 hours at room temperature. For each assay, the probe/antibody and protein/probe/antibody were included on each assay plate as negative and positive controls, respectively. Fluorescence was measured on the ENVISION plate reader (Perkin Elmer) using a 340/35 nm excitation filter and 520/525 (F-Bak peptide) and 495/510 nm (Tb-labeled anti-Histidine antibody) emission filters Inhibition constants (Ki) are shown in TABLE 2 below and were determined using Wang's equation (Wang Z.-X. An Exact Mathematical Expression For Describing Competitive Binding Of Two Different Ligands To A Protein Molecule. FEBS Lett. 1995, 360:111-4).";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886998;;2016;{'bei': '9.80', 'le': '0.20', 'lle': '2.44', 'sei': '5.24'};CHEMBL3933269;;CHEMBL3933269;6.13;0;http://www.openphacts.org/units/Nanomolar;2901352;=;37;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;nM;UO_0000065;;False
CC(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943219;3780.0;3.78;;;8007633;[];Binding affinity to Bcl-2 by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012;{'bei': '8.64', 'le': '0.17', 'lle': '1.01', 'sei': '3.07'};CHEMBL1940662;;CHEMBL1940662;5.42;0;http://www.openphacts.org/units/Nanomolar;1572831;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943219;830.0;0.83;;;8007637;[];Binding affinity to Bcl-2 by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012;{'bei': '8.68', 'le': '0.17', 'lle': '1.00', 'sei': '3.16'};CHEMBL1940666;;CHEMBL1940666;6.08;0;http://www.openphacts.org/units/Nanomolar;1572835;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1;CHEMBL1943219;3390.0;3.39;;;8007636;[];Binding affinity to Bcl-2 by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012;{'bei': '8.27', 'le': '0.16', 'lle': '0.87', 'sei': '3.10'};CHEMBL1940665;;CHEMBL1940665;5.47;0;http://www.openphacts.org/units/Nanomolar;1572834;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N[C@H](C(=O)Nc1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1)C(C)C;CHEMBL1943219;9490.0;9.49;;;8007638;[];Binding affinity to Bcl-2 by competitive fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1938241;Bioorg Med Chem Lett;2012;{'bei': '8.18', 'le': '0.16', 'lle': '1.00', 'sei': '2.84'};CHEMBL1940667;;CHEMBL1940667;5.02;0;http://www.openphacts.org/units/Nanomolar;1572836;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1nc(C)c(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)s1;CHEMBL3889232;177.06;177.064;;441986.0;17801694;[];"Time Resolved-Fluorescence Resonance Energy Transfer (TR-FRET) Assay: Representative compounds were serially diluted in dimethyl sulfoxide (DMSO) starting at 50 uM (2x starting concentration; 10% DMSO) and 10 uL were transferred into a 384-well plate. Then 10 uL of a protein/probe/antibody mix was added to each well at final concentrations listed in TABLE 1. The samples are then mixed on a shaker for 1 minute and incubated for an additional 3 hours at room temperature. For each assay, the probe/antibody and protein/probe/antibody were included on each assay plate as negative and positive controls, respectively. Fluorescence was measured on the ENVISION plate reader (Perkin Elmer) using a 340/35 nm excitation filter and 520/525 (F-Bak peptide) and 495/510 nm (Tb-labeled anti-Histidine antibody) emission filters Inhibition constants (Ki) are shown in TABLE 2 below and were determined using Wang's equation (Wang Z.-X. An Exact Mathematical Expression For Describing Competitive Binding Of Two Different Ligands To A Protein Molecule. FEBS Lett. 1995, 360:111-4).";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886998;;2016;{'bei': '10.82', 'le': '0.22', 'lle': '1.58', 'sei': '6.04'};CHEMBL3905254;;CHEMBL3905254;6.75;0;http://www.openphacts.org/units/Nanomolar;2901353;=;37;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;nM;UO_0000065;;False
CC(=O)OCOC(=O)c1ccc(/C(Cl)=C/[C@@H]2C=C(C)C[C@H]3C[C@H](CC(=O)O)C=C[C@]32C(=O)OCOC(C)=O)cc1;CHEMBL4148756;1820.0;1.82;;;18394910;[];Inhibition of FITC-Ahx-Bim-OH binding to human Bcl2 isoform 2 after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018;{'bei': '9.98', 'le': '0.20', 'lle': '1.11', 'sei': '4.03'};CHEMBL4171691;;CHEMBL4171691;5.74;0;http://www.openphacts.org/units/Nanomolar;3053249;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)OCOC(=O)c1ccc(/C(Cl)=C/[C@@H]2C=C(C)C[C@H]3C[C@H](CCn4cc(-c5ccccc5)nn4)C=C[C@]32C(=O)OCOC(C)=O)cc1;CHEMBL4148756;2580.0;2.58;;;18394922;[];Inhibition of FITC-Ahx-Bim-OH binding to human Bcl2 isoform 2 after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018;{'bei': '8.12', 'le': '0.16', 'lle': '-0.91', 'sei': '4.11'};CHEMBL4164915;;CHEMBL4164915;5.59;0;http://www.openphacts.org/units/Nanomolar;3053253;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(=O)c1ccc(NC(=O)OCC[C@@H]2C=C[C@]3(C(=O)O)[C@@H](CC(C)=C[C@H]3/C=C(\Cl)c3ccc(C(=O)O)cc3)C2)cc1;CHEMBL4148756;2920.0;2.92;;;18394841;[];Inhibition of FITC-Ahx-Bim-OH binding to human Bcl2 isoform 2 after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018;{'bei': '9.57', 'le': '0.18', 'lle': '-1.51', 'sei': '4.26'};CHEMBL4176314;;CHEMBL4176314;5.54;0;http://www.openphacts.org/units/Nanomolar;3053234;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(C)(C)OC(=O)N1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859052;2880.0;2.88;;;1681267;[];Binding affinity to Bcl2 by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006;{'bei': '8.63', 'le': '0.17', 'lle': '0.57', 'sei': '3.66'};CHEMBL202540;;CHEMBL202540;5.54;0;http://www.openphacts.org/units/Nanomolar;425030;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccc(-c3ccc(Cl)cc3)cc2)cc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1;CHEMBL4236686;580.0;0.58;;;18681291;[];Inhibition of Bid-BH3 peptide binding to Bcl-2 (unknown origin) after 3 hrs by fluorescence polarization method;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4229556;Bioorg Med Chem;2018;{'bei': '8.90', 'le': '0.18', 'lle': '-0.85', 'sei': '4.05'};CHEMBL4248508;;CHEMBL4248508;6.24;0;http://www.openphacts.org/units/Nanomolar;3102708;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1;CHEMBL4236686;620.0;0.62;;;18681294;[];Inhibition of Bid-BH3 peptide binding to Bcl-2 (unknown origin) after 3 hrs by fluorescence polarization method;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4229556;Bioorg Med Chem;2018;{'bei': '9.32', 'le': '0.18', 'lle': '-0.23', 'sei': '4.03'};CHEMBL4247553;;CHEMBL4247553;6.21;0;http://www.openphacts.org/units/Nanomolar;3102705;=;1;1;=;;Ki;nM;;CHEMBL4860;Homo sapiens;Apoptosis regulator Bcl-2;9606;;;Ki;uM;UO_0000065;;False
