canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
CC(=O)NC(N)=O;CHEMBL5340015;522000.0;522.0;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;25528463;[];Binding affinity to CRBN (unknown origin) assessed as inhibition constant by FRET assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5338729;J Med Chem;2023;{'bei': '32.15', 'le': '0.64', 'lle': '4.08', 'sei': '4.55'};CHEMBL5399028;;CHEMBL5399028;3.28;0;http://www.openphacts.org/units/Nanomolar;3972874;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1ccc(SCC2CCC(=O)NC2=O)cc1;CHEMBL5355404;3000.0;3.0;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25589454;[];Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5352463;Eur J Med Chem;2023;{'bei': '18.89', 'le': '0.38', 'lle': '3.73', 'sei': '7.34'};CHEMBL5419709;;CHEMBL5419709;5.52;0;http://www.openphacts.org/units/Nanomolar;3984128;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1cccc(SCC2CCC(=O)NC2=O)c1;CHEMBL5355404;3300.0;3.3;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25589453;[];Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5352463;Eur J Med Chem;2023;{'bei': '18.75', 'le': '0.37', 'lle': '3.69', 'sei': '7.28'};CHEMBL5434742;;CHEMBL5434742;5.48;0;http://www.openphacts.org/units/Nanomolar;3984127;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1ccccc1SCC1CCC(=O)NC1=O;CHEMBL5355404;3000.0;3.0;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25589452;[];Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5352463;Eur J Med Chem;2023;{'bei': '18.89', 'le': '0.38', 'lle': '3.73', 'sei': '7.34'};CHEMBL5436622;;CHEMBL5436622;5.52;0;http://www.openphacts.org/units/Nanomolar;3984126;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC(=O)Nc1sccc1C(=O)NC1CCC(=O)NC1=O;CHEMBL5374908;65000.0;65.0;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25665491;[];Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by MST assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5370657;J Med Chem;2023;{'bei': '14.18', 'le': '0.29', 'lle': '3.95', 'sei': '4.01'};CHEMBL5420119;;CHEMBL5420119;4.19;0;http://www.openphacts.org/units/Nanomolar;3999253;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC(=O)c1ccc(-c2nccc(NCC(=O)Nc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)n2)cc1;CHEMBL5738796;3900.0;3900.0;;1232036.0;28873574;[];TBD: TBD;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5729492;;2022;{'bei': '10.55', 'le': '0.19', 'lle': '3.25', 'sei': '3.59'};CHEMBL5885092;;CHEMBL5885092;5.41;0;http://www.openphacts.org/units/Nanomolar;4613207;=;37;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;nM;UO_0000065;;False
CC(C)(C)C1=NOC2(CCC(=O)NC2=O)C1;CHEMBL5524487;77400.0;77.4;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25908408;[];Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by Microscale thermophoresis assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5523700;Eur J Med Chem;2024;{'bei': '18.33', 'le': '0.35', 'lle': '3.13', 'sei': '6.07'};CHEMBL5560360;;CHEMBL5560360;4.11;0;http://www.openphacts.org/units/Nanomolar;4069162;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CC1CC(=O)NC(=O)C1;CHEMBL5524487;70700.0;70.7;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25908412;[];Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by Microscale thermophoresis assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5523700;Eur J Med Chem;2024;{'bei': '32.65', 'le': '0.63', 'lle': '4.09', 'sei': '8.99'};CHEMBL5562478;;CHEMBL5562478;4.15;0;http://www.openphacts.org/units/Nanomolar;4069166;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CCC(CC)C1=NOC2(CCC(=O)NC2=O)C1;CHEMBL5524487;80900.0;80.9;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25908409;[];Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by Microscale thermophoresis assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5523700;Eur J Med Chem;2024;{'bei': '17.17', 'le': '0.33', 'lle': '2.72', 'sei': '6.04'};CHEMBL5565416;;CHEMBL5565416;4.09;0;http://www.openphacts.org/units/Nanomolar;4069163;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
CCCC1=NOC2(CCC(=O)NC2=O)C1;CHEMBL5524487;41600.0;41.6;{'action_type': 'BINDING AGENT', 'description': 'Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself', 'parent_type': 'OTHER'};;25908407;[];Binding affinity to human CRBN TBD assessed as inhibition constant using BODIPY-uracil as substrate by Microscale thermophoresis assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5523700;Eur J Med Chem;2024;{'bei': '20.84', 'le': '0.40', 'lle': '3.64', 'sei': '6.47'};CHEMBL5557543;;CHEMBL5557543;4.38;0;http://www.openphacts.org/units/Nanomolar;4069161;=;1;1;=;;Ki;nM;;CHEMBL3763008;Homo sapiens;Protein cereblon;9606;;;Ki;uM;UO_0000065;;False
