canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
Brc1ccc(-c2csc(-c3cccnc3)n2)cn1;CHEMBL1961308;1482.0;1482.0;;;8060198;[];Competitive inhibition of human aromatase using dibenzylfluorescein substrate after 10 mins preincubation measured every 10 sec for 5 mins by Michaelis-Menten and Dixon plot analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1955720;Bioorg Med Chem;2012;{'bei': '18.32', 'le': '0.44', 'lle': '1.80', 'sei': '15.07'};CHEMBL1957220;;CHEMBL1957220;5.83;0;http://www.openphacts.org/units/Nanomolar;1581725;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;nM;UO_0000065;;False
Brc1ccc(-c2csc(-c3ccncc3)n2)cn1;CHEMBL1961308;285.1;285.1;;;8060197;[];Competitive inhibition of human aromatase using dibenzylfluorescein substrate after 10 mins preincubation measured every 10 sec for 5 mins by Michaelis-Menten and Dixon plot analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1955720;Bioorg Med Chem;2012;{'bei': '20.57', 'le': '0.50', 'lle': '2.52', 'sei': '16.93'};CHEMBL1957219;;CHEMBL1957219;6.54;0;http://www.openphacts.org/units/Nanomolar;1581724;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;nM;UO_0000065;;False
Brc1ccc(-c2nc(-c3cccnc3)cs2)cc1;CHEMBL1961308;1722.0;1722.0;;;8060190;[];Competitive inhibition of human aromatase using dibenzylfluorescein substrate after 10 mins preincubation measured every 10 sec for 5 mins by Michaelis-Menten and Dixon plot analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1955720;Bioorg Med Chem;2012;{'bei': '18.17', 'le': '0.44', 'lle': '1.13', 'sei': '22.36'};CHEMBL1957212;;CHEMBL1957212;5.76;0;http://www.openphacts.org/units/Nanomolar;1581717;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;nM;UO_0000065;;False
Brc1ccc(/C(=C/c2ccccc2)Cn2ccnn2)cc1;CHEMBL4339842;74.0;0.074;;;18984805;[];Inhibition of recombinant human CYP19A1 using DBF as substrate measured after 1 hr by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4339204;Bioorg Med Chem Lett;2019;{'bei': '20.96', 'le': '0.46', 'lle': '2.85', 'sei': '23.22'};CHEMBL4468933;;CHEMBL4468933;7.13;0;http://www.openphacts.org/units/Nanomolar;3167022;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;uM;UO_0000065;;False
Brc1ccc(/C(=C\c2ccccc2)Cn2ccnn2)cc1;CHEMBL4339842;125.0;0.125;;;18984810;[];Inhibition of recombinant human CYP19A1 using DBF as substrate measured after 1 hr by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4339204;Bioorg Med Chem Lett;2019;{'bei': '20.29', 'le': '0.45', 'lle': '2.62', 'sei': '22.48'};CHEMBL4562457;;CHEMBL4562457;6.9;0;http://www.openphacts.org/units/Nanomolar;3167017;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;uM;UO_0000065;;False
Brc1ccc(/C=C(/Cn2ccnn2)c2ccc(Br)cc2)cc1;CHEMBL4339842;450.0;0.45;;;18984809;[];Inhibition of recombinant human CYP19A1 using DBF as substrate measured after 1 hr by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4339204;Bioorg Med Chem Lett;2019;{'bei': '15.14', 'le': '0.39', 'lle': '1.31', 'sei': '20.67'};CHEMBL4454152;;CHEMBL4454152;6.35;0;http://www.openphacts.org/units/Nanomolar;3167018;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;uM;UO_0000065;;False
Brc1ccc(/C=C(\Cn2ccnn2)c2ccc(Br)cc2)cc1;CHEMBL4339842;24.0;0.024;;;18984804;[];Inhibition of recombinant human CYP19A1 using DBF as substrate measured after 1 hr by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4339204;Bioorg Med Chem Lett;2019;{'bei': '18.18', 'le': '0.47', 'lle': '2.58', 'sei': '24.81'};CHEMBL4450923;;CHEMBL4450923;7.62;0;http://www.openphacts.org/units/Nanomolar;3167023;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;uM;UO_0000065;;False
Brc1cccc(-c2nc(-c3cccnc3)ns2)c1;CHEMBL1961308;1160.0;1160.0;;;8060185;[];Competitive inhibition of human aromatase using dibenzylfluorescein substrate after 10 mins preincubation measured every 10 sec for 5 mins by Michaelis-Menten and Dixon plot analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1955720;Bioorg Med Chem;2012;{'bei': '18.65', 'le': '0.45', 'lle': '1.91', 'sei': '15.35'};CHEMBL1957208;;CHEMBL1957208;5.94;0;http://www.openphacts.org/units/Nanomolar;1581712;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;nM;UO_0000065;;False
C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12;CHEMBL664889;7750.0;7750.0;;;493808;[];Binding affinity for human placental microsome cytochrome P450 19A1 with 1 uM [1-beta-3H]-androstenedione;B;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1125884;J Med Chem;1991;{'bei': '16.36', 'le': '0.30', 'lle': '1.23', 'sei': '13.70'};CHEMBL82981;;CHEMBL82981;5.11;0;http://www.openphacts.org/units/Nanomolar;150126;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki;nM;UO_0000065;;False
C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21;CHEMBL660322;47.6;47.6;;;299357;[];Binding affinity for human placental microsome Cytochrome P450 19A1 by nonlinear regression analysis;B;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1130177;J Med Chem;1997;{'bei': '23.59', 'le': '0.43', 'lle': '3.37', 'sei': '21.45'};CHEMBL109211;;CHEMBL109211;7.32;0;http://www.openphacts.org/units/Nanomolar;208883;=;1;1;=;;Ki;nM;;CHEMBL1978;Homo sapiens;Aromatase;9606;;;Ki app;nM;UO_0000065;;False
