canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;CHEMBL3375801;0.1;0.1;;;15135690;[];Inhibition of wild-type EGFR (unknown origin) by high-throughput biochemical screening;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3351701;J Med Chem;2014.0;{'bei': '25.42', 'le': '0.47', 'lle': '6.59', 'sei': '13.38'};CHEMBL553;ERLOTINIB;CHEMBL553;10.0;0;http://www.openphacts.org/units/Nanomolar;2245708;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;nM;UO_0000065;
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;CHEMBL4021780;45.0;45.0;;;18099931;[];Inhibition of EGFR (unknown origin) using poly(Glu,Tyr)4:1 as substrate in presence of [gamma-33P]-ATP after 60 mins by scintillation counting analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4020756;Bioorg Med Chem Lett;2017.0;{'bei': '18.67', 'le': '0.35', 'lle': '3.94', 'sei': '9.83'};CHEMBL553;ERLOTINIB;CHEMBL553;7.35;0;http://www.openphacts.org/units/Nanomolar;3001632;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;nM;UO_0000065;
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;CHEMBL5661763;2.7;2.7;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;26234714;[];Inhibition of human recombinant EGFR (644 to 1186 residues) expressed in baculovirus-infected Sf9 cells assessed as inhibition constant;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5653635;Cancer Res;1997.0;{'bei': '21.78', 'le': '0.40', 'lle': '5.16', 'sei': '11.47'};CHEMBL553;ERLOTINIB;CHEMBL553;8.57;0;http://www.openphacts.org/units/Nanomolar;4136616;=;72;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;nM;UO_0000065;
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;CHEMBL3762136;3.5;3.5;;;16452426;[];Inhibition of wild type EGFR (unknown origin);B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3758169;Bioorg Med Chem Lett;2016.0;{'bei': '16.92', 'le': '0.31', 'lle': '3.95', 'sei': '9.66'};CHEMBL3353410;OSIMERTINIB;CHEMBL3353410;8.46;0;http://www.openphacts.org/units/Nanomolar;2748058;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;nM;UO_0000065;
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;CHEMBL5120704;434.0;0.434;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;24750254;[{'comments': None, 'relation': '<=', 'result_flag': 0, 'standard_relation': '<=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '4.0', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '240.0'}];Inhibition of recombinant human N-terminal GST-tagged EGFR wild type (669 to 1210 residues) expressed in baculovirus infected Sf21 insect cells insect cells using AQT0734 as substrate measured up to 240 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5113557;ACS Med Chem Lett;2022.0;{'bei': '12.73', 'le': '0.23', 'lle': '1.85', 'sei': '7.27'};CHEMBL3353410;OSIMERTINIB;CHEMBL3353410;6.36;0;http://www.openphacts.org/units/Nanomolar;3861147;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;uM;UO_0000065;
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;CHEMBL5534729;14.4;14.4;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;25942068;[];Binding affinity to His-tagged recombinant EGFR (unknown origin) expressed in Baculovirus insect cells assessed as apparent inhibition constant;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5532668;J Med Chem;2024.0;{'bei': '15.70', 'le': '0.29', 'lle': '3.33', 'sei': '8.96'};CHEMBL3353410;OSIMERTINIB;CHEMBL3353410;7.84;1;http://www.openphacts.org/units/Nanomolar;4075745;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki(app);nM;UO_0000065;
C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1;CHEMBL5120704;271.0;0.271;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;24750253;[{'comments': None, 'relation': '<=', 'result_flag': 0, 'standard_relation': '<=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '4.0', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '240.0'}];Inhibition of recombinant human N-terminal GST-tagged EGFR wild type (669 to 1210 residues) expressed in baculovirus infected Sf21 insect cells insect cells using AQT0734 as substrate measured up to 240 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5113557;ACS Med Chem Lett;2022.0;{'bei': '11.84', 'le': '0.22', 'lle': '2.47', 'sei': '5.99'};CHEMBL4558324;LAZERTINIB;CHEMBL4558324;6.57;0;http://www.openphacts.org/units/Nanomolar;3861146;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;uM;UO_0000065;
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC;CHEMBL3877213;0.14;0.14;;;16844190;[];Inhibition of PF-06422899 binding to EGFR in human A431 cells after 1 hr by gel-based ABPP assay;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL3875233;Nat Rev Drug Discov;2017.0;{'bei': '26.43', 'le': '0.52', 'lle': '5.55', 'sei': '12.94'};CHEMBL3883534;;CHEMBL3883534;9.85;0;http://www.openphacts.org/units/Nanomolar;2816593;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;nM;UO_0000065;
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1;CHEMBL5534721;8.93;8.93;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;25942037;[];Binding affinity to wild type GST-tagged EGFR (unknown origin) assessed as apparent inhibition constant in presence of ATP by TR-FRET assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5532668;J Med Chem;2024.0;{'bei': '16.56', 'le': '0.32', 'lle': '3.66', 'sei': '9.08'};CHEMBL31965;CANERTINIB;CHEMBL31965;8.05;0;http://www.openphacts.org/units/Nanomolar;4075750;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki(app);nM;UO_0000065;
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1;CHEMBL5120704;98.9;0.0989;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;24750255;[{'comments': None, 'relation': '<=', 'result_flag': 0, 'standard_relation': '<=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '4.0', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '240.0'}];Inhibition of recombinant human N-terminal GST-tagged EGFR wild type (669 to 1210 residues) expressed in baculovirus infected Sf21 insect cells insect cells using AQT0734 as substrate measured up to 240 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5113557;ACS Med Chem Lett;2022.0;{'bei': '14.73', 'le': '0.28', 'lle': '1.12', 'sei': '7.62'};CHEMBL4098072;;CHEMBL4098072;7.0;0;http://www.openphacts.org/units/Nanomolar;3861148;=;1;1;=;;Ki;nM;;CHEMBL203;Homo sapiens;Epidermal growth factor receptor;9606;;;Ki;uM;UO_0000065;
