canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(C)=O)cc3)C[C@@]21C;CHEMBL839531;34.0;34.0;;;1463086;[];Inhibition of human Estrogen receptor alpha;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1138676;J Med Chem;2004.0;{'bei': '16.84', 'le': '0.31', 'lle': '2.54', 'sei': '12.96'};CHEMBL364368;;CHEMBL364368;7.47;0;http://www.openphacts.org/units/Nanomolar;378802;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
C/C=C/c1cn(-c2ccc(O)cc2)c(=O)c2c(O)cc(O)cc12;CHEMBL5732098;102.0;102.0;;621149.0;27150137;[];"Binding Assay: Recombinant ER-α or ER-β ligand binding domain (LBD) was combined with [3H]E2 (PerkinElmer, Waltham, Mass.) in buffer A (10 mM Tris, pH 7.4, 1.5 mM disodium EDTA, 0.25 M sucrose, 10 mM sodium molybdate, 1 mM PMSF) to determine the equilibrium dissociation constant (Kd) of [3H]E2. Protein was incubated with increasing concentrations of [3H]E2 with and without a high concentration of unlabeled E2 at 4° C. for 18h in order to determine total and non-specific binding. Non-specific binding was then subtracted from total binding to determine specific binding. Ligand binding curves were analyzed by nonlinear regression with one site saturation to determine the Kd of E2 (ER-α: 0.65 nM; ER-β: 1.83 nM). In addition, the concentration of [3H]E2 required to saturate ER-α and ER-β LBD was determined to be 1-3 nM.Increasing concentrations of two β-SERMs (14m and 12u) (range: 10−11 to 10−6 M) were incubated with [3H]E2 (1-2 nM) and ER LBD using the conditions described above. Following incubation, plates were harvested with GF/B filters on the Unifilter-96 Harvester (PerkinElmer) and washed three times with ice-cold buffer B (50 mM Tris, pH 7.2). The filter plates were dried at room temperature, then Microscint-O cocktail was added to each well and the filter plates were sealed with TopSeal-A. Radioactivity was counted in a TopCount® NXT Microplate Scintillation Counter using the settings for [3H] in Microscint cocktail (PerkinElmer).The specific binding of [3H]E2 at each concentration of compound was determined by subtracting the nonspecific binding of [3H]E2 (determined by incubating with 10−6 M unlabeled E2) and expressing it as a percentage of the specific binding in the absence of compound. The concentration of compound that reduced the specific binding of [3H]E2 by 50% (IC50) was determined by computer-fitting the data with SigmaPlot and non-linear regression with the four parameter logistic curve. The equilibrium binding constant (Ki) of each compound was then calculated by: Ki=Kd×IC50/(Kd+L), where Kd is the equilibrium dissociation constant of [3H]E2, and L is the concentration of [3H]E2.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726121;;2017.0;{'bei': '22.60', 'le': '0.42', 'lle': '3.85', 'sei': '8.45'};CHEMBL5750100;;CHEMBL5750100;6.99;0;http://www.openphacts.org/units/Nanomolar;4242253;=;37;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
C=C(C)c1ccc2c(c1)c(-c1ccc(OCCN3CCCCC3)cc1)cc1cc(O)cc(C)c12;CHEMBL681151;290.0;290.0;;;1142684;[];In vitro displacement of 0.5 nM [3H]17-beta-estradiol from human Estrogen receptor alpha;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1136756;J Med Chem;2003.0;{'bei': '14.48', 'le': '0.26', 'lle': '-1.03', 'sei': '19.99'};CHEMBL31738;;CHEMBL31738;6.54;0;http://www.openphacts.org/units/Nanomolar;47630;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
C=CCN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1;CHEMBL682301;360.0;360.0;;;543159;[];In vitro binding affinity towards human Estrogen receptor alpha using [3H]17-beta-estradiol as radioligand;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1135674;J Med Chem;2002.0;{'bei': '12.34', 'le': '0.24', 'lle': '2.18', 'sei': '7.99'};CHEMBL149806;;CHEMBL149806;6.44;0;http://www.openphacts.org/units/Nanomolar;297104;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
C=Cc1cn(-c2ccc(O)c(F)c2)c(=O)c2c(O)cc(O)cc12;CHEMBL5732098;205.0;205.0;;621143.0;27150119;[];"Binding Assay: Recombinant ER-α or ER-β ligand binding domain (LBD) was combined with [3H]E2 (PerkinElmer, Waltham, Mass.) in buffer A (10 mM Tris, pH 7.4, 1.5 mM disodium EDTA, 0.25 M sucrose, 10 mM sodium molybdate, 1 mM PMSF) to determine the equilibrium dissociation constant (Kd) of [3H]E2. Protein was incubated with increasing concentrations of [3H]E2 with and without a high concentration of unlabeled E2 at 4° C. for 18h in order to determine total and non-specific binding. Non-specific binding was then subtracted from total binding to determine specific binding. Ligand binding curves were analyzed by nonlinear regression with one site saturation to determine the Kd of E2 (ER-α: 0.65 nM; ER-β: 1.83 nM). In addition, the concentration of [3H]E2 required to saturate ER-α and ER-β LBD was determined to be 1-3 nM.Increasing concentrations of two β-SERMs (14m and 12u) (range: 10−11 to 10−6 M) were incubated with [3H]E2 (1-2 nM) and ER LBD using the conditions described above. Following incubation, plates were harvested with GF/B filters on the Unifilter-96 Harvester (PerkinElmer) and washed three times with ice-cold buffer B (50 mM Tris, pH 7.2). The filter plates were dried at room temperature, then Microscint-O cocktail was added to each well and the filter plates were sealed with TopSeal-A. Radioactivity was counted in a TopCount® NXT Microplate Scintillation Counter using the settings for [3H] in Microscint cocktail (PerkinElmer).The specific binding of [3H]E2 at each concentration of compound was determined by subtracting the nonspecific binding of [3H]E2 (determined by incubating with 10−6 M unlabeled E2) and expressing it as a percentage of the specific binding in the absence of compound. The concentration of compound that reduced the specific binding of [3H]E2 by 50% (IC50) was determined by computer-fitting the data with SigmaPlot and non-linear regression with the four parameter logistic curve. The equilibrium binding constant (Ki) of each compound was then calculated by: Ki=Kd×IC50/(Kd+L), where Kd is the equilibrium dissociation constant of [3H]E2, and L is the concentration of [3H]E2.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726121;;2017.0;{'bei': '21.35', 'le': '0.40', 'lle': '3.80', 'sei': '8.09'};CHEMBL5773685;;CHEMBL5773685;6.69;0;http://www.openphacts.org/units/Nanomolar;4242250;=;37;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
C=Cc1cn(-c2ccc(O)cc2)c(=O)c2c(O)cc(O)cc12;CHEMBL5732098;94.0;94.0;;621135.0;27150095;[];"Binding Assay: Recombinant ER-α or ER-β ligand binding domain (LBD) was combined with [3H]E2 (PerkinElmer, Waltham, Mass.) in buffer A (10 mM Tris, pH 7.4, 1.5 mM disodium EDTA, 0.25 M sucrose, 10 mM sodium molybdate, 1 mM PMSF) to determine the equilibrium dissociation constant (Kd) of [3H]E2. Protein was incubated with increasing concentrations of [3H]E2 with and without a high concentration of unlabeled E2 at 4° C. for 18h in order to determine total and non-specific binding. Non-specific binding was then subtracted from total binding to determine specific binding. Ligand binding curves were analyzed by nonlinear regression with one site saturation to determine the Kd of E2 (ER-α: 0.65 nM; ER-β: 1.83 nM). In addition, the concentration of [3H]E2 required to saturate ER-α and ER-β LBD was determined to be 1-3 nM.Increasing concentrations of two β-SERMs (14m and 12u) (range: 10−11 to 10−6 M) were incubated with [3H]E2 (1-2 nM) and ER LBD using the conditions described above. Following incubation, plates were harvested with GF/B filters on the Unifilter-96 Harvester (PerkinElmer) and washed three times with ice-cold buffer B (50 mM Tris, pH 7.2). The filter plates were dried at room temperature, then Microscint-O cocktail was added to each well and the filter plates were sealed with TopSeal-A. Radioactivity was counted in a TopCount® NXT Microplate Scintillation Counter using the settings for [3H] in Microscint cocktail (PerkinElmer).The specific binding of [3H]E2 at each concentration of compound was determined by subtracting the nonspecific binding of [3H]E2 (determined by incubating with 10−6 M unlabeled E2) and expressing it as a percentage of the specific binding in the absence of compound. The concentration of compound that reduced the specific binding of [3H]E2 by 50% (IC50) was determined by computer-fitting the data with SigmaPlot and non-linear regression with the four parameter logistic curve. The equilibrium binding constant (Ki) of each compound was then calculated by: Ki=Kd×IC50/(Kd+L), where Kd is the equilibrium dissociation constant of [3H]E2, and L is the concentration of [3H]E2.";B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726121;;2017.0;{'bei': '23.80', 'le': '0.44', 'lle': '4.28', 'sei': '8.50'};CHEMBL5909818;;CHEMBL5909818;7.03;0;http://www.openphacts.org/units/Nanomolar;4242246;=;37;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
CC(C)(C(=O)Nc1nccs1)[C@H]1c2ccccc2Oc2cc(O)ccc21;CHEMBL1805658;2300.0;2.3;;;6276528;[];Binding affinity to ERalpha by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1799968;J Med Chem;2010.0;{'bei': '15.39', 'le': '0.30', 'lle': '0.89', 'sei': '7.89'};CHEMBL1800984;;CHEMBL1800984;5.64;0;http://www.openphacts.org/units/Nanomolar;1440017;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;uM;UO_0000065;;False
CC(C)(C(=O)Nc1nncs1)[C@H]1c2ccccc2Oc2cc(O)ccc21;CHEMBL1805658;5500.0;5.5;;;6276529;[];Binding affinity to ERalpha by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1799968;J Med Chem;2010.0;{'bei': '14.31', 'le': '0.28', 'lle': '1.11', 'sei': '6.24'};CHEMBL1800985;;CHEMBL1800985;5.26;0;http://www.openphacts.org/units/Nanomolar;1440018;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;uM;UO_0000065;;False
CC(C)=C(C)c1ccc2c(c1)c(-c1ccc(OCCN3CCCCC3)cc1)cc1cc(O)cc(C)c12;CHEMBL681151;210.0;210.0;;;1142687;[];In vitro displacement of 0.5 nM [3H]17-beta-estradiol from human Estrogen receptor alpha;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1136756;J Med Chem;2003.0;{'bei': '13.92', 'le': '0.25', 'lle': '-1.67', 'sei': '20.42'};CHEMBL31068;;CHEMBL31068;6.68;0;http://www.openphacts.org/units/Nanomolar;47624;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
CC(C)CCCCCOC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1;CHEMBL4013737;7.1;7.1;;;18063529;[];Displacement of [3H]estradiol from full-length human ERalpha receptor by scintillation counting;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4011648;J Med Chem;2017.0;{'bei': '16.34', 'le': '0.30', 'lle': '-0.27', 'sei': '17.51'};CHEMBL4072205;;CHEMBL4072205;8.15;0;http://www.openphacts.org/units/Nanomolar;2993895;=;1;1;=;;Ki;nM;;CHEMBL206;Homo sapiens;Estrogen receptor;9606;;;Ki;nM;UO_0000065;;False
