canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1;CHEMBL4013894;1.6;1.6;;;18064377;[];Irreversible inhibition of human FGFR1 using 5-FAM-KKKKEEIYFFF-NH2 as substrate preincubated with enzyme followed by peptide substrate addition by caliper capillary electrophoresis method;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4011651;J Med Chem;2017.0;{'bei': '15.67', 'le': '0.32', 'lle': '5.26', 'sei': '8.64'};CHEMBL4068509;PRN-1371;CHEMBL4068509;8.8;0;http://www.openphacts.org/units/Nanomolar;2994015;=;1;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
C=CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)cc1;CHEMBL4313102;1.9;1.9;;;18885174;[];Irreversible inhibition of human FGFR1 using poly (Glu, Tyr)4:1 as substrate measured after 60 mins;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4311952;J Med Chem;2019.0;{'bei': '19.80', 'le': '0.36', 'lle': '4.87', 'sei': '6.62'};CHEMBL4446835;;CHEMBL4446835;8.72;0;http://www.openphacts.org/units/Nanomolar;3151148;=;1;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1;CHEMBL5649143;45.2;45.2;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;26214424;[];ATP-competitive inhibition of FGFR1 (unknown origin) in presence of ATP;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5647700;EMBO J;1998.0;{'bei': '14.03', 'le': '0.26', 'lle': '2.18', 'sei': '6.47'};CHEMBL189584;PD-173074;CHEMBL189584;7.34;0;http://www.openphacts.org/units/Nanomolar;4136282;=;72;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1;CHEMBL5649144;36.4;36.4;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;26214425;[];ATP-competitive inhibition of FGFR1 cytoplasmic domain (unknown origin) in presence of ATP;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5647700;EMBO J;1998.0;{'bei': '14.21', 'le': '0.27', 'lle': '2.28', 'sei': '6.55'};CHEMBL189584;PD-173074;CHEMBL189584;7.44;0;http://www.openphacts.org/units/Nanomolar;4136282;=;72;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CCN(OCCN1CCNCC1)C(=O)c1ccc(N/C(=C2\C(=O)Nc3cc(C(=O)OC)c(C)cc32)c2ccccc2)cc1;CHEMBL5737023;63.0;63.0;;1061245.0;28410842;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision® Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5728567;;2021.0;{'bei': '12.34', 'le': '0.23', 'lle': '3.19', 'sei': '6.42'};CHEMBL5751745;;CHEMBL5751745;7.2;0;http://www.openphacts.org/units/Nanomolar;4511186;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CCN1CCN(CCONC(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1;CHEMBL5737023;52.3;52.3;;1061065.0;28410302;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision® Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5728567;;2021.0;{'bei': '12.47', 'le': '0.23', 'lle': '3.27', 'sei': '6.49'};CHEMBL5953091;;CHEMBL5953091;7.28;0;http://www.openphacts.org/units/Nanomolar;4511156;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CNC(=O)CN(C)CCNC(=O)c1ccc(N/C(=C2\C(=O)Nc3cc(C(=O)OC)c(C)cc32)c2ccccc2)cc1;CHEMBL5735253;100.0;100.0;;911348.0;27981968;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5727732;;2020.0;{'bei': '12.60', 'le': '0.23', 'lle': '3.88', 'sei': '5.43'};CHEMBL5945261;;CHEMBL5945261;7.0;0;http://www.openphacts.org/units/Nanomolar;4419222;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CNC(=O)CN1CCN(C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1;CHEMBL5735253;23.9;23.9;;911096.0;27981212;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5727732;;2020.0;{'bei': '13.43', 'le': '0.25', 'lle': '4.40', 'sei': '6.35'};CHEMBL5759219;;CHEMBL5759219;7.62;0;http://www.openphacts.org/units/Nanomolar;4419181;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CNC(=O)CN1CCN(CCON(C)C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)c(C)cc43)c3ccccc3)cc2)CC1;CHEMBL5737023;65.7;65.7;;1060905.0;28409822;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision® Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5728567;;2021.0;{'bei': '11.21', 'le': '0.21', 'lle': '4.10', 'sei': '5.42'};CHEMBL6024653;;CHEMBL6024653;7.18;0;http://www.openphacts.org/units/Nanomolar;4511130;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
CNC(=O)CN1CCN(CCON(C)C(=O)c2ccc(N/C(=C3\C(=O)Nc4cc(C(=O)OC)ccc43)c3ccccc3)cc2)CC1;CHEMBL5737023;126.0;126.0;;1061257.0;28410878;[];FGFR1 Enzyme Inhibition: The inhibitory activities of compounds of the invention against FGFR1 (FGFR1 Kinase Enzyme System: Promega), were evaluated by mixing the FGFR1 protein (3.12 ng/mL, 2 μL), substrate (Poly (4:1 Glu4, Tyr1), 100 ng/mL, 2 μL) with the test compound (2 μL at either 3 μM, 0.67 μM, 0.15 μM, 0.033 μM, 0.0073 μM, 0.0016 μM, 0.0036 μM or 0.00008 μM) for 90 min at 25° C. The kinase reaction was then initiated by adding ATP (50 μM, 2 μL) and the mixture was incubated for 1 hr at 25° C. ADP-Glo reagent was added for 40 min (8 μL) then development reagent (16 μL) was added for 40 min prior to detection in a microplate reader (EnVision® Multilabel Reader, Perkin Elmer).;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5728567;;2021.0;{'bei': '11.01', 'le': '0.20', 'lle': '4.13', 'sei': '5.21'};CHEMBL5979151;;CHEMBL5979151;6.9;0;http://www.openphacts.org/units/Nanomolar;4511189;=;37;1;=;;Ki;nM;;CHEMBL3650;Homo sapiens;Fibroblast growth factor receptor 1;9606;;;Ki;nM;UO_0000065;;False
