canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12;CHEMBL4121501;3.2;3.2;;;18286266;[];Displacement of [125I]+/-DOI from human recombinant 5-HT2B receptor after 60 mins by scintillation counting analysis;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL4118122;Bioorg Med Chem Lett;2018.0;{'bei': '14.55', 'le': '0.29', 'lle': '2.73', 'sei': '6.77'};CHEMBL4128926;;CHEMBL4128926;8.49;0;http://www.openphacts.org/units/Nanomolar;3035290;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;nM;UO_0000065;;False
CC(C)(O)c1cncc(-c2nc3ccc(F)cc3n2C2CC2)c1;CHEMBL4880837;5330.0;5.33;;;23356033;[];Inhibition of Serotonin (5-Hydroxytryptamine) 5-HT2B at 10 µM in the Eurofins-Panlabs radioligand binding assay (Eurofins_assay_271700);B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL4507294;;2021.0;{'bei': '16.94', 'le': '0.31', 'lle': '1.47', 'sei': '10.35'};CHEMBL3582478;MSD-CYP11B2;CHEMBL3582478;5.27;0;http://www.openphacts.org/units/Nanomolar;3359717;=;54;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;uM;UO_0000065;;False
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1;CHEMBL5474427;7700.0;7.7;;;25787538;[{'comments': None, 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'Favorable pharmacokinetic profile in rodents and monkeys', 'standard_type': 'Selectivity Comments', 'standard_units': None, 'standard_value': None, 'text_value': 'Favorable pharmacokinetic profile in rodents and monkeys', 'type': 'Selectivity Comments', 'units': None, 'value': None}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'Selectivity number of off-targets', 'standard_units': None, 'standard_value': '0.0', 'text_value': None, 'type': 'Selectivity number of off-targets', 'units': None, 'value': '0.0'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'Selectivity number of targets', 'standard_units': None, 'standard_value': '54.0', 'text_value': None, 'type': 'Selectivity number of targets', 'units': None, 'value': '54.0'}, {'comments': None, 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'In-vitro potency', 'standard_type': 'Selectivity Remarks', 'standard_units': None, 'standard_value': None, 'text_value': 'In-vitro potency', 'type': 'Selectivity Remarks', 'units': None, 'value': None}, {'comments': None, 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'https://pubs.acs.org/doi/10.1021/acsmedchemlett.7b00293', 'standard_type': 'Source Knowledge', 'standard_units': None, 'standard_value': None, 'text_value': 'https://pubs.acs.org/doi/10.1021/acsmedchemlett.7b00293', 'type': 'Source Knowledge', 'units': None, 'value': None}];Selectivity interaction (Serotonin 5HT2B Calcium flux assay, antagonist mode ) EUB0000877a HTR2B;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL5465560;;2024.0;{'bei': '11.35', 'le': '0.22', 'lle': '2.23', 'sei': '6.13'};CHEMBL3643413;LENIOLISIB;CHEMBL3643413;5.11;0;http://www.openphacts.org/units/Nanomolar;4018645;=;65;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;uM;UO_0000065;;False
CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1;CHEMBL964021;52.48;7.28;;;2410493;[];Displacement of [3H]mesulergine from human recombinant 5HT2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1153939;Bioorg Med Chem;2009.0;{'bei': '21.19', 'le': '0.41', 'lle': '2.84', 'sei': '24.45'};CHEMBL471663;;CHEMBL471663;7.28;0;http://www.openphacts.org/units/Nanomolar;810114;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;pIC50;;UO_0000065;;False
CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1;CHEMBL617642;200.0;2e-07;;;1098045;[];Ability to displace [3H]5-HT from 5-hydroxytryptamine 2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1145012;J Med Chem;2003.0;{'bei': '19.73', 'le': '0.37', 'lle': '2.61', 'sei': '17.92'};CHEMBL35226;;CHEMBL35226;6.7;0;http://www.openphacts.org/units/Nanomolar;53680;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;M;UO_0000065;;False
CCCN1CCC(COc2nc3scc(C)c3n3cccc23)CC1;CHEMBL964021;281.84;6.55;;;2410487;[];Displacement of [3H]mesulergine from human recombinant 5HT2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1153939;Bioorg Med Chem;2009.0;{'bei': '19.07', 'le': '0.37', 'lle': '2.19', 'sei': '22.00'};CHEMBL470432;;CHEMBL470432;6.55;0;http://www.openphacts.org/units/Nanomolar;810377;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;pIC50;;UO_0000065;;False
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1;CHEMBL1046703;2470.0;2470.0;;;2927576;[];Inhibition of 5HT2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1154177;Bioorg Med Chem Lett;2009.0;{'bei': '13.08', 'le': '0.24', 'lle': '1.10', 'sei': '8.19'};CHEMBL584554;;CHEMBL584554;5.61;0;http://www.openphacts.org/units/Nanomolar;848803;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;nM;UO_0000065;;False
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1;CHEMBL1046703;54.0;54.0;;;2927575;[];Inhibition of 5HT2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1154177;Bioorg Med Chem Lett;2009.0;{'bei': '23.49', 'le': '0.43', 'lle': '4.71', 'sei': '15.10'};CHEMBL21343;;CHEMBL21343;7.27;0;http://www.openphacts.org/units/Nanomolar;848804;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;nM;UO_0000065;;False
CCN1CCC(COc2nc3ccsc3n3cccc23)CC1;CHEMBL964021;9.772;8.01;;;2410494;[];Displacement of [3H]mesulergine from human recombinant 5HT2B receptor;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1153939;Bioorg Med Chem;2009.0;{'bei': '25.39', 'le': '0.50', 'lle': '4.35', 'sei': '26.91'};CHEMBL511312;;CHEMBL511312;8.01;0;http://www.openphacts.org/units/Nanomolar;810112;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;pIC50;;UO_0000065;;False
CN(C)CCN(C)c1nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc2n1C;CHEMBL854896;1500.0;1500.0;;;1791431;[];Inhibition of 5HT2B;B;;;BAO_0000190;BAO_0000357;single protein format;;;CHEMBL1137582;Bioorg Med Chem Lett;2007.0;{'bei': '12.96', 'le': '0.25', 'lle': '2.21', 'sei': '9.30'};CHEMBL276393;;CHEMBL276393;5.82;0;http://www.openphacts.org/units/Nanomolar;615450;=;1;1;=;;IC50;nM;;CHEMBL1833;Homo sapiens;5-hydroxytryptamine receptor 2B;9606;;;IC50;nM;UO_0000065;;False
