canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
C#CCOc1ccc(Nc2ccc3ncc(N4CCOCC4)nc3c2C#N)cc1OC;CHEMBL5735315;275.0;275.0;;915880;27995564;[];Kinase Assay: c-KIT: Inhibition of c-KIT kinase activity by a test compound disclosed herein was estimated by radiometric assay. Standard assay conditions were 20 ng of recombinant c-Kit (SignalChem) with 2 μg of substrate Poly-(Glu 4:Tyr 1) (sigma) in the assay buffer in kinase reaction buffer (10 mM MOPS pH 7.0, 0.21 mM EDTA, 0.5% glycerol, 0.001% Brij-35, 0.01 2-mercaptoehtanol, 1 mg/ml BSA, 10 mM MgCl2, 10 mM MnCl2, 10 μM ATP, 0.1 μCi per well [33P]-ATP, in the presence of test compound (diluted in final concentration of 4% DMSO) or DMSO control, with a final volume of 25 μl for 60 minutes at 30° C. The reaction was stopped by adding 5 μl of 3% phosphoric acid solution. Total reaction solution was then harvested onto a filter plate (UniFilter-96 GF/B, PerkinElmer), and washed 20 times for 5 min with dH2O. 30 μl of MicroScint-20 Cocktail (PerkinElmer) was added to dried plate. The plate was sealed and counted using a TopCount scintillation detector (PerkinElmer). The readout from control reaction (complete reaction mixture) was designated as 0% inhibition and the readout for the reaction without enzyme as 100% inhibition. The IC50 values of quinoxaline compounds of this invention against c-KIT kinase were determined using the GraphPad Prism 5 software.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5727764;;2020.0;{'bei': '15.79', 'le': '0.29', 'lle': '3.46', 'sei': '7.09'};CHEMBL5886106;;CHEMBL5886106;6.56;0;http://www.openphacts.org/units/Nanomolar;4422312;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
C#Cc1cc2c(N3CCN(C(=O)Nc4ccc(OCC)cc4)CC3)ncnc2[nH]1;CHEMBL5733244;5500.0;5500.0;;728835;27461972;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '13.47', 'le': '0.25', 'lle': '2.57', 'sei': '6.09'};CHEMBL6047470;;CHEMBL6047470;5.26;0;http://www.openphacts.org/units/Nanomolar;4310008;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=N)Nc1ccc(-c2ncnc3cc(C4=CCN(C(=O)N5CCOCC5)CC4)sc23)cc1;CHEMBL5733245;500.0;500.0;;729510;27463997;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '13.62', 'le': '0.26', 'lle': '1.99', 'sei': '6.67'};CHEMBL6043079;;CHEMBL6043079;6.3;0;http://www.openphacts.org/units/Nanomolar;4310409;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12;CHEMBL1963734;251.19;6.6;;active;9575076;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KIT;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1983111;;CHEMBL1983111;6.6;0;http://www.openphacts.org/units/Nanomolar;1584621;=;7;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;pKi;;UO_0000065;
CC(=O)Nc1ccc(-c2cc3c(N4CCN(C(=O)Nc5ccc(OC(F)(F)F)cc5)CC4)ncnc3[nH]2)cn1;CHEMBL5733244;5500.0;5500.0;;728826;27461945;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '9.73', 'le': '0.18', 'lle': '1.03', 'sei': '4.10'};CHEMBL5919655;;CHEMBL5919655;5.26;0;http://www.openphacts.org/units/Nanomolar;4310003;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)Nc1ccc(-c2cc3c(N4CCN(C(=O)Nc5ccc(OC(F)(F)F)cc5)CC4)ncnc3[nH]2)cn1;CHEMBL5733245;500.0;500.0;;728827;27461948;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '11.66', 'le': '0.22', 'lle': '2.07', 'sei': '4.91'};CHEMBL5919655;;CHEMBL5919655;6.3;0;http://www.openphacts.org/units/Nanomolar;4310003;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)Nc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1;CHEMBL1840409;240.0;240.0;;;6373576;[];Displacement of [33P]ATP from human recombinant c-KIT domain after 20 mins by scintillation counting;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1833953;J Med Chem;2011.0;{'bei': '21.40', 'le': '0.39', 'lle': '4.67', 'sei': '5.98'};CHEMBL1835865;;CHEMBL1835865;6.62;0;http://www.openphacts.org/units/Nanomolar;1462160;=;1;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)Nc1cccc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccccc6)[nH]5)CC4)ncnc3[nH]2)c1;CHEMBL5732667;500.0;500.0;;676051;27309110;[];Biochemical Assay: Assays for biochemical cell-based activity of c-kit kinase are known in the art, for example, as described in U.S. Pat. Nos. 7,498,342 and 7,846,941, the disclosures of which are hereby incorporated by reference as it relates to such assays. The c-kit (or kinase domain thereof) is an active kinase in AlphaScreen. IC50 values are determined with respect to inhibition of c-Kit kinase activity, where inhibition of phosphorylation of a peptide substrate is measured as a function of compound concentration. Compounds to be tested were dissolved in DMSO to a concentration of 30 mM. These were diluted 30 μl into 130 μl of DMSO (4 mM) and 1 μl was added to an assay plate. These were then serially diluted 1:3 (50 μl to 100 μl DMSO) for a total of 8 points. Plates were prepared such that each kinase reaction is 30 μl in 1× kinase buffer (50 mM HEPES, pH 7.2, 5 mM MgCl2, 5 mM MnCl2, 0.01% NP-40, 0.2% BSA), 5% DMSO and 10 μM ATP. Substrate was 100 nM biotin-(E4Y)3 (Open Source Biotech, Inc.). C-kit kinase was at 0.1 ng per sample. After incubation of the kinase reaction for 1 hour at room temperature, 5 μl of donor beads (Streptavidin coated beads (Perkin Elmer Life Science) final concentration 1 μg/ml) in stop buffer (50 mM EDTA in 1× kinase buffer) was added, the sample was mixed and incubated for 30 minutes at room temperature before adding 5 ml of acceptor beads (PY30 coated beads (Perkin Elmer Life Science) final concentration 1 μg/ml) in stop buffer. The samples were incubated for 60 minutes at room temperature and the signal per well was read on AlphaQuest reader. Phosphorylated substrate results in binding of the PY30 antibody and association of the donor and acceptor beads such that signal correlates with kinase activity.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726433;;2017.0;{'bei': '12.82', 'le': '0.23', 'lle': '0.63', 'sei': '6.14'};CHEMBL5991785;;CHEMBL5991785;6.3;0;http://www.openphacts.org/units/Nanomolar;4276708;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)Nc1cccc(-c2cc3c(N4CCN(C(=O)NCc5ccc(F)cc5)CC4)ncnc3[nH]2)c1;CHEMBL5733244;5500.0;5500.0;;728822;27461933;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '10.79', 'le': '0.20', 'lle': '1.51', 'sei': '4.95'};CHEMBL5994950;;CHEMBL5994950;5.26;0;http://www.openphacts.org/units/Nanomolar;4310001;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
CC(=O)Nc1cccc(-c2cc3c(N4CCN(C(=O)NCc5ccc(F)cc5)CC4)ncnc3[nH]2)c1;CHEMBL5733245;500.0;500.0;;728823;27461936;[];Cell-Based Assays of c-Kit Mutant Kinase Activity: The c-Kit mutant D816V inhibitors were assessed using an engineered BaF3-FL KIT D816V or BaF3-FL KIT V560G/D816V cell line. The BaF3-FL KIT D816V cell lines were created by introduction of KIT mutant (D816V) full length constructs that render the cells dependent on the introduced kinase for growth. Inhibitors of c-Kit mutant D816V kinase reduce or eliminate the mediated c-kit mutant D816V kinase activation, resulting in reduced cell proliferation of the BaF3-FL Kit mutant D816V cells. This inhibition is measured by the effect of compound concentration on cell growth to assess IC50 values. BaF3-FL KIT D816V cells were seeded at 1×104 cells per well of a 96 well cell culture plate in 50 μl of cell culture medium of RPMI Medium 1× (Invitrogen #11875-093) supplemented with 10% FBS (Invitrogen #10438), 1% Non Essential Amino Acids (Invitrogen #11140), 1% Penicillin Streptomycin (Invitrogen #15140), 1% L-Glutamine (Invitrogen #25030-081). Compounds were dissolved in DMSO at a concentration of 5 mM and were serially diluted 1:3 for a total of eight points and added to the cells to a final maximum concentration of 10 μM in 100 μl cell culture medium (final concentration 0.2% DMSO). Cells were also treated with Dasatinib as a positive control. The cells were incubated at 37° C., 5% CO2 for three days. ATPlite Buffer (Perkin Elmer #6016739) and substrate were equilibrated to room temperature, and enzyme/substrate Recombinant Firefly Luciferase/D-Luciferin was reconstituted. The cell plates were equilibrated to room temperature for 30 minutes, then lysed by addition of 25 uL per well of the ATPlite Reagent. The plate was mixed for 5 minutes on a plate shaker to lyse the cells. The plates were read on a Tecan Safire using Luminescence protocol modified to read 0.1s per well. The luminescence reading assesses the ATP content, which correlates directly with cell number such that the reading as a function of compound concentration is used to determine the IC50 value.;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL5726738;;2019.0;{'bei': '12.92', 'le': '0.24', 'lle': '2.55', 'sei': '5.93'};CHEMBL5994950;;CHEMBL5994950;6.3;0;http://www.openphacts.org/units/Nanomolar;4310001;=;37;1;=;;Ki;nM;;CHEMBL1936;Homo sapiens;Mast/stem cell growth factor receptor Kit;9606;;;Ki;nM;UO_0000065;
