canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
Brc1cccc(COc2ccc(C3C[C@@H]3NCCC3CCCCC3)cc2)c1;CHEMBL5732600;550.0;550.0;;669419.0;27292130;[];Monoamine Oxidase Assays : Briefly, a fixed amount of MAO (0.25 μg for MAO-A and 0.5 μg for MAO-B) was incubated on ice for 15 minutes in the reaction buffer, in the absence and/or in the presence of various concentrations of inhibitor (e.g., from 0 to 50 μM, depending on the inhibitor strength). Tranylcypromine (Biomol International) was used as a control for inhibition.After leaving the enzyme(s) interacting with the inhibitor, 60 to 90 μM of kynuramine was added to each reaction for MAO-B and MAO-A assay respectively, and the reaction was left for 1 hour at 37° C. in the dark. The oxidative deamination of the substrate was stopped by adding 50 μL (v/v) of NaOH 2N. The conversion of kynuramine to 4-hydroxyquinoline, was monitored by fluorescence (excitation at 320 nm, emission at 360 nm) using a microplate reader (Infinite 200, Tecan). Arbitrary units were used to measure levels of fluorescence produced in the absence and/or in the presence of inhibitor.The maximum of oxidative deamination activity was obtained by measuring the amount of 4-hydroxyquinoline formed from kynuramine deamination in the absence of inhibitor and corrected for background fluorescence in the absence of MAO enzymes.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726393;;2019;{'bei': '14.61', 'le': '0.32', 'lle': '-0.18', 'sei': '29.44'};CHEMBL5840646;;CHEMBL5840646;6.26;0;http://www.openphacts.org/units/Nanomolar;4272734;=;37;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;nM;UO_0000065;;False
Brc1cccc(COc2ccc3c(c2)OCCO3)c1;CHEMBL3404567;41.0;0.041;;;15183088;[];Competitive inhibition of human recombinant MAOB using kynuramine substrate assessed as reduction in MAO-generated 4-hydroxyquinoline level by Lineweaver-Burk plot;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3400050;Bioorg Med Chem Lett;2015;{'bei': '23.00', 'le': '0.53', 'lle': '3.59', 'sei': '26.68'};CHEMBL3402197;;CHEMBL3402197;7.39;0;http://www.openphacts.org/units/Nanomolar;2283326;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
C#CCN(C)CC(=C)c1ccccc1.Cl;CHEMBL3418729;60.0;60.0;;;15221159;[];Binding affinity to human recombinant MAO-B measured after longer preincubation;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3414505;J Med Chem;2015;{'bei': '38.98', 'le': '0.70', 'lle': '4.96', 'sei': '222.90'};CHEMBL3415810;;CHEMBL3546900;7.22;0;http://www.openphacts.org/units/Nanomolar;2291470;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;nM;UO_0000065;;False
C#CCN(C)Cc1ccc(C(=O)NC2CC(C)(C)N([O])C(C)(C)C2)cc1;CHEMBL5244514;15000.0;15.0;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;25040008;[];Irreversible inhibition of human recombinant MAO-B;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5244208;Eur J Med Chem;2018;{'bei': '13.53', 'le': '0.25', 'lle': '1.97', 'sei': '8.69'};CHEMBL5268461;;CHEMBL5268461;4.82;0;http://www.openphacts.org/units/Nanomolar;3922416;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
C#CCN(C)Cc1ccccc1;CHEMBL5340264;500.0;0.5;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;25529300;[];Binding affinity to MAO-B (unknown origin) assessed as inhibition constant;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5338737;J Med Chem;2023;{'bei': '39.57', 'le': '0.72', 'lle': '4.55', 'sei': '194.48'};CHEMBL673;PARGYLINE;CHEMBL673;6.3;0;http://www.openphacts.org/units/Nanomolar;3973016;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
C#CCN(C)Cc1ccccc1;CHEMBL884737;1800.0;1.8;;;1616753;[];Inhibition constant against human recombinant Monoamine oxidase-B ;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1142839;Bioorg Med Chem Lett;2005;{'bei': '36.08', 'le': '0.65', 'lle': '3.99', 'sei': '177.31'};CHEMBL673;PARGYLINE;CHEMBL673;5.75;0;http://www.openphacts.org/units/Nanomolar;404968;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
C#CCN(C)[C@@H]1CCc2ccccc21;CHEMBL732536;600.0;0.6;;;731497;[];Binding affinity towards monoamine oxidase B activity was measured using a benzylamine assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149122;J Med Chem;2004;{'bei': '33.58', 'le': '0.61', 'lle': '3.98', 'sei': '192.03'};CHEMBL436947;;CHEMBL436947;6.22;0;http://www.openphacts.org/units/Nanomolar;83239;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1;CHEMBL3608045;0.129;0.129;;;15675589;[];Inhibition of human MAOB;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3603809;J Med Chem;2015;{'bei': '18.11', 'le': '0.35', 'lle': '1.80', 'sei': '26.45'};CHEMBL2333930;;CHEMBL2333930;9.89;0;http://www.openphacts.org/units/Nanomolar;2493918;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;nM;UO_0000065;;False
C#CCN(C)[C@H](C)Cc1ccccc1;CHEMBL1764623;1960.0;1960.0;;;6160864;[];Competitive inhibition of human recombinant MAO-B after 60 mins using p-tyramine as substrate by spectrophotometry;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1759975;Bioorg Med Chem Lett;2011;{'bei': '30.48', 'le': '0.56', 'lle': '3.53', 'sei': '176.16'};CHEMBL972;SELEGILINE;CHEMBL972;5.71;0;http://www.openphacts.org/units/Nanomolar;1412824;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;nM;UO_0000065;;False
C#CCN(C)[C@H](C)Cc1ccccc1;CHEMBL3784058;380.0;0.38;;;16513021;[];Inhibition of recombinant human MAO-B using p-tyramine as substrate assessed as H2O2 production preincubated for 15 mins followed by substrate addition measured for 15 mins by amplex red assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3779800;ACS Med Chem Lett;2016;{'bei': '34.28', 'le': '0.63', 'lle': '4.24', 'sei': '198.15'};CHEMBL972;SELEGILINE;CHEMBL972;6.42;0;http://www.openphacts.org/units/Nanomolar;2766222;=;1;1;=;;Ki;nM;;CHEMBL2039;Homo sapiens;Amine oxidase [flavin-containing] B;9606;;;Ki;uM;UO_0000065;;False
