canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C/C(=N/O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2;CHEMBL826331;9.1;9.1;;;1472383;[];Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1137224;J Med Chem;2004;{'bei': '23.84', 'le': '0.44', 'lle': '4.65', 'sei': '12.07'};CHEMBL362322;;CHEMBL362322;8.04;0;http://www.openphacts.org/units/Nanomolar;380947;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
C/C(=N\O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2;CHEMBL2208631;9.1;9.1;;;12165612;[];Inhibition of human PARP-1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL2203023;J Med Chem;2011;{'bei': '23.84', 'le': '0.44', 'lle': '4.65', 'sei': '12.07'};CHEMBL2204335;;CHEMBL2204335;8.04;0;http://www.openphacts.org/units/Nanomolar;1757057;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
C/C(=N\O)c1cn2c3c(cccc13)C(=O)NCC2;CHEMBL826331;39.0;39.0;;;1472231;[];Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1137224;J Med Chem;2004;{'bei': '30.46', 'le': '0.56', 'lle': '5.83', 'sei': '11.12'};CHEMBL189466;;CHEMBL189466;7.41;0;http://www.openphacts.org/units/Nanomolar;380944;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
C=CCOc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1OC;CHEMBL759581;9.4;9.4;;;648974;[];In vitro inhibition against human full length PARP protein;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1132951;J Med Chem;2000;{'bei': '24.82', 'le': '0.46', 'lle': '5.13', 'sei': '8.90'};CHEMBL134116;;CHEMBL134116;8.03;0;http://www.openphacts.org/units/Nanomolar;252203;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F;CHEMBL3888158;1.3;1.3;;376593.0;17750654;[];PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886604;;2016;{'bei': '23.05', 'le': '0.43', 'lle': '5.81', 'sei': '9.67'};CHEMBL3937647;;CHEMBL3937647;8.89;0;http://www.openphacts.org/units/Nanomolar;2868619;=;37;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F;CHEMBL2061718;4.0;4.0;;;10953427;[];Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL2057095;Bioorg Med Chem;2012;{'bei': '21.73', 'le': '0.41', 'lle': '5.84', 'sei': '8.08'};CHEMBL2058686;;CHEMBL2058686;8.4;0;http://www.openphacts.org/units/Nanomolar;1656677;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)N(C)C1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1;CHEMBL3888158;6.0;6.0;;376720.0;17750781;[];PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886604;;2016;{'bei': '19.23', 'le': '0.36', 'lle': '6.67', 'sei': '8.36'};CHEMBL3968163;;CHEMBL3968163;8.22;0;http://www.openphacts.org/units/Nanomolar;2868746;=;37;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)N1CCC(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)CC1;CHEMBL3888158;126.0;126.0;;376300.0;17750362;[];PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886604;;2016;{'bei': '16.89', 'le': '0.31', 'lle': '4.46', 'sei': '7.25'};CHEMBL3928161;;CHEMBL3928161;6.9;0;http://www.openphacts.org/units/Nanomolar;2868327;=;37;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
CC(=O)N1CCC(c2nc3c(C(N)=O)cccc3[nH]2)CC1;CHEMBL992765;59.0;0.059;;;2446052;[];Inhibition of PARP1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1157504;Bioorg Med Chem;2008;{'bei': '25.25', 'le': '0.47', 'lle': '5.84', 'sei': '7.85'};CHEMBL460268;;CHEMBL460268;7.23;0;http://www.openphacts.org/units/Nanomolar;719739;=;1;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;uM;UO_0000065;;False
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1;CHEMBL3888158;0.1;0.1;;376651.0;17750712;[];PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3886604;;2016;{'bei': '24.24', 'le': '0.46', 'lle': '8.32', 'sei': '11.58'};CHEMBL3889630;;CHEMBL3889630;10.0;0;http://www.openphacts.org/units/Nanomolar;2868677;=;37;1;=;;Ki;nM;;CHEMBL3105;Homo sapiens;Poly [ADP-ribose] polymerase 1;9606;;;Ki;nM;UO_0000065;;False
