canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12;CHEMBL1963805;100.0;7.0;;active;9630773;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1983111;;CHEMBL1983111;7.0;0;http://www.openphacts.org/units/Nanomolar;1584621;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1;CHEMBL1963805;2511.89;5.6;;active;9626967;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2000568;;CHEMBL2000568;5.6;0;http://www.openphacts.org/units/Nanomolar;1584668;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(=O)c1ccccc1-c1ncnc2[nH]ccc12;CHEMBL1963805;31622.78;4.5;;active;9627082;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1977931;;CHEMBL1977931;4.5;0;http://www.openphacts.org/units/Nanomolar;1585156;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(=O)n1nc(N)c2ccc(Br)cc21;CHEMBL1963805;2511.89;5.6;;active;9627033;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1994956;;CHEMBL1994956;5.6;0;http://www.openphacts.org/units/Nanomolar;1584972;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)N(CCN)CCO)c2)n1;CHEMBL1963805;794.33;6.1;;active;9630794;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1993634;;CHEMBL1993634;6.1;0;http://www.openphacts.org/units/Nanomolar;1584723;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCOCCO)c2)n1;CHEMBL1963805;1000.0;6.0;;active;9626964;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1978271;;CHEMBL1978271;6.0;0;http://www.openphacts.org/units/Nanomolar;1584721;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21;CHEMBL1963805;251.19;6.6;;active;9630835;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL406845;;CHEMBL406845;6.6;0;http://www.openphacts.org/units/Nanomolar;1584663;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1;CHEMBL1963805;63095.73;4.2;;active;9627067;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2001641;;CHEMBL2001641;4.2;0;http://www.openphacts.org/units/Nanomolar;1585177;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)(c1cc(Br)c(O)c(I)c1)c1cc(Br)c(O)c(I)c1;CHEMBL1963805;398.11;6.4;;active;9630732;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1964382;;CHEMBL1964382;6.4;0;http://www.openphacts.org/units/Nanomolar;1585061;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
CC(C)N(CCCN)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1;CHEMBL1963805;316.23;6.5;;active;9630818;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRA;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1994318;;CHEMBL1994318;6.5;0;http://www.openphacts.org/units/Nanomolar;1584712;=;7;1;=;;Ki;nM;;CHEMBL2007;Homo sapiens;Platelet-derived growth factor receptor alpha;9606;;;pKi;;UO_0000065;
