canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C=Cc1ccc(-c2cccc3nnc(N)n23)cc1;CHEMBL1963778;6309.57;5.2;;active;9591779;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1983573;;CHEMBL1983573;5.2;0;http://www.openphacts.org/units/Nanomolar;1585082;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12;CHEMBL1963778;63.1;7.2;;active;9591862;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1983111;;CHEMBL1983111;7.2;0;http://www.openphacts.org/units/Nanomolar;1584621;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(=O)Nc1ccc(-n2nc3ccc(N)nc3n2)cc1;CHEMBL1963778;1995.26;5.7;;active;9591765;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2002723;;CHEMBL2002723;5.7;0;http://www.openphacts.org/units/Nanomolar;1585502;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1;CHEMBL1963778;1584.89;5.8;;active;9588066;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2000568;;CHEMBL2000568;5.8;0;http://www.openphacts.org/units/Nanomolar;1584668;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(=O)c1ccccc1-c1ncnc2[nH]ccc12;CHEMBL1963778;31622.78;4.5;;active;9588171;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1977931;;CHEMBL1977931;4.5;0;http://www.openphacts.org/units/Nanomolar;1585156;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(C)(C)C1CCC(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)CC1;CHEMBL5733067;246.0;246.0;;710489;27410849;[];Kinase Assay: Biochemical PDGFRβ kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS), pH 7.4. The coated plates were washed with 2 mls per well PBS+0.05% Tween-20 (PBS-T), blocked by incubation with PBS containing 1% BSA, then washed with 2 mls per well PBS-T prior to starting the reaction. Reactions were carried out in 100 μL reaction volumes containing 36 μM ATP in kinase buffer (50 mM Hepes buffer pH 7.4, 20 mM MgCl2, 0.1 mM MnCl2 and 0.2 mM Na3VO4). Test compounds were reconstituted in 100% DMSO and added to the reaction to give a final DMSO concentration of 5%. Reactions were initiated by the addition 20 ul per well of kinase buffer containing 200-300 ng purified cytoplasmic domain PDGFR-b protein (Millipore). Following a 60 minute incubation at 30° C., the reactions were washed 2 mls per well PBS-T. 100 μl of a monoclonal anti-phosphotyrosine antibody-peroxidase conjugate diluted 1:10,000 in PBS-T was added to the wells for 30 minutes. Following a 2 mls per well wash with PBS-Tween-20, 100 μl of O-Phenylenediamine Dihydrochloride in phosphate-citrate buffer, containing urea hydrogen peroxide, was added to the wells for 7-10 minutes as a colorimetric substrate for the peroxidase. The reaction was terminated by the addition of 100 μl of 2.5N H2SO4 to each well and read using a microplate ELISA reader set at 492 nm.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726637;;2017.0;{'bei': '16.22', 'le': '0.30', 'lle': '2.65', 'sei': '7.85'};CHEMBL3702617;;CHEMBL3702617;6.61;0;http://www.openphacts.org/units/Nanomolar;4299173;=;37;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;Ki;nM;UO_0000065;;False
CC(C)(C)CCNC(=O)c1cccc(N2CCc3nc(N)ncc3C2)c1;CHEMBL5733067;164.0;164.0;;710495;27410867;[];Kinase Assay: Biochemical PDGFRβ kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS), pH 7.4. The coated plates were washed with 2 mls per well PBS+0.05% Tween-20 (PBS-T), blocked by incubation with PBS containing 1% BSA, then washed with 2 mls per well PBS-T prior to starting the reaction. Reactions were carried out in 100 μL reaction volumes containing 36 μM ATP in kinase buffer (50 mM Hepes buffer pH 7.4, 20 mM MgCl2, 0.1 mM MnCl2 and 0.2 mM Na3VO4). Test compounds were reconstituted in 100% DMSO and added to the reaction to give a final DMSO concentration of 5%. Reactions were initiated by the addition 20 ul per well of kinase buffer containing 200-300 ng purified cytoplasmic domain PDGFR-b protein (Millipore). Following a 60 minute incubation at 30° C., the reactions were washed 2 mls per well PBS-T. 100 μl of a monoclonal anti-phosphotyrosine antibody-peroxidase conjugate diluted 1:10,000 in PBS-T was added to the wells for 30 minutes. Following a 2 mls per well wash with PBS-Tween-20, 100 μl of O-Phenylenediamine Dihydrochloride in phosphate-citrate buffer, containing urea hydrogen peroxide, was added to the wells for 7-10 minutes as a colorimetric substrate for the peroxidase. The reaction was terminated by the addition of 100 μl of 2.5N H2SO4 to each well and read using a microplate ELISA reader set at 492 nm.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726637;;2017.0;{'bei': '19.20', 'le': '0.36', 'lle': '4.00', 'sei': '8.06'};CHEMBL3702620;;CHEMBL3702620;6.79;0;http://www.openphacts.org/units/Nanomolar;4299176;=;37;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;Ki;nM;UO_0000065;;False
CC(C)(C)c1ccc(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)cc1;CHEMBL5733067;109.0;109.0;;710466;27410780;[];Kinase Assay: Biochemical PDGFRβ kinase assays were performed in 96 well microliter plates that were coated overnight with 75 μg of poly-Glu-Tyr (4:1) in 10 mM Phosphate Buffered Saline (PBS), pH 7.4. The coated plates were washed with 2 mls per well PBS+0.05% Tween-20 (PBS-T), blocked by incubation with PBS containing 1% BSA, then washed with 2 mls per well PBS-T prior to starting the reaction. Reactions were carried out in 100 μL reaction volumes containing 36 μM ATP in kinase buffer (50 mM Hepes buffer pH 7.4, 20 mM MgCl2, 0.1 mM MnCl2 and 0.2 mM Na3VO4). Test compounds were reconstituted in 100% DMSO and added to the reaction to give a final DMSO concentration of 5%. Reactions were initiated by the addition 20 ul per well of kinase buffer containing 200-300 ng purified cytoplasmic domain PDGFR-b protein (Millipore). Following a 60 minute incubation at 30° C., the reactions were washed 2 mls per well PBS-T. 100 μl of a monoclonal anti-phosphotyrosine antibody-peroxidase conjugate diluted 1:10,000 in PBS-T was added to the wells for 30 minutes. Following a 2 mls per well wash with PBS-Tween-20, 100 μl of O-Phenylenediamine Dihydrochloride in phosphate-citrate buffer, containing urea hydrogen peroxide, was added to the wells for 7-10 minutes as a colorimetric substrate for the peroxidase. The reaction was terminated by the addition of 100 μl of 2.5N H2SO4 to each well and read using a microplate ELISA reader set at 492 nm.;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5726637;;2017.0;{'bei': '17.34', 'le': '0.32', 'lle': '2.79', 'sei': '8.27'};CHEMBL3702604;;CHEMBL3702604;6.96;0;http://www.openphacts.org/units/Nanomolar;4299160;=;37;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;Ki;nM;UO_0000065;;False
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21;CHEMBL1963778;199.53;6.7;;active;9591914;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL406845;;CHEMBL406845;6.7;0;http://www.openphacts.org/units/Nanomolar;1584663;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1;CHEMBL1963778;50118.72;4.3;;active;9588158;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PDGFRB;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2001641;;CHEMBL2001641;4.3;0;http://www.openphacts.org/units/Nanomolar;1585177;=;7;1;=;;Ki;nM;;CHEMBL1913;Homo sapiens;Platelet-derived growth factor receptor beta;9606;;;pKi;;UO_0000065;;False
