canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
C(=C(c1ccc(OCCN2CCCCCC2)cc1)c1ccc(OCCN2CCCCCC2)cc1)c1ccccc1;CHEMBL3100300;870.0;0.87;;;13871024;[];Noncompetitive inhibition of chymotrypsin-like activity of human 20S proteasome beta 5 subunit assessed as hydrolysis of succinyl-LLVY-AMC fluorogenic substrate Lineweaver-Burk plot analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3098012;Eur J Med Chem;2014;{'bei': '11.25', 'le': '0.21', 'lle': '-1.73', 'sei': '24.30'};CHEMBL3099624;;CHEMBL3099624;6.06;0;http://www.openphacts.org/units/Nanomolar;1956838;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
C/C=C\NC(=O)[C@H]1NC(=O)[C@H](CC(N)=O)CC(=O)[C@@H](NC(=O)C(=O)[C@@H](C)CC)Cc2ccc(O)c(c2)-c2cccc3c2NC(=O)[C@@]3(O)[C@@H]1O;CHEMBL2345515;2.3;2.3;;;12697108;[];Competitive inhibition of chymotrypsin-like activity of human constitutive 20s proteasome beta-5 subunit using Suc-LLVY-AMC as substrate assessed as inhibition constant for dissociation of enzyme-inhibitor complex incubated for 15 mins prior to substrate addition measured after 45 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL2331312;J Med Chem;2013;{'bei': '12.75', 'le': '0.24', 'lle': '8.84', 'sei': '3.40'};CHEMBL2337848;;CHEMBL2337848;8.64;0;http://www.openphacts.org/units/Nanomolar;1873122;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;nM;UO_0000065;;False
C=CCN1CCN(c2ccn(CC(=O)N[C@@H](CC(C)C)B(O)O)c(=O)c2)CC1;CHEMBL2388793;5900.0;5.9;;;13322914;[];Inhibition of human 20S proteasome chymotrypsin like activity using Suc-Leu-Leu-Val-Tyr-AMC as substrate measured over 10 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL2384970;Eur J Med Chem;2013;{'bei': '13.40', 'le': None, 'lle': None, 'sei': None};CHEMBL2385816;;CHEMBL2385816;5.23;0;http://www.openphacts.org/units/Nanomolar;1896030;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CC(NC(=O)C(CO)NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(N)=O;CHEMBL3860288;2180.0;2.18;;;16751986;[];Competitive inhibition of chymotrypsin-like activity of human 20S proteasome using Suc-Leu-Leu-Val-Tyr-AMC as substrate measured for 10 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3860032;Eur J Med Chem;2016;{'bei': '11.00', 'le': '0.21', 'lle': '4.94', 'sei': '3.14'};CHEMBL3977256;;CHEMBL3977256;5.66;0;http://www.openphacts.org/units/Nanomolar;2800230;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CCNC(=O)Cn1cc(Br)c2ncccc2c1=O;CHEMBL3239238;560.0;0.56;;;14583688;[];Inhibition of chymotrypsin-like activity of human 20S proteasome beta 5 subunit assessed as Suc-Leu-Leu-Val-Tyr-AMC substrate hydrolysis after 10 mins by fluorometric analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3232790;Eur J Med Chem;2014;{'bei': '17.75', 'le': '0.41', 'lle': '3.93', 'sei': '9.77'};CHEMBL3233441;;CHEMBL3233441;6.25;0;http://www.openphacts.org/units/Nanomolar;2081714;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CCNC(=O)Cn1ccc(N2CCOCC2)cc1=O;CHEMBL3239238;7670.0;7.67;;;14583699;[];Inhibition of chymotrypsin-like activity of human 20S proteasome beta 5 subunit assessed as Suc-Leu-Leu-Val-Tyr-AMC substrate hydrolysis after 10 mins by fluorometric analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3232790;Eur J Med Chem;2014;{'bei': '16.64', 'le': '0.32', 'lle': '4.27', 'sei': '8.05'};CHEMBL3233447;;CHEMBL3233447;5.12;0;http://www.openphacts.org/units/Nanomolar;2081725;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CCNC(=O)Cn1ccc(Nc2ccccc2)cc1=O;CHEMBL3239238;330.0;0.33;;;14583695;[];Inhibition of chymotrypsin-like activity of human 20S proteasome beta 5 subunit assessed as Suc-Leu-Leu-Val-Tyr-AMC substrate hydrolysis after 10 mins by fluorometric analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3232790;Eur J Med Chem;2014;{'bei': '20.68', 'le': '0.38', 'lle': '3.73', 'sei': '10.27'};CHEMBL3233445;;CHEMBL3233445;6.48;0;http://www.openphacts.org/units/Nanomolar;2081721;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CCNC(=O)Cn1ccc2c(c1=O)CCCN2;CHEMBL3239238;10100.0;10.1;;;14583692;[];Inhibition of chymotrypsin-like activity of human 20S proteasome beta 5 subunit assessed as Suc-Leu-Leu-Val-Tyr-AMC substrate hydrolysis after 10 mins by fluorometric analysis;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3232790;Eur J Med Chem;2014;{'bei': '18.01', 'le': '0.34', 'lle': '3.63', 'sei': '7.91'};CHEMBL3233443;;CHEMBL3233443;5.0;0;http://www.openphacts.org/units/Nanomolar;2081718;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)CCNC(=O)Cn1ccc2ccc(Br)cc2c1=O;CHEMBL5144654;4390.0;4.39;{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'};;24836811;[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'Dose', 'standard_units': 'mg/ml', 'standard_value': '0.004', 'text_value': None, 'type': 'Dose', 'units': 'mg/ml', 'value': '0.004'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.1667', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '10.0'}];Inhibition of chymotrypsin-like activity of human 20s immuno proteasome beta5i subunit assessed as substrate hydrolysis using Suc-Leu-Leu-Val-Tyr-AMC as flurogenic substrate at 0.004 mg/ml measured for 10 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL5143533;Bioorg Med Chem Lett;2022;{'bei': '15.25', 'le': '0.35', 'lle': '2.43', 'sei': '10.48'};CHEMBL3287947;;CHEMBL3287947;5.36;0;http://www.openphacts.org/units/Nanomolar;3879249;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1;CHEMBL3860288;1.4;0.0014;;;16751992;[];Competitive inhibition of chymotrypsin-like activity of human 20S proteasome using Suc-Leu-Leu-Val-Tyr-AMC as substrate measured for 10 mins by fluorescence assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL3860032;Eur J Med Chem;2016;{'bei': '18.62', 'le': '0.36', 'lle': '5.26', 'sei': '7.79'};CHEMBL64925;MG-132;CHEMBL64925;8.85;0;http://www.openphacts.org/units/Nanomolar;2800267;=;1;1;=;;Ki;nM;;CHEMBL4662;Homo sapiens;Proteasome Macropain subunit MB1;9606;;;Ki;uM;UO_0000065;;False
