canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
Brc1ccc2c(c1)-c1[nH]ncc1C2;CHEMBL1963788;5011.87;5.3;;active;9577127;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1995172;;CHEMBL1995172;5.3;0;http://www.openphacts.org/units/Nanomolar;1585463;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
Brc1cnc2[nH]cc(-c3ccccc3)c2c1;CHEMBL1963788;1000.0;6.0;;active;9584626;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1992634;;CHEMBL1992634;6.0;0;http://www.openphacts.org/units/Nanomolar;1584097;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;CHEMBL1963788;630.96;6.2;;active;9577137;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL553;ERLOTINIB;CHEMBL553;6.2;0;http://www.openphacts.org/units/Nanomolar;1585221;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
C#Cc1cn(C2CCCC2)c2ncnc(N)c12;CHEMBL1963788;199.53;6.7;;active;9580940;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1993877;;CHEMBL1993877;6.7;0;http://www.openphacts.org/units/Nanomolar;1584872;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
C=C(C)Cn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)c(F)c2)c(=O)n1-c1ccccc1;CHEMBL2032454;74.1;74.1;;;10882178;[];Inhibition of VEGFR2 by HTRF assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL2029218;J Med Chem;2012.0;{'bei': '13.24', 'le': '0.24', 'lle': '0.87', 'sei': '8.16'};CHEMBL2032023;;CHEMBL2032023;7.13;0;http://www.openphacts.org/units/Nanomolar;1644187;=;1;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;Ki;nM;UO_0000065;;False
C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12;CHEMBL1963788;1000.0;6.0;;active;9580848;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1977749;;CHEMBL1977749;6.0;0;http://www.openphacts.org/units/Nanomolar;1585484;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
CC(=O)N(c1ccncc1)c1c(NC(C)C(C)(C)C)c(=O)c1=O;CHEMBL1963788;6309.57;5.2;;active;9581006;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL2005899;;CHEMBL2005899;5.2;0;http://www.openphacts.org/units/Nanomolar;1585532;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1;CHEMBL1963788;3981.07;5.4;;active;9576991;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1972584;;CHEMBL1972584;5.4;0;http://www.openphacts.org/units/Nanomolar;1584670;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12;CHEMBL1963788;15.85;7.8;;active;9573210;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1983111;;CHEMBL1983111;7.8;0;http://www.openphacts.org/units/Nanomolar;1584621;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12;CHEMBL1963788;630.96;6.2;;active;9630020;[];PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: KDR;F;;;BAO_0000192;BAO_0000019;assay format;;;CHEMBL1201862;;;;CHEMBL1973142;;CHEMBL1973142;6.2;0;http://www.openphacts.org/units/Nanomolar;1585487;=;7;1;=;;Ki;nM;;CHEMBL279;Homo sapiens;Vascular endothelial growth factor receptor 2;9606;;;pKi;;UO_0000065;;False
