canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1;CHEMBL907268;530.0;0.53;;;1806987;[];Displacement of [3H]dofetilide from human ERG potassium channel expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1139687;Bioorg Med Chem Lett;2006.0;{'bei': '13.87', 'le': '0.27', 'lle': '2.66', 'sei': '4.51'};CHEMBL286915;;CHEMBL286915;6.28;0;http://www.openphacts.org/units/Nanomolar;622350;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;uM;UO_0000065;
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1;CHEMBL907268;3900.0;3.9;;;1806985;[];Displacement of [3H]dofetilide from human ERG potassium channel expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1139687;Bioorg Med Chem Lett;2006.0;{'bei': '10.96', 'le': '0.21', 'lle': '1.48', 'sei': '4.38'};CHEMBL152069;;CHEMBL152069;5.41;0;http://www.openphacts.org/units/Nanomolar;622352;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;uM;UO_0000065;
CC(=O)N1CC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1;CHEMBL940379;6300.0;6300.0;;;2401138;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '11.27', 'le': '0.22', 'lle': '1.11', 'sei': '5.68'};CHEMBL472443;;CHEMBL472443;5.2;0;http://www.openphacts.org/units/Nanomolar;804938;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)N1CCC2(CCCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)C2)C1;CHEMBL940379;3810.0;3810.0;;;2401139;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '11.39', 'le': '0.22', 'lle': '0.94', 'sei': '5.92'};CHEMBL471399;;CHEMBL471399;5.42;0;http://www.openphacts.org/units/Nanomolar;804939;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)C2)C1;CHEMBL940379;2790.0;2790.0;;;2401137;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '12.03', 'le': '0.23', 'lle': '1.46', 'sei': '6.07'};CHEMBL472442;;CHEMBL472442;5.55;0;http://www.openphacts.org/units/Nanomolar;804937;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)N1CCC2(CCN(c3ccc(C(=O)Nc4cc(-c5cccs5)ccc4N)cn3)CC2)C1;CHEMBL940379;9790.0;9790.0;;;2401129;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '10.53', 'le': '0.20', 'lle': '0.53', 'sei': '5.47'};CHEMBL471414;;CHEMBL471414;5.01;0;http://www.openphacts.org/units/Nanomolar;804720;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)N1CCCC12CCN(c1ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cn1)CC2;CHEMBL940379;16740.0;16740.0;;;2401140;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '10.04', 'le': '0.19', 'lle': '0.15', 'sei': '5.22'};CHEMBL471400;;CHEMBL471400;4.78;0;http://www.openphacts.org/units/Nanomolar;804940;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21;CHEMBL944827;2202.0;2202.0;;;2075893;[];Displacement of [3H]dofetilide from human ERG channel expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1140829;Bioorg Med Chem Lett;2008.0;{'bei': '13.45', 'le': '0.26', 'lle': '1.88', 'sei': '11.67'};CHEMBL252030;;CHEMBL252030;5.66;0;http://www.openphacts.org/units/Nanomolar;688398;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21;CHEMBL944827;885.0;885.0;;;2075908;[];Displacement of [3H]dofetilide from human ERG channel expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1140829;Bioorg Med Chem Lett;2008.0;{'bei': '14.39', 'le': '0.28', 'lle': '2.27', 'sei': '12.49'};CHEMBL252818;;CHEMBL252818;6.05;0;http://www.openphacts.org/units/Nanomolar;688383;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(C3CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;CHEMBL824627;400.0;400.0;;;258825;[];Compound was evaluated for the displacement of labelled MK-499 from the cloned channel expressed in HEK cells (Ikr channel);B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1135170;Bioorg Med Chem Lett;2002.0;{'bei': '10.48', 'le': '0.20', 'lle': '-0.80', 'sei': '10.91'};CHEMBL3085126;;CHEMBL3085126;6.4;0;http://www.openphacts.org/units/Nanomolar;82911;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
